統合開発環境|とうごうかいはつかんきょう|Integrated Development Environment
卑下自慢|ひげじまん|Too much humility is pride
庇を貸して母屋を取られる|ひさしをかしておもやをとられる|Give him an inch and he'll take an ell; Give him an inch and he'll take a yard
あちら立てればこちらが立たぬ|あちらたてればこちらがたたぬ|It's hard to please everybody
彼方立てれば此方が立たぬ|あちらたてればこちらがたたぬ|It's hard to please everybody
飛んで火に入る夏の虫|とんでひにいるなつのむし|rushing to one's doom; (like a) moth flying into the flame
備え有れば憂え無し|そなえあればうれえなし|Providing is preventing
膝が笑う|ひざがわらう|to have one's knees be about to give way
病んで後初めて健康の価値を知る|やんでのちはじめてけんこうのかちをしる|You don't appreciate the value of good health until you lose it
夫婦喧嘩は犬も食わない|ふうふげんかはいぬもくわない|One should not interfere in lover's quarrels
負けるが勝ち|まけるがかち|he that fights and runs away may live to fight another day; sometimes you have to lose to win
風に柳|かぜにやなぎ|Soft words pacify wrath
腹が減っては戦は出来ぬ|はらがへってはいくさはできぬ|an army marches on its stomach; you can't fight on an empty stomach
腹が減っては軍は出来ぬ|はらがへってはいくさはできぬ|an army marches on its stomach; you can't fight on an empty stomach
腹も身の内|はらもみのうち|Moderation is its own medicine
ものは考えよう|ものはかんがえよう|It depends on how you look at it
物は考えよう|ものはかんがえよう|It depends on how you look at it
物は考え様|ものはかんがえよう|It depends on how you look at it
物は使いよう|ものはつかいよう|It depends on how you use it
ものは使いよう|ものはつかいよう|It depends on how you use it
物は使い様|ものはつかいよう|It depends on how you use it
物は試し|ものはためし|the proof of the pudding is in the eating; the proof is in the pudding; don't knock it till you've tried it
物は相談|ものはそうだん|Lend me your ears a while
物も言い様|ものもいいよう|To make or mar depends on the telling
物も言いよう|ものもいいよう|To make or mar depends on the telling
ものも言いよう|ものもいいよう|To make or mar depends on the telling
物も言い様で角が立つ|ものもいいようでかどがたつ|Harsh words make the going rough; People may be offended (or not) by the way you speak
物も言いようで角が立つ|ものもいいようでかどがたつ|Harsh words make the going rough; People may be offended (or not) by the way you speak
物言えば唇寒し秋の風|ものいえばくちびるさむしあきのかぜ|Silence is golden
物言わねば腹膨る|ものいわねばはらふくる|Feel uneasy if something is left unsaid
分秒を争う|ふんびょうをあらそう|there is no moment to lose; to fight with every minute and every second
糞も味噌も一緒|くそもみそもいっしょ|not distinguishing between what's good and bad; not knowing chalk from cheese; mixing good and bad together; shit and miso are the same
文は人なり|ぶんはひとなり|the style is the man; the style is the man himself
聞いて極楽見て地獄|きいてごくらくみてじごく|A paradise on hearsay, a hell at sight
聞くと見るとは大違い|きくとみるとはおおちがい|A big difference between what one hears and what one sees
聞くは一時の恥聞かぬは末代の恥|きくはいっときのはじきかぬはまつだいのはじ|Better ask than go astray
便りのないのはよい便り|たよりのないのはよいたより|No news is good news
便りの無いのは良い便り|たよりのないのはよいたより|No news is good news
暮果てる|くれはてる|The sun has set completely
盆と正月が一緒に来たよう|ぼんとしょうがつがいっしょにきたよう|to be as busy as a bee; like Christmas and a birthday feast rolled into one
盆と正月が一緒に来た様|ぼんとしょうがつがいっしょにきたよう|to be as busy as a bee; like Christmas and a birthday feast rolled into one
万感胸に迫る|ばんかんむねにせまる|to be filled with thousand emotions; to be overwhelmed by a flood of emotions; to be wrought by a thousand emotions
無理が通れば道理が引っ込む|むりがとおればどうりがひっこむ|Where might is master, justice is servant
名の無い星は宵から出る|なのないほしはよいからでる|the worst goes foremost; those one eagerly await will not arrive first
名は体を表す|なはたいをあらわす|Names and natures do often agree
命長ければ恥多し|いのちながければはじおおし|to live long is to outlive much; the longer you live, the more shame you suffer
命有っての物種|いのちあってのものだね|While there's life, there's hope
明日の事を言えば鬼が笑う|あすのことをいえばおにがわらう|Nobody knows the morrow; speak of tomorrow and the demons laugh
明日の百より今日の五十|あすのひゃくよりきょうのごじゅう|A bird in the hand is worth two in the bush
明日は明日の風が吹く|あしたはあしたのかぜがふく|Tomorrow will take care of itself
目が出る|めがでる|to have luck on one's side; to get lucky
目が出る|めがでる|to have one's eyes bulge out of one's head (with surprise)
めどが立つ|めどがたつ|the prospects for a solution look brighter; there is hope that we can (accomplish a certain thing)
目処が立つ|めどがたつ|the prospects for a solution look brighter; there is hope that we can (accomplish a certain thing)
目途が立つ|めどがたつ|the prospects for a solution look brighter; there is hope that we can (accomplish a certain thing)
目処がたつ|めどがたつ|the prospects for a solution look brighter; there is hope that we can (accomplish a certain thing)
目途がたつ|めどがたつ|the prospects for a solution look brighter; there is hope that we can (accomplish a certain thing)
目明き千人盲千人|めあきせんにんめくらせんにん|Some are wise and some are otherwise
問うは一旦の恥問わぬは末代の恥|とうはいったんのはじとわぬはまつだいのはじ|Better to ask and be embarrassed than not ask and never to know
薬より養生|くすりよりようじょう|Prevention is better than cure
訳あり|わけあり|(having) special circumstances (e.g. problems, issues, advantages, flaws, defects, etc.)
訳有り|わけあり|(having) special circumstances (e.g. problems, issues, advantages, flaws, defects, etc.)
柳の下に何時も泥鰌は居ない|やなぎのしたにいつもどじょうはいない|Good luck does not always repeat itself
雄弁は銀沈黙は金|ゆうべんはぎんちんもくはきん|Speech is silver, silence is golden
夕焼けは晴れ朝焼けは雨|ゆうやけははれあさやけはあめ|Red sky at night, shepherd's delight Red sky in the morning, shepherd's warning
余の辞書に不可能という文字はない|よのじしょにふかのうというもじはない|the word impossible is not in my dictionary
余の辞書に不可能という文字は無い|よのじしょにふかのうというもじはない|the word impossible is not in my dictionary
余り物に福がある|あまりものにふくがある|Leftovers are the best of all
余り物に福が有る|あまりものにふくがある|Leftovers are the best of all
ざまあ見ろ|ざまあみろ|It serves you right
様あ見ろ|ざまあみろ|It serves you right
用心に越したことはない|ようじんにこしたことはない|You cannot be too careful
用心に越した事は無い|ようじんにこしたことはない|You cannot be too careful
いらざるお世話|いらざるおせわ|That's none of your business
要らざるお世話|いらざるおせわ|That's none of your business
要らざる御世話|いらざるおせわ|That's none of your business
来年の事を言うと鬼が笑う|らいねんのことをいうとおにがわらう|Nobody knows the morrow; speak of next year and the demons laugh
裏がある|うらがある|to have a catch; to have an ulterior motive; to be more (to something)
竜虎相搏つ|りゅうこあいうつ|Diamonds cut diamonds
旅の恥は掻き捨て|たびのはじはかきすて|Once over the border, one may do anything
旅の恥はかき捨て|たびのはじはかきすて|Once over the border, one may do anything
旅は心世は情け|たびはこころよはなさけ|In traveling, companionship; in life, kindness
両雄並び立たず|りょうゆうならびたたず|if two ride upon a horse, one must sit behind; when Greek meets Greek, then comes the tug of war; two great rivals cannot coexist
隣の花は赤い|となりのはなはあかい|the grass is always greener on the other side of the fence; the neighbour's flowers are redder
例外のない規則はない|れいがいのないきそくはない|There is no rule without exceptions
例外の無い規則は無い|れいがいのないきそくはない|There is no rule without exceptions
歴史は繰り返す|れきしはくりかえす|History repeats itself
恋に上下の差別無し|こいにじょうげのさべつなし|Love makes men equal
恋は思案の外|こいはしあんのほか|Love is without reason
老いては子に従え|おいてはこにしたがえ|Be guided by your children when you are old
六十の手習い|ろくじゅうのてならい|Never too late to learn
綺麗な薔薇には棘がある|きれいなばらにはとげがある|there is no rose without a thorn; every rose has its thorn
綺麗な薔薇には刺がある|きれいなばらにはとげがある|there is no rose without a thorn; every rose has its thorn
餠は餠屋|もちはもちや|every man knows his own business best; one should go to specialists for the best results
餅は餅屋|もちはもちや|every man knows his own business best; one should go to specialists for the best results
もちはもち屋|もちはもちや|every man knows his own business best; one should go to specialists for the best results
驕る平家は久しからず|おごるへいけはひさしからず|pride goes before a fall; pride comes before a fall; the proud Heike family does not last long
奢る平家は久しからず|おごるへいけはひさしからず|pride goes before a fall; pride comes before a fall; the proud Heike family does not last long
おごる平家は久しからず|おごるへいけはひさしからず|pride goes before a fall; pride comes before a fall; the proud Heike family does not last long
オーバパンチ||overpunch
含浸|がんしん|impregnation
気絶させる|きぜつさせる|to stun; to make someone swoon
空中ブランコ|くうちゅうブランコ|trapeze
ヤシの実|ヤシのみ|coconut
椰子の実|やしのみ|coconut
ヤシ殻|ヤシかく|coconut shell
椰子殻|やしかく|coconut shell
広報担当者|こうほうたんとうしゃ|person in charge of public relations; PR manager
治安出動|ちあんしゅつどう|public security operation
網石|あみいし|stone(s) used to weigh down a fishing net
桧葉叉|ひばまた|Arctic wrack (Fucus evanescens)
ヒバマタ||Arctic wrack (Fucus evanescens)
真昆布|まこんぶ|Japanese kelp (Laminaria japonica)
マコンブ||Japanese kelp (Laminaria japonica)
とろろ昆布|とろろこんぶ|shredded kombu
とろろ昆布|とろろこんぶ|Kjellmaniella gyrata (species of kelp)
とろろ昆布|とろろこぶ|shredded kombu
とろろ昆布|とろろこぶ|Kjellmaniella gyrata (species of kelp)
薯蕷昆布|とろろこんぶ|shredded kombu
薯蕷昆布|とろろこんぶ|Kjellmaniella gyrata (species of kelp)
薯蕷昆布|とろろこぶ|shredded kombu
薯蕷昆布|とろろこぶ|Kjellmaniella gyrata (species of kelp)
トロロコンブ||shredded kombu
トロロコンブ||Kjellmaniella gyrata (species of kelp)
トロロコブ||shredded kombu
トロロコブ||Kjellmaniella gyrata (species of kelp)
長昆布|ながこんぶ|Laminaria longissima (species of kelp)
ナガコンブ||Laminaria longissima (species of kelp)
利尻昆布|りしりこんぶ|Laminaria ochotensis (species of kelp)
リシリコンブ||Laminaria ochotensis (species of kelp)
荒び海苔|すさびのり|Porphyra yezoensis (species of edible purple laver)
スサビノリ||Porphyra yezoensis (species of edible purple laver)
篊|ひび|brushwood, etc. used as cultch for seaweed or oyster farming (culch)
明|さや|clearly; brightly
明|さや|cleanly; purely
清|さや|clearly; brightly
清|さや|cleanly; purely
さやさや||soft, light rustling (e.g. leaves in the wind)
樹葉|じゅよう|tree leaf
初めとする|はじめとする|commencing with; including
パラダイス鎖国|パラダイスさこく|isolation paradise (esp. unique products without foreign competition)
アンローダー||unloader
離しょう|りしょう|syneresis
離漿|りしょう|syneresis
一風景|いちふうけい|one scene
一風景|いっぷうけい|one scene
前のめり|まえのめり|pitching forward, as if to fall
前のめり|まえのめり|enthusiastic; forward-looking
前のめり|まえのめり|overly eager without being properly prepared
情報通信費|じょうほうつうしんひ|telecommunications fees; telecommunications expenses
溶点|ようてん|melting point
溶てん|ようてん|melting point
医生|いせい|bio-medical; biomedical
医生|いせい|medical student
ダイポール||dipole
ダイポル||dipole
ダイヤルトーン||dial tone
ダイヤルトン||dial tone
ダイヤル・トーン||dial tone
ダイヤル・トン||dial tone
ゼロコスト||zero cost
ゼロ・コスト||zero cost
膣カンジダ症|ちつカンジダしょう|vaginal yeast infection; thrush; candidiasis
膣カンジタ症|ちつカンジタしょう|vaginal yeast infection; thrush; candidiasis
眼科検診|がんかけんしん|ophthalmological examination; eye check-up; eye examination
列福|れっぷく|beatification
アメリカフウ||American sweetgum (Liquidambar styraciflua); redgum
フウ属|フウぞく|Liquidambar (genus in family Altingiaceae); sweetgum genus
楓属|ふうぞく|Liquidambar (genus in family Altingiaceae); sweetgum genus
レミフェンタニル||remifentanil (analgesic)
ベクロニウム||vecuronium (muscle relaxant)
ロピバカイン||ropivacaine (local anaesthetic)
フロセミド||furosemide (diuretic)
咽喉マイク|いんこうマイク|throat microphone
うずまき線|うずまきせん|spiral
渦巻き線|うずまきせん|spiral
渦巻線|うずまきせん|spiral
うず形式|うずけいしき|vortex design
渦形式|うずけいしき|vortex design
おさ打ち|おさうち|beating; beating up
筬打ち|おさうち|beating; beating up
おさ通し|おさとおし|reed drawing-in (manuf.); denting
筬通し|おさとおし|reed drawing-in (manuf.); denting
桿状|かんじょう|rod-shaped; bacillary; bacilliform; baculiform
かん状|かんじょう|rod-shaped; bacillary; bacilliform; baculiform
桿状体|かんじょうたい|rod (shape of cell)
かん状体|かんじょうたい|rod (shape of cell)
杆状体|かんじょうたい|rod (shape of cell)
かん体|かんたい|rod (shape of cell)
杆体|かんたい|rod (shape of cell)
渦流ファン|かりゅうファン|regenerative fan; vortex flow fan
か流ファン|かりゅうファン|regenerative fan; vortex flow fan
か流ブロワ|かりゅうブロワ|regenerative blower; vortex flow blower
渦流ブロワ|かりゅうブロワ|regenerative blower; vortex flow blower
か流形センサ|かりゅうがたセンサ|vortex sensor
渦流形センサ|かりゅうがたセンサ|vortex sensor
か流形素子|かりゅうけいそし|vortex device
渦流形素子|かりゅうけいそし|vortex device
動作すきま|どうさすきま|differential gap
動作隙間|どうさすきま|differential gap
ウィドウア||widower
セルフィーユ||chervil
チャービル||chervil
初心者マーク|しょしんしゃマーク|sticker for new car drivers (green and yellow)
初心運転者標識|しょしんうんてんしゃひょうしき|sticker for new car drivers (green and yellow)
異国の人|いこくのひと|foreigner
手荷物検査|てにもつけんさ|hand baggage search
鍋敷き|なべしき|pot stand
ウッドクリップ||wooden clip; wooden clothespin
ウッド・クリップ||wooden clip; wooden clothespin
ニットキャップ||knit cap; woollen hat
ニット・キャップ||knit cap; woollen hat
副交感神経系|ふくこうかんしんけいけい|parasympathetic nerve system; parasympathetic nervous system
根明|ねあか|innate cheerfulness
根明|ねあか|innately cheerful person; happy-go-lucky person; natural optimist
根明か|ねあか|innate cheerfulness
根明か|ねあか|innately cheerful person; happy-go-lucky person; natural optimist
ネアカ||innate cheerfulness
ネアカ||innately cheerful person; happy-go-lucky person; natural optimist
ボタンを掛ける|ボタンをかける|to fasten a button
レントゲン技師|レントゲンぎし|radiographer; X-ray operator
忌引休暇|きびききゅうか|condolence leave
忌引き休暇|きびききゅうか|condolence leave
舌が肥える|したがこえる|to be particular about one's food; to have a discriminating palate
支払猶予|しはらいゆうよ|payment moratorium; extension on payment; respite for payment
支払い猶予|しはらいゆうよ|payment moratorium; extension on payment; respite for payment
若い頃|わかいころ|one's youth; early life; one's early days; one's early years
若いころ|わかいころ|one's youth; early life; one's early days; one's early years
取り扱い表示|とりあつかいひょうじ|care instructions
取扱表示|とりあつかいひょうじ|care instructions
手元現金|てもとげんきん|cash on hand
手許現金|てもとげんきん|cash on hand
小さい頃|ちいさいころ|as a child; when one was a child
小さいころ|ちいさいころ|as a child; when one was a child
幼い頃|おさないころ|as a child; when one was a child
幼いころ|おさないころ|as a child; when one was a child
賞を取る|しょうをとる|to win the prize; to win the ring
賞をとる|しょうをとる|to win the prize; to win the ring
常套|じょうとう|conventionality; triteness
常とう|じょうとう|conventionality; triteness
吊り索|つりさく|shroud line
つり索|つりさく|shroud line
悲嘆に暮れる|ひたんにくれる|to suffer heartache
悲嘆にくれる|ひたんにくれる|to suffer heartache
格闘家|かくとうか|martial artist; fighter
挌闘家|かくとうか|martial artist; fighter
異国人|いこくじん|foreigner; stranger; outsider; alien
糧食準備|りょうしょくじゅんび|food preparation
アッポジャトゥーラ||appoggiatura
ツボる||to hit the bullseye (of tastes, humour, etc.)
顕界|げんかい|this world; present world (as opposed to the realm of the dead)
狂拳|きょうけん|crazy fist (dragonball technique)
懸仏|かけぼとけ|round plaque carrying the image of a Buddha (usually hammered from behind) used in temples and shrines
オーストリア学派|オーストリアがくは|Austrian School (of economic theory)
侵害刺激|しんがいしげき|noxious stimulus; NS; noxious stimuli; nociceptive stimulus
建国者|けんこくしゃ|founder (of a nation)
アジア系|アジアけい|Asian; (person) of Asian descent; Asian- (e.g. Asian-American)
紙婚式|かみこんしき|paper wedding (anniversary)
木婚式|もっこんしき|wooden wedding (anniversary)
錫婚式|すずこんしき|tin wedding (anniversary)
水晶婚式|すいしょうこんしき|crystal wedding (anniversary)
真珠婚式|しんじゅこんしき|pearl wedding (anniversary)
銅婚式|どうこんしき|bronze wedding (anniversary)
ダイヤモンド婚式|ダイヤモンドこんしき|diamond wedding (anniversary)
藁婚式|わらこんしき|straw wedding (anniversary)
高等部|こうとうぶ|senior high school (esp. the senior high school section of a school that also encompasses other grades)
伏角|ふっかく|dip (angle that the direction of a compass needle makes with the horizon)
伏角|ふくかく|dip (angle that the direction of a compass needle makes with the horizon)
ヘモジデリン||hemosiderin
ヘモシアニン||hemocyanin
災害補償|さいがいほしょう|accident compensation
労働者災害補償保険|ろうどうしゃさいがいほしょうほけん|workers' accident compensation insurance
イ形容詞|イけいようし|adjective ending in "i"; i-adjective
ナ形容詞|ナけいようし|na-adjective; adjective ending in "na"
システム理論|システムりろん|system theory
次頁|じページ|next page
羌|きょん|Reeves's muntjac (Muntiacus reeves, species of barking deer); Chinese muntjac
羗|きょん|Reeves's muntjac (Muntiacus reeves, species of barking deer); Chinese muntjac
キョン||Reeves's muntjac (Muntiacus reeves, species of barking deer); Chinese muntjac
吠鹿|ほえじか|common muntjac (species of barking deer, Muntiacus muntjak); Indian muntjac
ホエジカ||common muntjac (species of barking deer, Muntiacus muntjak); Indian muntjac
四つ目鹿|よつめじか|Chinese muntjac (species of barking deer, Muntiacus reevesi)
ヨツメジカ||Chinese muntjac (species of barking deer, Muntiacus reevesi)
神名|しんめい|name of a god
神名|しんめい|name of a shrine
神名|じんみょう|name of a god
神名|じんみょう|name of a shrine
統計図表|とうけいずひょう|statistical chart; statistical graph
上方語|かみがたご|Edo-period Kansai dialect
江戸語|えどご|Edo dialect
江戸言葉|えどことば|Edo dialect
東京語|とうきょうご|Tokyo dialect (esp. historical)
全反射プリズム|ぜんはんしゃプリズム|total reflection prism
サブソサイエティ||sub-society (e.g. of an academic society)
直角プリズム|ちょっかくプリズム|right-angle prism
ニコルプリズム||Nicol prism
対立形質|たいりつけいしつ|allelic character; allelomorphic character
性形質|せいけいしつ|sexual characteristic
第一次性徴|だいいちじせいちょう|primary sexual characteristic
後形質|こうけいしつ|metaplasm (granular portion of cytoplasm)
電力回生|でんりょくかいせい|electricity regeneration
オペロン||operon
オペロン説|オペロンせつ|operon theory (Jacob & Monod, 1961)
リプレッサー||repressor
レプレッサー||repressor
シクロヘキサン||cyclohexane
ナフテン||naphthene
ナフテン系炭化水素|ナフテンけいたんかすいそ|naphthenic hydrocarbon
飽和炭化水素|ほうわたんかすいそ|saturated hydrocarbon
三重結合|さんじゅうけつごう|triple bond
ペンタン||pentane
ヘキサン||hexane
ヘプタン||heptane
シクロプロパン||cyclopropane
シクロスポリン||cyclosporin; cyclosporine
シクロクロス||cyclocross; cyclo-cross
シクロ||cyclo (Southeast Asian pedicab)
ベンゼン環|ベンゼンかん|benzene ring
フェニル||phenyl
アルキル||alkyl
アルキル基|アルキルき|alkyl group
アシル基|アシルき|acyl group
アセチル基|アセチルき|acetyl group
アセチル||acetyl
アリール基|アリールき|aryl group
カルボキシ基|カルボキシき|carboxy group
ヒドロキシル基|ヒドロキシルき|hydroxyl group
ベンゾイル基|ベンゾイルき|benzoyl group
金属結合|きんぞくけつごう|metallic bond
共有結合半径|きょうゆうけつごうはんけい|covalent radius
結合半径|けつごうはんけい|bond radius
自由電子|じゆうでんし|free electron
束縛電子|そくばくでんし|bound electron
単結合|たんけつごう|single bond
シストランス異性|シストランスいせい|cis-trans isomerism
ＳＩＳ|シス|strategic information system (SIS)
不飽和炭化水素|ふほうわたんかすいそ|unsaturated hydrocarbon
π電子|パイでんし|pi electron
σ電子|シグマでんし|sigma electron
不対電子|ふついでんし|unpaired electron
対生成|ついせいせい|pair production
電子対|でんしつい|electron pair
電子対|でんしつい|Cooper pair
電子雲|でんしうん|electron cloud
軌道電子|きどうでんし|orbital electron
分子軌道|ぶんしきどう|molecular orbital; MO
軌道関数|きどうかんすう|orbital function
不飽和脂肪酸|ふほうわしぼうさん|unsaturated fatty acid
飽和脂肪酸|ほうわしぼうさん|saturated fatty acid
不飽和化合物|ふほうわかごうぶつ|unsaturated compound
客先|きゃくさき|customer; client
手戻り|てもどり|reworking; returning; sending back; refactoring
イソブチレン||isobutylene
ブチレン||butylene
イソオクタン||isooctane
アンチノック性|アンチノックせい|anti-knocking
立体配座|りったいはいざ|conformation
ポルフィリン||porphyrin
シアノコバラミン||cyanocobalamin
ビタミンＢ１２|ビタミンビーじゅうに|vitamin B12
血色素尿|けっしきそにょう|hemoglobinuria; haemoglobinuria
グロビン||globin
ミオグロビン||myoglobin
オキシヘモグロビン||oxyhemoglobin
アロステリック効果|アロステリックこうか|allosteric effect
イソ||iso-
金黒羽白|きんくろはじろ|tufted duck (Aythya fuligula)
キンクロハジロ||tufted duck (Aythya fuligula)
頻脈|ひんみゃく|tachycardia
赤の女王仮説|あかのじょおうかせつ|Red Queen hypothesis (of evolutionary biology)
ハーディーワインベルクの法則|ハーディーワインベルクのほうそく|Hardy-Weinberg principle
幻肢痛|げんしつう|phantom pain
カルテジアン劇場|カルテジアンげきじょう|Cartesian theatre
随伴現象説|ずいはんげんしょうせつ|epiphenomenalism
ビタミンＥ|ビタミンイー|vitamin E
ビタミンＡ|ビタミンエー|vitamin A
ビタミンＨ|ビタミンエッチ|vitamin H
ビタミンＭ|ビタミンエム|vitamin M
ビタミンＬ|ビタミンエル|vitamin L (anthranilic acid)
ビタミンＫ|ビタミンケー|vitamin K
ビタミン欠乏症|ビタミンけつぼうしょう|vitamin deficiency disease; avitaminosis; hypovitaminosis
ビタミンＣ|ビタミンシー|vitamin C
ビタミンＤ|ビタミンディー|vitamin D
ビタミンＰ|ビタミンピー|vitamin P; bioflavonoids (as formerly regarded collectively as a vitamin)
ビタミンＢ１|ビタミンビーいち|vitamin B1
ビタミンＢ２|ビタミンビーに|vitamin B2
ビタミンＢ複合体|ビタミンビーふくごうたい|vitamin B complex
ビタミンＢ群|ビタミンビーぐん|vitamin B group
ビタミンＢ６|ビタミンビーろく|vitamin B6
プロビタミン||provitamin
スカイフック||skyhook; sky-hook; sky hook
スカイ・フック||skyhook; sky-hook; sky hook
利己的遺伝子|りこてきいでんし|selfish gene
セルフヘルプグループ||self-help group
セルフヘルプ・グループ||self-help group
セルフメディケーション||self-medication
セルフコントロール||self-control
自治行政|じちぎょうせい|self-government
自己決定権|じこけっていけん|right of self-determination
自己決定|じこけってい|self-determination
セルフケア||self-care
スプライシング||splicing (genetics)
イントロン||intron
エクソン||exon
エキソン||exon
ポリメラーゼ||polymerase
ＰＣＲ法|ピーシーアールほう|polymerase chain reaction (method) (PCR)
プロテオーム||proteome
二遺伝子雑種|にいでんしざっしゅ|dihybrid
染色体突然変異|せんしょくたいとつぜんへんい|chromosomal mutation; chromosome mutation
染色分体|せんしょくぶんたい|chromatid
クロマチン||chromatin
染色質|せんしょくしつ|chromatin
ヒストン||histone
単量体|たんりょうたい|monomer
ジペプチド||dipeptide
神経ペプチド|しんけいペプチド|neuropeptide
ノルアドレナリン||noradrenaline; noradrenalin
ノルエピネフリン||norepinephrine
エピネフリン||epinephrine
個体群生態学|こたいぐんせいたいがく|population ecology
個生態学|こせいたいがく|autecology; autoecology
群集生態学|ぐんしゅうせいたいがく|synecology; community ecology
森林生態学|しんりんせいたいがく|forest ecology
海洋生態学|かいようせいたいがく|marine ecology
植物生態学|しょくぶつせいたいがく|plant ecology
都市生態学|としせいたいがく|urban ecology
人間生態学|にんげんせいたいがく|human ecology
ディープエコロジー||deep ecology
ディープ・エコロジー||deep ecology
飲酒検知器|いんしゅけんちき|breathalyser; alcometer
筆禅道|ひつぜんどう|Art of the Brush (esp. school of Japanese Zen calligraphy)
人工湖|じんこうこ|artificial lake
人口湖|じんこうこ|artificial lake
胃酸欠乏症|いさんけつぼうしょう|gastric achlorhydria
言語交換|げんごこうかん|language exchange
ほの字|ほのじ|the L-word (i.e. love)
偽|ぎ|(logic) false
道なき道|みちなきみち|trackless path
飾り石|かざりいし|semi-precious stone; ornate stone; embellished stone
出|しゅつ|coming out; emerging
出|しゅつ|being born into (a certain family); being a native of (a particular place)
読みで|よみで|huge amount of material (worth reading); richness of content (of a book)
読み出|よみで|huge amount of material (worth reading); richness of content (of a book)
植物生理学|しょくぶつせいりがく|plant physiology; physiological botany
酔芙蓉|すいふよう|cotton rosemallow (Hibiscus mutabilis cv. Versicolor); Confederate rose
未来人|みらいじん|man of the future; Homo futurus; time traveler from the future
テレポーテーション||teleportation
物理法則|ぶつりほうそく|physical law; laws of physics
諮問事項|しもんじこう|terms of reference
他愛のない|たわいのない|silly; foolish; absurd; childish; easy; trifling; guileless
他愛の無い|たわいのない|silly; foolish; absurd; childish; easy; trifling; guileless
天気祭|てんきまつり|ceremony held to pray for good weather (during long periods of rain)
天気祭り|てんきまつり|ceremony held to pray for good weather (during long periods of rain)
色数|いろかず|number of colors
人には添うてみよ馬には乗ってみよ|ひとにはそうてみようまにはのってみよ|you can't judge someone until you've spent time with them; you can't judge something until you've tried it; judge a man by living with him, and try a horse by riding him
人には添うて見よ馬には乗って見よ|ひとにはそうてみようまにはのってみよ|you can't judge someone until you've spent time with them; you can't judge something until you've tried it; judge a man by living with him, and try a horse by riding him
寛|かん|lenient; gentle
寛|ゆた|relaxed
トービン税|トービンぜい|Tobin tax (on cross-border currency trading)
難字|なんじ|difficult character; complicated kanji
旧族|きゅうぞく|ancient clan
プロム||prom
飲酒店|いんしゅてん|drinking establishment; bar
感情労働|かんじょうろうどう|emotional labour
険|けん|steepness; steep place
険|けん|harsh (look); sharp (tongue)
嶮|けん|steepness; steep place
嶮|けん|harsh (look); sharp (tongue)
らしくない||unusual; different
特定外来生物|とくていがいらいせいぶつ|introduced species (esp. invasive species as defined by law)
外来生物法|がいらいせいぶつほう|Invasive Alien Species Act (2004)
特定外来生物防止法|とくていがいらいせいぶつぼうしほう|Invasive Alien Species Act (2004)
六甲颪|ろっこうおろし|cold northerly winter wind from the Rokko Mountains
六甲おろし|ろっこうおろし|cold northerly winter wind from the Rokko Mountains
ＯＴＣ薬|オーティーシーやく|over-the-counter drug
ＯＴＣ|オーティーシー|over-the-counter drug
零余子|むかご|bulbil (esp. of a Japanese yam); propagule; brood bud
零余子|ぬかご|bulbil (esp. of a Japanese yam); propagule; brood bud
零余子|れいよし|bulbil (esp. of a Japanese yam); propagule; brood bud
大王松|だいおうしょう|longleaf pine (Pinus palustris)
大王松|だいおうまつ|longleaf pine (Pinus palustris)
ダイオウショウ||longleaf pine (Pinus palustris)
ダイオウマツ||longleaf pine (Pinus palustris)
キッチンペーパー||paper towel
キッチン・ペーパー||paper towel
町全体|まちぜんたい|the whole town
タルタル||tartar; tartare
性風俗|せいふうぞく|sexual culture; sexual mores
性俗|せいぞく|sexual culture; sexual mores
始点|してん|point of departure; initial point; starting point
派遣会社|はけんかいしゃ|temporary staff recruitment agency; employment agency
派遣会社|はけんがいしゃ|temporary staff recruitment agency; employment agency
奇形腫|きけいしゅ|teratoma; teratocarcinoma; teratoid tumor
玄関口|げんかんぐち|entrance door; front door
お米|おこめ|(husked grains of) rice
御米|おこめ|(husked grains of) rice
続き部屋|つづきべや|adjoining rooms
続き部屋|つづきへや|adjoining rooms
へったくれ||to hell with; be damned
捨て駒|すてごま|sacrificial pawn; sacrificed piece
捨駒|すてごま|sacrificial pawn; sacrificed piece
荷|か|counter for loads (that can be carried on one's shoulders)
雁皮|がんぴ|Diplomorpha sikokiana (species of flowering plant)
雁皮|がんぴ|paper made from the fibre of this plant
ガンピ||Diplomorpha sikokiana (species of flowering plant)
ガンピ||paper made from the fibre of this plant
鳥の子紙|とりのこがみ|eggshell-colored traditional Japanese paper made primarily of Diplomorpha sikokiana fibres (high-quality, glossy)
地|じ|ground; land; earth; soil
地|じ|the region in question; the local area
地|じ|skin
地|じ|texture; fabric; material; weave
地|じ|base; background
地|じ|one's true nature
地|じ|narrative (i.e. descriptive part of a story)
地|じ|real life; actuality
地|じ|(in the game of go) captured territory
地|じ|noh chorus
地|じ|(in Japanese dance) accompaniment music
地|じ|(in Japanese music) basic phrase (usu. repetitive)
地|じ|base part (of multiple shamisens)
土|に|soil (esp. reddish soil)
ごぼっ||gurgling down; being sucked into; caving in suddenly
ごまんと||in a great quantity
再拘留|さいこうりゅう|(a) remand
再雇用|さいこよう|reemployment
細粒|さいりゅう|fine grain; fine granule; microsphere
棹差す|さおさす|to pole (a boat); to punt (a boat); to swim with the tide
