飛蝗目|ばったもく|Orthoptera
泡ぶろ|あわぶろ|jacuzzi; whirlpool bath
あわ風呂|あわぶろ|bubble bath
あわ風呂|あわぶろ|jacuzzi; whirlpool bath
世界全体|せかいぜんたい|entire world; whole world; world stage
墨付鮫|すみつきざめ|whitecheek shark (Carcharhinus dussumieri, species of the Indo-West Pacific)
スミツキザメ||whitecheek shark (Carcharhinus dussumieri, species of the Indo-West Pacific)
ホウライザメ||spot-tail shark (Carcharhinus sorrah, species of requiem shark found in the Indo-West Pacific)
端黒|つまぐろ|blacktip reef shark (Carcharhinus melanopterus, species of requiem shark mostly found in the Indo-Pacific)
端黒|つまぐろ|black tip
妻黒|つまぐろ|blacktip reef shark (Carcharhinus melanopterus, species of requiem shark mostly found in the Indo-Pacific)
妻黒|つまぐろ|black tip
ツマグロ||blacktip reef shark (Carcharhinus melanopterus, species of requiem shark mostly found in the Indo-Pacific)
ツマグロ||black tip
花鮫|はなざめ|spinner shark (Carcharhinus brevipinna); long-nose grey shark
華鮫|はなざめ|spinner shark (Carcharhinus brevipinna); long-nose grey shark
ハナザメ||spinner shark (Carcharhinus brevipinna); long-nose grey shark
ホコサキ||hardnose shark (Carcharhinus macloti, species of requiem shark found in the Indo-West Pacific)
黒尖鮫|くろとがりざめ|silky shark (Carcharhinus falciformis, species of circumtropical requiem shark)
クロトガリザメ||silky shark (Carcharhinus falciformis, species of circumtropical requiem shark)
黒縁目白鮫|くろへりめじろざめ|copper shark (Carcharhinus brachyurus, only member of Carcharhinus found mostly at temperate latitudes); bronze whaler; narrowtooth shark
クロヘリメジロザメ||copper shark (Carcharhinus brachyurus, only member of Carcharhinus found mostly at temperate latitudes); bronze whaler; narrowtooth shark
レプチャ語|レプチャご|Lepcha (language)
干物女|ひものおんな|woman who while young has abandoned love
ドラグーン||dragoon
尾黒目白鮫|おぐろめじろざめ|blacktail reef shark (Carcharhinus amblyrhynchos, species of Indo-Pacific requiem shark); grey reef shark
オグロメジロザメ||blacktail reef shark (Carcharhinus amblyrhynchos, species of Indo-Pacific requiem shark); grey reef shark
波止|はと|breakwater; seawall; bulwark; mole; narrow stone structure for breaking incoming waves and loading goods on and off ships
波戸|はと|breakwater; seawall; bulwark; mole; narrow stone structure for breaking incoming waves and loading goods on and off ships
鬼カサゴ|おにカサゴ|scorpionfish (Scorpaenopsis cirrhosa); hairy stingfish
オニカサゴ||scorpionfish (Scorpaenopsis cirrhosa); hairy stingfish
弔花|ちょうか|funeral flowers
厚底靴|あつぞこぐつ|platform shoes; thick-soled shoes
斡旋販売|あっせんはんばい|mediated marketing; mediated sales
カマストガリザメ||blacktip shark (Carcharhinus limbatus, species of reef-associated requiem shark)
ガラパゴスザメ||Galapagos shark (Carcharhinus galapagensis, species of circumtropical requiem shark found in the reef environments around oceanic islands)
ドタブカ||dusky shark (Carcharhinus obscurus, species of reef-associated requiem shark)
ハナグロザメ||blacknose shark (Carcharhinus acronotus, species of requiem shark common in the western Atlantic)
ハナグロ||blacknose shark (Carcharhinus acronotus, species of requiem shark common in the western Atlantic)
ハビレ||bignose shark (Carcharhinus altimus, species of circumglobal requiem shark)
四本足|よんほんあし|four-legged; four legs
乗法標準形|じょうほうひょうじゅんけい|conjunctive normal form; CNF
商材|しょうざい|product; commodity; merchandise
オグロ||graceful shark (Carcharhinus amblyrhynchoides, species of requiem shark found in the tropical Indo-Pacific)
タイワンヤジブカ||pigeye shark (Carcharhinus amboinensis, species of tropical requiem shark)
ボルネオメジロザメ||Borneo shark (Carcharhinus borneensis, species of requiem shark found in Borneo and China)
弾力的運用|だんりょくてきうんよう|elastic operation; flexible management
地図学|ちずがく|cartography
現地語|げんちご|indigenous language; local language; vernacular; native tongue
止水栓|しすいせん|stop cock; stop valve; curb cock; shut-off valve
エストニア語|エストニアご|Estonian (language)
スロバキア語|スロバキアご|Slovakian (language); Slovak
スロベニア語|スロベニアご|Slovenian (language); Slovene
チェコ語|チェコご|Czech (language)
デンマーク語|デンマークご|Danish (language)
フィンランド語|フィンランドご|Finnish (language)
ブルガリア語|ブルガリアご|Bulgarian (language); Bulgar
ラトビア語|ラトビアご|Latvian (language)
リトアニア語|リトアニアご|Lithuanian (language)
ペレス目白鮫|ペレスめじろざめ|Caribbean reef shark (Carcharhinus perezii, species of requiem shark found in the tropical waters of the western Atlantic Ocean from Florida to Brazil)
ペレスメジロザメ||Caribbean reef shark (Carcharhinus perezii, species of requiem shark found in the tropical waters of the western Atlantic Ocean from Florida to Brazil)
海獺|うみうそ|sea lion
海獺|うみおそ|sea lion
ナガハナメジロザメ||night shark (Carcharhinus signatus, species of nocturnally active requiem shark found in the Atlantic Ocean)
ガンジスメジロザメ属|ガンジスメジロザメぞく|Glyphis (genus containing 5 known species of secretive true river sharks in the family Carcharhinidae)
ガンジスメジロザメ||Ganges shark (Glyphis gangeticus, rare species of fresh water requiem shark that dwells in the rivers of India)
スピアートゥースシャーク||speartooth shark (Glyphis glyphis, species of fresh water requiem shark from the western Pacific known only from the original description of 1839)
スピアートゥース・シャーク||speartooth shark (Glyphis glyphis, species of fresh water requiem shark from the western Pacific known only from the original description of 1839)
銀杏|ぎんなん|ginkgo nut; gingko nut
ギンナン||ginkgo nut; gingko nut
社交ダンス|しゃこうダンス|social dance; ballroom dancing
分有|ぶんゆう|partial ownership; possession in portions
二人部屋|ふたりべや|double room
光触媒|ひかりしょくばい|photocatalyst; photocatalysis
光触媒作用|ひかりしょくばいさよう|photocatalysis
プロチーム||professional team (usu. in sport); pro team
プロ・チーム||professional team (usu. in sport); pro team
間の抜けた|まのぬけた|idiotic; dolt; bonehead
ツバクロザメ属|ツバクロザメぞく|Isogomphodon (genus of requiem shark in the family Carcharhinidae with one extant species known as the daggernose shark)
ツバクロザメ||daggernose shark (Isogomphodon oxyrhynchus, species of requiem shark found in Trinidad, Guyana, Suriname, French Guiana, and Brazil)
穴熊囲い|あなぐまがこい|defensive opening for shogi ("badger" or "anaguma" castle)
日本穴熊|にほんあなぐま|Japanese badger (Meles meles anakuma)
ニホンアナグマ||Japanese badger (Meles meles anakuma)
トガリメザメ属|トガリメザメぞく|Loxodon (genus containing the sliteye shark as its only member in the family Carcharhinidae)
トガリメザメ||sliteye shark (Loxodon macrorhinus, species of requiem shark found in the tropical waters of the Indo-West Pacific)
トガリザメ属|トガリザメぞく|Nasolamia (genus of requiem shark in the family Carcharhinidae whose only member is the whitenose shark)
トガリザメ||whitenose shark (Nasolamia velox, species found in the eastern Pacific)
レモンザメ属|レモンザメぞく|Negaprion (genus of requiem sharks in the family Carcharhinidae containing the two extant species of lemon sharks)
ニシレモンザメ||lemon shark (Negaprion brevirostris, species of requiem shark)
地方名|ちほうめい|geographical name
地方名|ちほうめい|local name
ヨシキリザメ属|ヨシキリザメぞく|Prionace (genus of requiem shark in the family Carcharhinidae whose sole member is the blue shark)
ヒラガシラ属|ヒラガシラぞく|Rhizoprionodon (genus of sharpnose sharks in the requiem shark family Carcharhinidae)
ミルクシャーク||milk shark (Rhizoprionodon acutus, species of requiem shark found in the eastern Atlantic and the Indo-Pacific)
ミルク・シャーク||milk shark (Rhizoprionodon acutus, species of requiem shark found in the eastern Atlantic and the Indo-Pacific)
ブラジルヒラガシラ||Brazilian sharpnose shark (Rhizoprionodon lalandii, species of requiem shark found in the western Atlantic Ocean)
アンコウザメ||grey sharpnose shark (Rhizoprionodon oligolinx, species of requiem shark found in the Indo-West Pacific)
ニューファウンドランドヒラガシラ||Atlantic sharpnose shark (Rhizoprionodon terraenovae, species of requiem shark found in the northwestern Atlantic)
トガリアンコウザメ属|トガリアンコウザメぞく|Scoliodon (genus of requiem shark in the family Carcharhinidae whose sole member is the spadenose shark)
トガリアンコウザメ||spadenose shark (Scoliodon laticaudus, species of requiem shark found in the Indo-West Pacific)
ネムリブカ属|ネムリブカぞく|Triaenodon (genus of requiem shark in the family Carcharhinidae whose sole member is the whitetip reef shark)
ヒレトガリザメ科|ヒレトガリザメか|Hemigaleidae; family of weasel sharks
テンイバラザメ属|テンイバラザメぞく|Paragaleus (genus in the weasel shark family Hemigaleidae)
テンイバラザメ||straight-tooth weasel shark (Paragaleus tengi, species of Western Pacific weasel shark found from Japan to Viet Nam)
カマヒレザメ属|カマヒレザメぞく|Hemipristis; genus of the weasel shark family Hemigaleidae
カマヒレザメ||snaggletooth shark (Hemipristis elongata)
ヒレトガリザメ属|ヒレトガリザメぞく|Hemigaleus (genus of the weasel shark family Hemigaleidae)
ヒレトガリザメ||sicklefin weasel shark (Hemigaleus microstoma, species of Indo-West Pacific weasel shark)
印度撞木鮫|いんどしゅもくざめ|winghead shark (Eusphyra blochii, species of Indo-West Pacific hammerhead shark)
インドシュモクザメ||winghead shark (Eusphyra blochii, species of Indo-West Pacific hammerhead shark)
シュモクザメ属|シュモクザメぞく|Sphyrna; genus of hammerhead sharks in the family Sphyrnidae
微分積分学|びぶんせきぶんがく|calculus
緩衝材|かんしょうざい|cushioning; packaging
長手|ながて|longish; moderately long
長手|ながて|stretcher; long side of timber (etc.), or a timber placed lengthwise
長手|ながて|long road
差分商|さぶんしょう|difference quotient; divided difference
メモ用紙|メモようし|memo pad
コランダー||colander; strainer; sieve
年輪気候学|ねんりんきこうがく|dendroclimatology; tree-ring climatology
ヘミガレウス科|ヘミガレウスか|Hemigaleidae; family of weasel sharks
トラ||trouble
アルテミシア属|アルテミシアぞく|Artemisia; genus of daisies
問題にならない|もんだいにならない|unthinkable; count for nothing; not matter; out of the question
フェイスブック||Facebook
受取通知|うけとりつうち|advice of receipt; AR; notice of receipt
還啓|かんけい|return to the palace (usu. of the empress, crown prince, etc.)
スカラップボンネットヘッド||scalloped bonnethead (Sphyrna corona, little-known species of hammerhead shark found in the eastern Pacific from southern Mexico to northern Peru)
スカラップ・ボンネットヘッド||scalloped bonnethead (Sphyrna corona, little-known species of hammerhead shark found in the eastern Pacific from southern Mexico to northern Peru)
団扇撞木鮫|うちわしゅもくざめ|bonnethead (Sphyrna tiburo, species of hammerhead shark found in the Western Hemisphere)
ウチワシュモクザメ||bonnethead (Sphyrna tiburo, species of hammerhead shark found in the Western Hemisphere)
スクープヘッド||scoophead (Sphyrna media, species of little-known hammerhead shark found in tropical waters of the western Atlantic and eastern Pacific)
ナミシュモクザメ||smalleye hammerhead (Sphyrna tudes, species of hammerhead shark common in the western Atlantic)
スモールアイ・ハンマーヘッド||smalleye hammerhead (Sphyrna tudes, species of hammerhead shark common in the western Atlantic)
スモールアイハンマーヘッド||smalleye hammerhead (Sphyrna tudes, species of hammerhead shark common in the western Atlantic)
赤撞木鮫|あかしゅもくざめ|scalloped hammerhead (Sphyrna lewini); bronze hammerhead shark
アカシュモクザメ||scalloped hammerhead (Sphyrna lewini); bronze hammerhead shark
白撞木鮫|しろしゅもくざめ|smooth hammerhead (Sphyrna zygaena, species of hammerhead shark)
シロシュモクザメ||smooth hammerhead (Sphyrna zygaena, species of hammerhead shark)
平撞木鮫|ひらしゅもくざめ|great hammerhead (Sphyrna mokarran, the largest species of hammerhead shark)
ヒラシュモクザメ||great hammerhead (Sphyrna mokarran, the largest species of hammerhead shark)
ホワイトフィンハンマーヘッド||whitefin hammerhead (Sphyrna couardi, species of hammerhead shark found in the West African tropics of the eastern Atlantic from Senegal to Congo)
ホワイトフィン・ハンマーヘッド||whitefin hammerhead (Sphyrna couardi, species of hammerhead shark found in the West African tropics of the eastern Atlantic from Senegal to Congo)
スズメダイ科|スズメダイか|Pomacentridae; family containing about 360 species of primarily marine tropical damselfishes and clownfishes
スグリ属|スグリぞく|Ribes (genus of flowering plants, including the edible currants)
スタテル||stater (coin used in ancient Greece)
シェケル||shekel; sheqel
バタピー||shelled skinless peanuts prepared in butter
バターピーナッツ||shelled skinless peanuts prepared in butter
バター・ピーナッツ||shelled skinless peanuts prepared in butter
瑠璃雀鯛|るりすずめだい|sapphire devil (Chrysiptera cyanea, damselfish from the Indo-West Pacific)
ルリスズメダイ||sapphire devil (Chrysiptera cyanea, damselfish from the Indo-West Pacific)
ルリスズメダイ属|ルリスズメダイぞく|Chrysiptera (genus of damselfish in the family Pomacentridae)
クジャクスズメダイ||sapphire damsel (Pomacentrus pavo, species of marine damselfish from the Indo-Pacific)
インド太平洋|インドたいへいよう|Indo-Pacific
三筋琉球雀鯛|みすじりゅうきゅうすずめだい|whitetail dascyllus (Dascyllus aruanus, species of damselfish from the Indo- West Pacific); humbug dascyllus; banded dascyllus; white-tailed damselfish
ミスジリュウキュウスズメダイ||whitetail dascyllus (Dascyllus aruanus, species of damselfish from the Indo- West Pacific); humbug dascyllus; banded dascyllus; white-tailed damselfish
ミツボシクロスズメダイ||threespot dascyllus (Dascyllus trimaculatus, species of Indo-Pacific damselfish)
ミスジリュウキュウスズメダイ属|ミスジリュウキュウスズメダイぞく|Dascyllus (genus of damselfish in the family Pomacentridae)
ソラスズメダイ属|ソラスズメダイぞく|Pomacentrus (genus of marine damselfish in the family Pomacentridae)
クロスズメダイ||bowtie damselfish (Neoglyphidodon melas, species of Indo-West Pacific damselfish)
ヒレナガスズメダイ属|ヒレナガスズメダイぞく|Neoglyphidodon (genus of damselfish in the family Pomacentridae)
ガリバルディ||Garibaldi damselfish (Hypsypops rubicundus, damselfish found from Monterey Bay California to Guadalupe Island Baja California); official state marine fish of California
ラブカ科|ラブカか|Chlamydoselachidae; family of frilled sharks
ラブカ属|ラブカぞく|Chlamydoselachus (genus containing only the frilled shark and the Southern African frilled shark in the family Chlamydoselachidae)
新自由主義者|しんじゆうしゅぎしゃ|neoliberal
剣身|けんしん|sword blade
炭素相殺|たんそそうさい|carbon offset
検真|けんしん|verification of the authenticity of a document (e.g. by seal or handwriting)
カグラザメ科|カグラザメか|Hexanchidae; family with four species and three genera of cow sharks characterized by either one or two additional pairs of gill slits
エドアブラザメ属|エドアブラザメぞく|Heptranchias; genus of cow shark in the family Hexanchidae containing the sharpnose seven-gill shark as its only member
江戸油鮫|えどあぶらざめ|sharpnose sevengill shark (Heptranchias perlo)
エドアブラザメ||sharpnose sevengill shark (Heptranchias perlo)
エビスザメ属|エビスザメぞく|Notorynchus; genus of cow sharks in the family Hexanchidae
ブロードノーズセブンギルシャーク||broadnose sevengill shark (Notorynchus cepedianus, species of circumglobal cow shark with 7 gill slits)
ブロードノーズ・セブンギル・シャーク||broadnose sevengill shark (Notorynchus cepedianus, species of circumglobal cow shark with 7 gill slits)
カグラザメ属|カグラザメぞく|Hexanchus; genus of sixgill sharks in the family Hexanchidae comprised of 2 extant species
シロカグラ||bigeyed sixgill shark (Hexanchus nakamurai, species of cow shark)
条鰭綱|じょうきこう|Actinopterygii (class of the ray-finned fishes comprising nearly 95% of the 25,000 species of fish)
クロハギ属|クロハギぞく|Acanthurus (type genus of surgeonfishes and tangs in the family Acanthuridae which have a pair of sharp spines on either side of the base of the tail)
サザナミハギ属|サザナミハギぞく|Ctenochaetus; genus of bristletooth tangs in the family Acanthuridae
メイキュウサザナミハギ||chevron tang (Ctenochaetus hawaiiensis, species of bristletooth tang from the Pacific); black surgeonfish; Hawaiian kole; Hawaiian surgeonfish
ストライプドフィンサージョンフィッシュ||striped-fin surgeonfish (Ctenochaetus marginatus, species of bristletooth tangs from the Pacific); blue-spotted bristletooth
ストライプドフィンサージャンフィッシュ||striped-fin surgeonfish (Ctenochaetus marginatus, species of bristletooth tangs from the Pacific); blue-spotted bristletooth
トミニサージョンフィッシュ||Tomini surgeonfish (Ctenochaetus tominiensis, species of bristletooth tang from the Western Central Pacific)
トミニサージャンフィッシュ||Tomini surgeonfish (Ctenochaetus tominiensis, species of bristletooth tang from the Western Central Pacific)
インディアンゴールドリングブリストルトゥース||Indian gold-ring bristle-tooth (Ctenochaetus truncatus, species of bristletooth tang native to the Indian Ocean)
ホワイトテールドサージョンフィッシュ||Ctenochaetus flavicauda (species from the Central Pacific, smallest bristletooth tang of its genus)
テングハギ属|テングハギぞく|Naso (genus of tropical marine surgeonfishes in the family Acanthuridae known as unicorn fishes due to a spike protruding from the forehead)
ツマリテングハギ||spotted unicornfish (Naso brevirostris, species of Indo-Pacific tang)
エレガンスユニコーンフィッシュ||elegant unicornfish (Naso elegans, species of Indian Ocean tang)
エレガントユニコーンフィッシュ||elegant unicornfish (Naso elegans, species of Indian Ocean tang)
オニテングハギ||humpback unicornfish (Naso brachycentron, species of Indo-Pacific tang)
キビレボウズハギ||slender unicorn (Naso minor, species of Indo-West Pacific tang found from Mozambique to the Philippines); blackspine unicornfish; little unicorn
グレーユニコーンフィッシュ||gray unicornfish (Naso caesius, species of Pacific tang)
ゴマテングハギモドキ||spotted unicornfish (Naso maculatus, species of Pacific tang found from Japan and Lord Howe Island to Hawaii)
サザナミトサカハギ||bignose unicornfish (Naso vlamingii, species of Indo-pan-Pacific tang)
スクエアユニコーンフィッシュ||squarenose unicornfish (Naso mcdadei, species of Indo-West Pacific tang found from East Africa to the Great Barrier Reef)
テングハギモドキ||sleek unicornfish (Naso hexacanthus, species of Indo-Pacific tang); sleek unicorn; blacktongue unicorn; Thorpe's unicornfish; nohorn unicorn
トサカハギ||humpnose unicornfish (Naso tuberosus, species of Indo-Pacific tang)
遅すぎる|おそすぎる|to be too late; to be too slow
遅過ぎる|おそすぎる|to be too late; to be too slow
巨星墜つ|きょせいおつ|death of a great man; the fall of a great star
ど突く|どつく|to jab; to hit; to punch
ど突く|どづく|to jab; to hit; to punch
思い知らす|おもいしらす|to make someone realize (e.g. their mistake); to bring (something) home to someone; to teach someone a lesson
可換環|かかんかん|commutative ring
マサラ||masala (mixture of spices used in Indian cooking)
マサラー||masala (mixture of spices used in Indian cooking)
季節柄|きせつがら|in these times; in times likes these; the season being what it is
飯落ち|めしおち|dropping off-line to eat
追いかけっこ|おいかけっこ|chasing one another; playing tag
追い掛けっこ|おいかけっこ|chasing one another; playing tag
のんべんだらり||idly; sluggishly; doing nothing
渇愛|かつあい|thirst; craving; desire
いいか||Listen! (used to get someone's attention)
いいか||You see ...; Mind you ...; Remember ...
いいかい||Listen! (used to get someone's attention)
いいかい||You see ...; Mind you ...; Remember ...
エスクリマ||escrima (Filipino martial art)
胸一つ|むねひとつ|one's heart
胸一つ|むねひとつ|at one's discretion; in one's hands
胸ひとつ|むねひとつ|one's heart
胸ひとつ|むねひとつ|at one's discretion; in one's hands
後日物語|ごじつものがたり|sequel
アーニス||arnis (Filipino marshal art)
受け壺|うけつぼ|part of a lock that receives the latch; keeper; strike
受壺|うけつぼ|part of a lock that receives the latch; keeper; strike
講義資料|こうぎしりょう|lecture materials
二重焦点レンズ|にじゅうしょうてんレンズ|bifocal lens
遠近両用メガネ|えんきんりょうようメガネ|bifocal glasses; bifocals
堕獄|だごく|going to hell; falling into hell
メイドバイ||made by
メイド・バイ||made by
セミダブル||three-quarter bed
パーソナル情報|パーソナルじょうほう|personal information
屈撓|くっとう|bending
付合|ふごう|accession
附合|ふごう|accession
付合|つけあい|linking poems
異常者|いじょうしゃ|deviant; deviate; pervert
ブラックジョーク||black joke; black comedy; morbid humor
ブラック・ジョーク||black joke; black comedy; morbid humor
忌憚のない|きたんのない|unrestrained; unreserved; candid; frank
付け台|つけだい|counter in a sushi restaurant
付台|つけだい|counter in a sushi restaurant
漬け台|つけだい|counter in a sushi restaurant
漬台|つけだい|counter in a sushi restaurant
ナガテングハギモドキ||elongate unicornfish (Naso lopezi, species of western Pacific tang)
バルブノーズユニコーンフィッシュ||bulbnose unicornfish (Naso tonganus, species of Indo-West Pacific tang)
ヒメテングハギ||whitemargin unicornfish (Naso annulatus)
ボウズハギ||oneknife unicornfish (Naso thynnoides, species of Indo-Pacific tang)
モアイテングハギ||horseface unicornfish (Naso fageni, species of Indo-West Pacific tang)
胸搦み|むながらみ|collar; lapels
アカツキハギ||Achilles tang (Acanthurus achilles, species of surgeonfish found from the Western Pacific to the East Central Pacific)
アキレスタン||Achilles tang (Acanthurus achilles, species of surgeonfish found from the Western Pacific to the East Central Pacific)
馬体|ばたい|body of a horse
探偵事務所|たんていじむしょ|detective bureau; investigation firm
抑揚のない|よくようのない|monotonous
胸ぐらを掴む|むなぐらをつかむ|to grab someone by the collar; to grab someone by the lapels
胸ぐらをつかむ|むなぐらをつかむ|to grab someone by the collar; to grab someone by the lapels
鉄パイプ|てつパイプ|iron pipe; steel pipe; metal pipe
アメリカ独立記念日|アメリカどくりつきねんび|American Independence day; Fourth of July
水風船|みずふうせん|water balloon
砂漠化|さばくか|desertification
砂漠化|さばくか|to turn to desert
レセプションアテンダント||woman paid to accompany men at various events
レセプタント||woman paid to accompany men at various events
政治制度|せいじせいど|political system; political institution; regime
総理官邸|そうりかんてい|Prime Minister's official residence
インディアンオーシャンミミックサージョンフィッシュ||Indian Ocean mimic surgeonfish (Acanthurus tristis, species of tang from the Indian Ocean)
インディアンオーシャンミミックサージャンフィッシュ||Indian Ocean mimic surgeonfish (Acanthurus tristis, species of tang from the Indian Ocean)
オレンジソケットサージョンフィッシュ||orange-socket surgeonfish (Acanthurus auranticavus, species of the Indo-West Pacific)
オレンジソケットサージャンフィッシュ||orange-socket surgeonfish (Acanthurus auranticavus, species of the Indo-West Pacific)
廃作|はいさく|termination of cultivation (usu. tobacco)
ホメオパス||homoeopath
ガルフサージョンフィッシュ||Gulf surgeonfish (Acanthurus randalli, species of tang found in Florida and northeastern Gulf of Mexico)
ガルフサージャンフィッシュ||Gulf surgeonfish (Acanthurus randalli, species of tang found in Florida and northeastern Gulf of Mexico)
ホリゾンタル||horizontal
ホルタートップ||halter top
ホルター・トップ||halter top
ボーテックス||vortex
ボルテックス||vortex
ソハールサージョンフィッシュ||sohal surgeonfish (Acanthurus sohal, species of tang found from the Red Sea to the Persian Gulf); Red Sea surgeonfish; sohal tang
ソハールサージャンフィッシュ||sohal surgeonfish (Acanthurus sohal, species of tang found from the Red Sea to the Persian Gulf); Red Sea surgeonfish; sohal tang
ダブルバンドサージョンフィッシュ||doubleband surgeonfish (Acanthurus tennentii, species of Indian Ocean tang); lieutenant surgeon; lieutenant surgeonfish; lieutenant tang
ダブルバンドサージャンフィッシュ||doubleband surgeonfish (Acanthurus tennentii, species of Indian Ocean tang); lieutenant surgeon; lieutenant surgeonfish; lieutenant tang
また来週|またらいしゅう|See you next week
又来週|またらいしゅう|See you next week
樹形|じゅけい|tree form; tree shape; shape of a tree
オントレード||on-trade
配策|はいさく|routing (cables, esp. in vehicles)
入館|にゅうかん|entry (e.g. library, school, museum); entering
入管|にゅうかん|Immigration Bureau
棘尾大蜥蜴|とげおおおとかげ|ridge-tailed monitor (Varanus acanthurus, species of monitor lizard found throughout the arid northern regions of Australia); spiny-tailed monitor
トゲオオオトカゲ||ridge-tailed monitor (Varanus acanthurus, species of monitor lizard found throughout the arid northern regions of Australia); spiny-tailed monitor
オオトカゲ属|オオトカゲぞく|Varanus; genus of carnivorous monitor lizards in the family Varanidae
オオトカゲ科|オオトカゲか|Varanidae; family of carnivorous monitor lizards whose only extant genus is Varanus
黒細大蜥蜴|くろほそおおとかげ|black tree monitor (Varanus beccarii, species of monitor lizard from the Aru Islands of eastern Indonesia); Beccari's monitor
クロホソオオトカゲ||black tree monitor (Varanus beccarii, species of monitor lizard from the Aru Islands of eastern Indonesia); Beccari's monitor
デュメリルオオトカゲ||Dumeril's monitor (Varanus dumerilii, species of carnivorous monitor lizard from Southeast Asia)
ベンガルオオトカゲ||Bengal monitor (Varanus bengalensis, species of carnivorous monitor lizard found widely distributed over South Asia); common Indian monitor
キイロオオトカゲ||yellow monitor (Varanus flavescens, species of asian carnivorous monitor lizard found in India, Pakistan, Nepal and Bangladesh)
ヒガシベンガルオオトカゲ||clouded monitor (Varanus nebulosus, species of diurnal carnivorous monitor lizard native to South-East Asia)
ザラクビオオトカゲ||black roughneck monitor lizard (Varanus rudicollis, carnivorous species found throughout Southeast Asia)
ボガートホソオオトカゲ||Louisiade tree monitor (Varanus bogerti, species of carnivorous monitor lizard)
オルリオオトカゲ||blue-tailed monitor (Varanus doreanus, species of carnivorous monitor lizard found in Australia, New Guinea, and the Bismarck Archipelago); Kalabeck's monitor
マングローブオオトカゲ||mangrove monitor (Varanus indicus, species of carnivorous monitor lizard from the Western Pacific); mangrove goanna; Western Pacific monitor lizard
マングローブモニター||mangrove monitor (Varanus indicus, species of carnivorous monitor lizard from the Western Pacific); mangrove goanna; Western Pacific monitor lizard
マングローブ・モニター||mangrove monitor (Varanus indicus, species of carnivorous monitor lizard from the Western Pacific); mangrove goanna; Western Pacific monitor lizard
シュミットオオトカゲ||peach throat monitor (Varanus jobiensis, species of carnivorous monitor lizard native to Australia)
アオハナホソオオトカゲ||canopy goanna (Varanus keithhornei, species of carnivorous monitor lizard native to Northeast Australia); blue-nosed goanna; Nesbit River monitor
アオホソオオトカゲ||blue-spotted tree monitor (Varanus macraei, species of carnivorous monitor lizard from the island of Batanta, Indonesia)
黄金大蜥蜴|こがねおおとかげ|quince monitor (Varanus melinus, species of carnivorous monitor lizard native to Indonesia); yellow-head monitor
コガネオオトカゲ||quince monitor (Varanus melinus, species of carnivorous monitor lizard native to Indonesia); yellow-head monitor
緑細大蜥蜴|みどりほそおおとかげ|emerald tree monitor (Varanus prasinus, species of arboreal carnivorous monitor lizard found from New Guinea to Queensland, Australia); green tree monitor
ミドリホソオオトカゲ||emerald tree monitor (Varanus prasinus, species of arboreal carnivorous monitor lizard found from New Guinea to Queensland, Australia); green tree monitor
セグロオオトカゲ||tricolored monitor (Varanus yuwonoi, species of carnivorous monitor lizard from Halmahera Island in North Maluku, Indonesia); Moluccan black-backed monitor
クジャクオオトカゲ||peacock monitor (Varanus auffenbergi, species of carnivorous monitor lizard native to the island of Roti in Indonesia); Auffenberg's monitor
スジメヒメオオトカゲ||stripe-tailed goanna (Varanus caudolineatus, species of carnivorous monitor lizard native to the forests of Western Australian)
ヒョウ属|ヒョウぞく|Panthera (genus of the cat family Felidae containing tigers, lions, jaguars, and leopards)
マルガヒメオオトカゲ||stripe-tailed Goanna (Varanus gilleni, species of carnivorous monitor lizard native to northwestern and central Australia)
ホオスジオオトカゲ||Kimberley rock monitor (Varanus glauerti, species of carnivorous monitor lizard native to northern Australia); Glauert's monitor
キングヒメオオトカゲ||King's goanna (Varanus kingorum, species of small carnivorous monitor lizard native to the Australia)
たれソース||tare sauce; dipping sauce
タレソース||tare sauce; dipping sauce
たれ・ソース||tare sauce; dipping sauce
タレ・ソース||tare sauce; dipping sauce
コントーション||contortion
恐喝未遂|きょうかつみすい|attempted extortion; extortion attempt
大相場|おおそうば|boom (e.g. in stock prices)
羽を広げる|はねをひろげる|to spread one's wings
羽をたたむ|はねをたたむ|to fold one's wings
羽を畳む|はねをたたむ|to fold one's wings
通話口|つうわぐち|mouthpiece of a telephone
奇功|きこう|outstanding achievement; signal achievement
およしなさい||please stop
もうちょっとしたら||in a little while (referring to the very near future on the order of minutes); in a bit
火を見るより明らかである|ひをみるよりあきらかである|to be as plain as daylight; to be as clear as day
メジャーリーガー||major leaguer; major league player
メジャー・リーガー||major leaguer; major league player
ぶっ倒す|ぶったおす|to knock down
打っ倒す|ぶったおす|to knock down
生き続ける|いきつづける|to carry on; to go on with one's life
生き続ける|いきつづける|to keep alive; to stay alive; to survive
視聴覚教室|しちょうかくきょうしつ|audio-visual classroom; audiovisual classroom
缶入り|かんいり|canned
金属バット|きんぞくバット|metal bat
苦鳴|くめい|cries of pain
水文|すいもん|hydrological
水理|すいり|hydraulic; hydrologic
スポーツバッグ||sports bag
スポーツ・バッグ||sports bag
妙ちきりん|みょうちきりん|weird; odd; bizarre; curious
アド帳|アドちょう|address book (email)
支川|しせん|affluent; branch stream that flows into a main stream
花も恥じらう|はなもはじらう|(girl) who outblooms even a flower; even the flower will blush (before her beauty)
浮鮴|うきごり|common freshwater goby (Gymnogobius urotaenia)
