王妃|おうひ|queen
竿|さお|beam (i.e. the crossbar of a balance)
竿|さお|single line (esp. as a flying formation for geese)
竿|さお|penis
竿|さお|counter for flags (on poles); counter for long, thin Japanese sweets (e.g. youkan)
棹|さお|rod; pole
棹|さお|neck (of a shamisen, etc.); shamisen
棹|さお|beam (i.e. the crossbar of a balance)
棹|さお|single line (esp. as a flying formation for geese)
棹|さお|penis
棹|さお|counter for flags (on poles); counter for long, thin Japanese sweets (e.g. youkan)
さお竹|さおだけ|bamboo pole
竿竹|さおだけ|bamboo pole
管楽器|かんがっき|wind instrument
管轄|かんかつ|jurisdiction; control
管轄官庁|かんかつかんちょう|controlling office; competent (governmental) authorities
管区|かんく|jurisdiction
管弦|かんげん|wind and string instruments; music
管絃|かんげん|wind and string instruments; music
管弦楽|かんげんがく|orchestral music
管絃楽|かんげんがく|orchestral music
管弦楽団|かんげんがくだん|orchestra
管掌|かんしょう|taking charge; management
管制|かんせい|control
管制塔|かんせいとう|control tower
管端|かんたん|end of wind instrument
管内|かんない|within the jurisdiction of
管理|かんり|control; management (e.g. of a business)
管理機能|かんりきのう|management function
管理局|かんりきょく|administration bureau
管理者|かんりしゃ|manager; landlord; warden; superintendent; supervisor; custodian
管理者|かんりしゃ|root (user)
管理情報|かんりじょうほう|management information
管理職|かんりしょく|management; managerial position; administrative post; person in a managerial position
管理人|かんりにん|manager; administrator; supervisor
管理人|かんりにん|custodian; concierge; superintendent; janitor
簡易|かんい|simplicity; convenience; easiness; quasi-
簡易化|かんいか|simplification
簡潔|かんけつ|brevity; conciseness; simplicity
簡素|かんそ|simplicity; plain
簡素化|かんそか|simplification
簡体字|かんたいじ|simplified Chinese character
簡単|かんたん|simple; easy; uncomplicated
簡単|かんたん|brief; quick; light
簡短|かんたん|simple; easy; uncomplicated
簡短|かんたん|brief; quick; light
簡端|かんたん|simple; easy; uncomplicated
簡端|かんたん|brief; quick; light
簡単に言うと|かんたんにいうと|simply put
簡単に言えば|かんたんにいえば|simply put; putting it simply; in short
簡便|かんべん|handy; simple and easy
簡明強固|かんめいきょうこ|plain and sturdy
簡約|かんやく|conciseness; brevity; simplification
簡略|かんりゃく|simple; simplicity; brief; brevity
簡略化|かんりゃくか|simplification
緩い|ゆるい|loose
緩い|ゆるい|lenient; lax
緩い|ゆるい|gentle (curve, slope, etc.)
緩い|ゆるい|slow; weak
緩い|ゆるい|soft; not firm
緩い|ゆるい|difficult; hard
緩み|ゆるみ|slack; looseness; play
弛み|ゆるみ|slack; looseness; play
緩む|ゆるむ|to become loose; to slacken (e.g. rope)
緩む|ゆるむ|to become less tense; to relax; to let one's guard down
緩む|ゆるむ|to slacken (e.g. coldness, supervision); to become lax
緩む|ゆるむ|to become softer (e.g. ground, facial expression); (of ice) to partially melt
緩む|ゆるむ|to decrease (e.g. speed)
緩む|ゆるむ|(of a market price) to go down slightly
弛む|ゆるむ|to become loose; to slacken (e.g. rope)
弛む|ゆるむ|to become less tense; to relax; to let one's guard down
弛む|ゆるむ|to slacken (e.g. coldness, supervision); to become lax
弛む|ゆるむ|to become softer (e.g. ground, facial expression); (of ice) to partially melt
弛む|ゆるむ|to decrease (e.g. speed)
弛む|ゆるむ|(of a market price) to go down slightly
緩める|ゆるめる|to loosen; to slow down
緩やか|ゆるやか|loose; slack
緩やか|ゆるやか|gentle; easy; slow
緩やか|ゆるやか|lenient; liberal; lax
緩下薬|かんげやく|laxative
緩急|かんきゅう|pace; tempo; slow and fast
緩急|かんきゅう|in case of emergency
緩行|かんこう|going slowly
緩衝|かんしょう|buffered
緩衝器|かんしょうき|shock absorber; buffer
緩衝地帯|かんしょうちたい|buffer zone
緩慢|かんまん|slow; sluggish; dull
緩慢|かんまん|lax; sloppy; lenient
緩和|かんわ|relief; mitigation; alleviation; relaxation; softening
缶|かん|can; tin
缶|かん|canned food
罐|かん|can; tin
罐|かん|canned food
鑵|かん|can; tin
鑵|かん|canned food
カン||can; tin
カン||canned food
缶ジュース|かんジュース|canned juice; canned soft drink; can of juice; can of soft drink
缶詰|かんづめ|canned food; tinned food
缶詰|かんづめ|confining someone (e.g. so they can concentrate on work)
缶詰|かんづめ|being stuck in a confined space
缶詰め|かんづめ|canned food; tinned food
缶詰め|かんづめ|confining someone (e.g. so they can concentrate on work)
缶詰め|かんづめ|being stuck in a confined space
罐詰め|かんづめ|canned food; tinned food
罐詰め|かんづめ|confining someone (e.g. so they can concentrate on work)
罐詰め|かんづめ|being stuck in a confined space
罐詰|かんづめ|canned food; tinned food
罐詰|かんづめ|confining someone (e.g. so they can concentrate on work)
罐詰|かんづめ|being stuck in a confined space
缶切り|かんきり|can opener
翰長|かんちょう|Cabinet (Chief) Secretary
翰墨|かんぼく|brush and ink; writing; drawing
翰林|かんりん|literary circles
翰林院|かんりんいん|academy; institute
肝|きも|liver; innards
肝|きも|courage; spirit; pluck; guts
肝|きも|crux; essential point
胆|きも|liver; innards
胆|きも|courage; spirit; pluck; guts
胆|きも|crux; essential point
胆|たん|liver; innards
胆|たん|courage; spirit; pluck; guts
肝炎|かんえん|hepatitis
肝硬変|かんこうへん|cirrhosis of the liver
肝臓|かんぞう|liver
肝油|かんゆ|fish-liver oil (cod, shark, etc.)
肝要|かんよう|extremely important; essential; vital; crucial
艦|かん|warship
艦橋|かんきょう|bridge (e.g. on a warship)
艦載機|かんさいき|ship-borne plane
艦上|かんじょう|aboard a warship
艦船|かんせん|(ocean) vessels; warship
艦隊|かんたい|(naval) fleet; armada
艦長|かんちょう|captain (of a warship)
艦艇|かんてい|military vessel; war fleet
観|かん|look; appearance
観|かん|spectacle; sight
観|かん|observation meditation
観|かん|outlook on ...; view of ...
観ずる|かんずる|to view; to contemplate
観音様|かんのんさま|Avalokiteshvara (Bodhisattva); Avalokitesvara; Kannon; Kwannon; Guanyin; Buddhist deity of compassion
観音様|かんのんさま|clitoris
観音さま|かんのんさま|Avalokiteshvara (Bodhisattva); Avalokitesvara; Kannon; Kwannon; Guanyin; Buddhist deity of compassion
観音さま|かんのんさま|clitoris
觀音様|かんのんさま|Avalokiteshvara (Bodhisattva); Avalokitesvara; Kannon; Kwannon; Guanyin; Buddhist deity of compassion
觀音様|かんのんさま|clitoris
觀音さま|かんのんさま|Avalokiteshvara (Bodhisattva); Avalokitesvara; Kannon; Kwannon; Guanyin; Buddhist deity of compassion
觀音さま|かんのんさま|clitoris
観客|かんきゃく|audience; spectator; spectators
観劇|かんげき|theatre-going; theater-going
観月|かんげつ|moon viewing (esp. during the eight month of the lunar calendar)
観光|かんこう|sightseeing
観光バス|かんこうバス|tourist bus; sightseeing bus
観光ビザ|かんこうビザ|tourist visa
観光客|かんこうきゃく|tourist
観光団|かんこうだん|tourist party
観光地|かんこうち|tourist attraction; sight-seeing area
観察|かんさつ|observation; survey; watching
観察的研究|かんさつてきけんきゅう|observational study
観自在|かんじざい|Avalokiteshvara (Bodhisattva); Avalokitesvara; Kannon; Kwannon; Guanyin; Buddhist deity of compassion
觀自在|かんじざい|Avalokiteshvara (Bodhisattva); Avalokitesvara; Kannon; Kwannon; Guanyin; Buddhist deity of compassion
観衆|かんしゅう|spectators; onlookers; members of the audience
観賞|かんしょう|admiration; enjoyment
観世音|かんぜおん|Avalokiteshvara (Bodhisattva); Avalokitesvara; Kannon; Kwannon; Guanyin; Buddhist deity of compassion
觀世音|かんぜおん|Avalokiteshvara (Bodhisattva); Avalokitesvara; Kannon; Kwannon; Guanyin; Buddhist deity of compassion
観戦|かんせん|watching a (sports) game; spectating; observing (military operations)
観戦記|かんせんき|account of a (sports) game
観測|かんそく|observation; survey; measurement
観測ヘリコプター|かんそくヘリコプター|observation helicopter
観点|かんてん|point of view
観念|かんねん|idea; notion; conception
観念|かんねん|sense (e.g. of duty)
観念|かんねん|resignation; preparedness; acceptance
観念|かんねん|observation and contemplation
観念主義|かんねんしゅぎ|German idealism
観葉植物|かんようしょくぶつ|decorative plant
観覧|かんらん|viewing
観覧車|かんらんしゃ|Ferris wheel
貫き通す|つらぬきとおす|to go through; to pierce; to penetrate
貫き通す|つらぬきとおす|to persist; to stick to; to enforce (one's) will
貫き通す|ぬきとおす|to go through; to pierce; to penetrate
貫き通す|ぬきとおす|to persist; to stick to; to enforce (one's) will
つらぬき通す|つらぬきとおす|to go through; to pierce; to penetrate
つらぬき通す|つらぬきとおす|to persist; to stick to; to enforce (one's) will
貫く|つらぬく|to go through; to pierce; to penetrate
貫く|つらぬく|to carry out; to persist; to keep (faith); to stick to (principles); to maintain (independence)
貫通|かんつう|piercing; penetrating; perforating; passing through
貫通|かんつう|being well versed (in something)
貫徹|かんてつ|accomplishment; realization; realisation; penetration
貫流|かんりゅう|flowing through; conduction
貫禄|かんろく|presence; dignity
貫録|かんろく|presence; dignity
還元|かんげん|restoration; return
還元|かんげん|reduction; resolution; deoxidization; deoxidation
還俗|げんぞく|return to secular life; secularization; secularisation
還流|かんりゅう|return current; convection; reflux
還暦|かんれき|60th birthday
鑑みる|かんがみる|to heed; to take into account; to bear in mind; to learn from; to take warning from; in view of; in the light of
鑒みる|かんがみる|to heed; to take into account; to bear in mind; to learn from; to take warning from; in view of; in the light of
鑑札|かんさつ|licence; license; permit
鑑識|かんしき|judgement; judgment; discernment; discrimination; having an eye for
鑑識|かんしき|appraisal (e.g. of an antique); evaluation; assessment
鑑識|かんしき|forensics; (criminal) identification; crime lab
鑒識|かんしき|judgement; judgment; discernment; discrimination; having an eye for
鑒識|かんしき|appraisal (e.g. of an antique); evaluation; assessment
鑒識|かんしき|forensics; (criminal) identification; crime lab
鑑賞|かんしょう|appreciation (e.g. of art); aesthetic sense
鑑定|かんてい|judgement; judgment; expert opinion; appraisal
鑑別|かんべつ|discrimination; judgement; judgment; separation; sorting
間|あいだ|space (between); gap; interval; distance
間|あいだ|time (between); pause; break
間|あいだ|span (temporal or spatial); stretch; period (while)
間|あいだ|relationship (between, among)
間|あいだ|members (within, among)
間|あいだ|due to; because of
間|あわい|space (between); gap; interval; distance
間|あわい|time (between); pause; break
間|あわい|span (temporal or spatial); stretch; period (while)
間|あわい|relationship (between, among)
間|あわい|members (within, among)
間|ま|time; pause
間|ま|space
間|ま|room
間にある|あいだにある|intervening
間に合う|まにあう|to be in time for
間に合う|まにあう|to serve (suit, meet) the purpose; to be good enough; to be enough
間にあう|まにあう|to be in time for
間にあう|まにあう|to serve (suit, meet) the purpose; to be good enough; to be enough
まに合う|まにあう|to be in time for
まに合う|まにあう|to serve (suit, meet) the purpose; to be good enough; to be enough
間の子|あいのこ|person of mixed parentage; crossbreed; Eurasian; mulatto; hybrid
間の子|あいのこ|hybrid; crossbreed
合いの子|あいのこ|person of mixed parentage; crossbreed; Eurasian; mulatto; hybrid
合いの子|あいのこ|hybrid; crossbreed
あいの子|あいのこ|person of mixed parentage; crossbreed; Eurasian; mulatto; hybrid
あいの子|あいのこ|hybrid; crossbreed
合の子|あいのこ|person of mixed parentage; crossbreed; Eurasian; mulatto; hybrid
合の子|あいのこ|hybrid; crossbreed
間もなく|まもなく|soon; before long; in a short time
間もなく|まもなく|lacking time to ...; without time to ...
間も無く|まもなく|soon; before long; in a short time
間も無く|まもなく|lacking time to ...; without time to ...
間を置いて|まをおいて|intermittently; at intervals (of); after a pause
間を置いて|あいだをおいて|intermittently; at intervals (of); after a pause
間違い|まちがい|mistake; error; blunder
間違い|まちがい|accident; mishap; trouble
間違い|まちがい|improper conduct (e.g. between man and woman); indiscretion
間違える|まちがえる|to make a mistake (in); to commit an error (e.g. in calculation)
間違える|まちがえる|to confuse; to mistake something for something else
間一髪|かんいっぱつ|hair's breadth
間一髪のところ|かんいっぱつのところ|close call; narrow escape
間一髪を入れず|かんいっぱつをいれず|in a flash; in no time
間延び|まのび|slow; stupid
間のび|まのび|slow; stupid
間隔|かんかく|space; interval; SPC
間狂言|あいきょうげん|kyogen interlude; short scene during a noh play, performed by a kyogen actor (usu. explaining the play)
間近|まぢか|proximity; nearness; soon; nearby
間近|まじか|proximity; nearness; soon; nearby
真近|まぢか|proximity; nearness; soon; nearby
真近|まじか|proximity; nearness; soon; nearby
間隙|かんげき|gap
間欠|かんけつ|intermittence; intermittent
間歇|かんけつ|intermittence; intermittent
間口|まぐち|frontage
間合い|まあい|interval; distance; break; pause
間合い|まあい|suitable time; appropriate opportunity
間合い|まあい|distance between opponents (kendo)
間合|まあい|interval; distance; break; pause
間合|まあい|suitable time; appropriate opportunity
間合|まあい|distance between opponents (kendo)
間際|まぎわ|the point just before; the point of doing; the verge of happening
真際|まぎわ|the point just before; the point of doing; the verge of happening
間者|かんじゃ|spy; secret agent
間借り|まがり|renting a room
間取り|まどり|plan of a house; arrangement of rooms; list of rooms in an apartment, excluding bathroom and toilet, encoded as a string of digits and letters (e.g. "2DK" for a two-room apartment with a kitchen/dining area)
間食|かんしょく|eating between meals; snacking
間数|まかず|number of rooms
間接|かんせつ|indirection; indirectness
間接照準射撃|かんせつしょうじゅんしゃげき|indirect fire
間接税|かんせつぜい|indirect tax
間接的|かんせつてき|indirect
間接目的語|かんせつもくてきご|indirect object
間奏曲|かんそうきょく|interlude; intermezzo
間貸し|まがし|renting a room
間断|かんだん|break in time; interruption; pause
間男|まおとこ|married woman's secret lover; paramour
間男|まおとこ|adultery (by a married woman)
間中|あいだじゅう|during
間じゅう|あいだじゅう|during
間諜|かんちょう|spy; secret agent
間投詞|かんとうし|interjection
間抜け|まぬけ|stupid; foolish; idiotic
間柄|あいだがら|relationship; relation; terms (good, friendly, etc.)
間がら|あいだがら|relationship; relation; terms (good, friendly, etc.)
間膜|かんまく|ligament
閑暇|かんか|leisure
閑居|かんきょ|quiet and secluded life; quiet retreat; idle life
閑散|かんさん|deserted (esp. store, market, town, streets); quiet; still; hushed; empty
閑散|かんさん|inactive (business, trade, etc.); slack; flat; off-season; quiet; dull
閑散|かんさん|idle; free; unoccupied
閑寂|かんじゃく|quiet; tranquility; tranquillity
閑職|かんしょく|leisurely post; do-nothing job; sinecure
閑静|かんせい|quiet (e.g. neighbourhood); peaceful; tranquil
閑談|かんだん|quiet conversation; idle talk
閑話|かんわ|quiet conversation
閑話|かんわ|gossiping; idle talk
間話|かんわ|quiet conversation
間話|かんわ|gossiping; idle talk
閑話休題|かんわきゅうだい|Now let's return to the main subject; To return from the digression,.. (in a conversation, speech, or story-telling)
関|せき|barrier; gate
関|せき|seki (in go); mutual life
セキ||seki (in go); mutual life
関する|かんする|to concern; to be related
関係|かんけい|relation; relationship; connection
関係|かんけい|participation; involvement; concern
関係|かんけい|influence; effect
関係|かんけい|sexual relations; sexual relationship
関係|かんけい|related to ...; connected to ...
関係つける|かんけいつける|to relate
関係会社|かんけいがいしゃ|affiliated company
関係強化|かんけいきょうか|strengthening of relations
関係者|かんけいしゃ|authorized people; authorised people; person(s) concerned; officials; staff
関所|せきしょ|barrier; checkpoint; checking station
関心|かんしん|concern; interest
関心事|かんしんじ|matter of concern and interest
関数原型|かんすうげんけい|function prototype
関数呼出し|かんすうよびだし|function call
関西|かんさい|Kansai; region consisting of Osaka, Kobe, Kyoto and surrounding prefectures
関西|かんさい|Kansai; south-western half of Japan (during the feudal era)
関西|かんせい|Kansai; region consisting of Osaka, Kobe, Kyoto and surrounding prefectures
関西|かんせい|Kansai; south-western half of Japan (during the feudal era)
関西弁|かんさいべん|Kansai dialect
関西辯|かんさいべん|Kansai dialect
関税|かんぜい|tariff (import tax); duty; customs
関税回避|かんぜいかいひ|tariff avoidance
関税貿易一般協定|かんぜいぼうえきいっぱんきょうてい|General Agreement on Tariffs and Trade (abolished in 1995); GATT
関節|かんせつ|joints (knee joint, elbow joint, etc.)
関節リウマチ|かんせつリウマチ|rheumatoid arthritis
関節リューマチ|かんせつリューマチ|rheumatoid arthritis
関節炎|かんせつえん|arthritis
関節技|かんせつわざ|locking technique in judo
関知|かんち|concern; business
関東|かんとう|Kanto; region consisting of Tokyo and surrounding prefectures
関東|かんとう|Kanto; north-eastern half of Japan (during the feudal era)
関東弁|かんとうべん|Kantou dialect
関白|かんぱく|chief advisor to the Emperor (adviser)
関門|かんもん|barrier; checkpoint; gateway
関門|かんもん|hurdle; obstacle; trial
関与|かんよ|participation; taking part in; participating in; being concerned in
干与|かんよ|participation; taking part in; participating in; being concerned in
関連|かんれん|relation; connection; relevance
関聯|かんれん|relation; connection; relevance
関連会社|かんれんがいしゃ|associated company
関連項目|かんれんこうもく|related item; related topic
関連商品|かんれんしょうひん|related product
関連性|かんれんせい|relatedness; associativity; relation; relationship; relevance
関脇|せきわけ|wrestler of the third highest rank
陥る|おちいる|to fall into (e.g. a hole)
陥る|おちいる|to fall into (chaos, depression, dilemma, illness, etc.)
陥る|おちいる|to fall into (a trap, etc.)
陥る|おちいる|to fall; to surrender; to capitulate
落ち入る|おちいる|to fall into (e.g. a hole)
落ち入る|おちいる|to fall into (chaos, depression, dilemma, illness, etc.)
落ち入る|おちいる|to fall into (a trap, etc.)
落ち入る|おちいる|to fall; to surrender; to capitulate
陥れる|おとしいれる|to trick someone into (committing a crime, etc.); to hatch a plan and deceive someone
陥れる|おとしいれる|to assault (a castle, etc.)
陥れる|おとしいれる|to drop something and have it fall into something
落とし入れる|おとしいれる|to trick someone into (committing a crime, etc.); to hatch a plan and deceive someone
落とし入れる|おとしいれる|to assault (a castle, etc.)
落とし入れる|おとしいれる|to drop something and have it fall into something
落し入れる|おとしいれる|to trick someone into (committing a crime, etc.); to hatch a plan and deceive someone
落し入れる|おとしいれる|to assault (a castle, etc.)
落し入れる|おとしいれる|to drop something and have it fall into something
おとし入れる|おとしいれる|to trick someone into (committing a crime, etc.); to hatch a plan and deceive someone
おとし入れる|おとしいれる|to assault (a castle, etc.)
おとし入れる|おとしいれる|to drop something and have it fall into something
陥没|かんぼつ|cave-in; collapse; sinking; depression (e.g. of the skull); subsidence
陥落|かんらく|fall; sinking; surrender; capitulation
陥穽|かんせい|trap; pitfall
陥せい|かんせい|trap; pitfall
韓国|かんこく|South Korea; Republic of Korea
韓国|かんこく|Korean Empire (1897-1910)
韓国語|かんこくご|Korean (language)
韓国人|かんこくじん|South Korean person
韓人|かんじん|Korean person
館|やかた|mansion; small castle
館|やかた|nobleman; noblewoman
館|やかた|boat cabin
館|たち|mansion; small castle
館|たち|nobleman; noblewoman
館|たて|mansion; small castle
館|たて|nobleman; noblewoman
屋形|やかた|mansion; small castle
屋形|やかた|nobleman; noblewoman
屋形|やかた|boat cabin
館娃|かんあい|palace (in China built by Wu Dynasty King)
館員|かんいん|personnel (of public building)
館長|かんちょう|superintendent; director; curator; chief librarian
丸|まる|circle
丸|まる|entirety; whole; full; complete
丸|まる|money; dough; moola
丸|まる|enclosure inside a castle's walls
丸|まる|soft-shelled turtle
丸|まる|suffix for ship names; suffix for names of people (esp. infants); suffix for names of swords, armour, musical instruments, etc.; suffix for names of dogs, horses, etc.
円|まる|circle
円|まる|entirety; whole; full; complete
円|まる|money; dough; moola
円|まる|enclosure inside a castle's walls
円|まる|soft-shelled turtle
円|まる|suffix for ship names; suffix for names of people (esp. infants); suffix for names of swords, armour, musical instruments, etc.; suffix for names of dogs, horses, etc.
丸っこい|まるっこい|round; spherical; circular
丸っきり|まるっきり|completely; absolutely; totally; (not) at all
丸っ切り|まるっきり|completely; absolutely; totally; (not) at all
丸で|まるで|quite; entirely; completely; at all
丸で|まるで|as if; as though; just like
丸み|まるみ|roundness; rotundity
丸み|まるみ|mellowness; maturity
丸味|まるみ|roundness; rotundity
丸味|まるみ|mellowness; maturity
円味|まるみ|roundness; rotundity
円味|まるみ|mellowness; maturity
円み|まるみ|roundness; rotundity
円み|まるみ|mellowness; maturity
丸める|まるめる|to make round; to roll up; to curl up
丸める|まるめる|to seduce; to cajole; to explain away
丸める|まるめる|to round off (a fraction)
丸める|まるめる|to lump together
丸め込む|まるめこむ|to coax; to cajole; to wheedle; to win over; to seduce
丸め込む|まるめこむ|to roll up and put into (something); to bundle up
丸一|まるいち|bisected-circle seal
丸刈り|まるがり|close clipping
丸刈|まるがり|close clipping
丸瓦|まるがわら|convex roof tile
丸見え|まるみえ|full view; plain sight; completely visible
まる見え|まるみえ|full view; plain sight; completely visible
丸みえ|まるみえ|full view; plain sight; completely visible
丸公|まるこう|official price
丸鋼|まるこう|round steel bar
丸腰|まるごし|unarmed; without weapons
丸剤|がんざい|pill
丸ごと|まるごと|in its entirety; whole; wholly
丸事|まるごと|in its entirety; whole; wholly
丸毎|まるごと|in its entirety; whole; wholly
丸持ち|まるもち|moneyed man
丸写し|まるうつし|copying in entirety (verbatim)
丸取り|まるどり|monopolizing; monopolising; monopolization; monopolisation
丸首|まるくび|round-necked (T-shirt)
丸十|まるじゅう|cross in a circle
丸出し|まるだし|exposing fully; uncovering completely; being in full view; putting on display; not disguising
まる出し|まるだし|exposing fully; uncovering completely; being in full view; putting on display; not disguising
弾傷|たまきず|bullet wound; gunshot wound
丸傷|たまきず|bullet wound; gunshot wound
丸勝ち|まるがち|complete victory; clean record
丸焼き|まるやき|whole roast (e.g. pig, turkey, etc.)
丸焼け|まるやけ|total fire loss; completely burned
丸石|まるいし|boulder; cobble
丸洗い|まるあらい|washing a kimono (or futon, etc.) without taking it apart; laundering whole
丸窓|まるまど|circular window; round window
円窓|まるまど|circular window; round window
丸損|まるぞん|total loss
丸太|まるた|log
丸太材|まるたざい|round timber
丸太小屋|まるたごや|log cabin; blockhouse
丸太足場|まるたあしば|scaffolding
丸帯|まるおび|one-piece sash
丸彫り|まるぼり|three dimensional sculpture
丸つぶれ|まるつぶれ|complete ruin; collapse
丸つぶれ|まるつぶれ|losing (something) completely (e.g. face)
丸潰れ|まるつぶれ|complete ruin; collapse
丸潰れ|まるつぶれ|losing (something) completely (e.g. face)
丸底|まるぞこ|round-bottom
丸天井|まるてんじょう|arched ceiling; vaulted ceiling; domed ceiling; circular ceiling
円天井|まるてんじょう|arched ceiling; vaulted ceiling; domed ceiling; circular ceiling
丸砥石|まるといし|grindstone
丸禿|まるはげ|complete baldness
丸呑み|まるのみ|swallowing whole; swallowing without chewing
丸呑み|まるのみ|taking something in without fully understanding it
丸呑み|まるのみ|accepting without reservation; accepting something as-is
丸飲み|まるのみ|swallowing whole; swallowing without chewing
丸飲み|まるのみ|taking something in without fully understanding it
丸飲み|まるのみ|accepting without reservation; accepting something as-is
丸のみ|まるのみ|swallowing whole; swallowing without chewing
丸のみ|まるのみ|taking something in without fully understanding it
丸のみ|まるのみ|accepting without reservation; accepting something as-is
丸花蜂|まるはなばち|bumblebee
円花蜂|まるはなばち|bumblebee
マルハナバチ||bumblebee
丸負け|まるまけ|complete defeat
丸坊主|まるぼうず|close-cropped head; bald hill
丸本|まるぼん|reciter's book; complete set of books
丸本|まるほん|reciter's book; complete set of books
丸儲け|まるもうけ|clear gain
丸木|まるき|log
丸木橋|まるきばし|log bridge
丸木造り|まるきづくり|rustic work
丸薬|がんやく|pill
丸裸|まるはだか|nude; utterly stark naked; wearing only one's birthday suit
まる裸|まるはだか|nude; utterly stark naked; wearing only one's birthday suit
丸裸になる|まるはだかになる|to be stripped of all one's clothes; to lose everything one has
丸のみ|まるのみ|gouge; scorper; scauper
丸鑿|まるのみ|gouge; scorper; scauper
円鑿|まるのみ|gouge; scorper; scauper
丸髷|まるまげ|traditional married woman's hair style, with an oval chignon on top
丸髷|まるまげ|men's hairstyle (Edo period)
丸髷|まるわげ|traditional married woman's hair style, with an oval chignon on top
丸髷|まるわげ|men's hairstyle (Edo period)
丸曲|まるまげ|traditional married woman's hair style, with an oval chignon on top
丸曲|まるまげ|men's hairstyle (Edo period)
丸曲|まるわげ|traditional married woman's hair style, with an oval chignon on top
丸曲|まるわげ|men's hairstyle (Edo period)
含ます|ふくます|to soak; to saturate; to suckle; to make one hold something in the mouth; to include; to instruct; to make one understand
含ませる|ふくませる|to soak; to saturate; to suckle; to make one hold something in the mouth; to include; to instruct; to make one understand
含まれない|ふくまれない|not to be included
含まれる|ふくまれる|to be included; to be composed of; to be comprised of
含み|ふくみ|implication; hidden meaning; latitude; atmosphere; tone; sentiment; inclusion
含み笑い|ふくみわらい|suppressed laugh; smile; giggle; chuckle
含み声|ふくみごえ|muffled voice
含む|ふくむ|to contain; to comprise; to have; to hold; to include; to embrace
含む|ふくむ|to hold in the mouth
含む|ふくむ|to bear in mind; to understand; to harbor (grudge, etc.); to harbour
含む|ふくむ|to express (emotion, etc.); to imply
含む|くくむ|to contain; to comprise; to have; to hold; to include; to embrace
含む|くくむ|to hold in the mouth
含む|くくむ|to bear in mind; to understand; to harbor (grudge, etc.); to harbour
含む|くくむ|to express (emotion, etc.); to imply
銜む|ふくむ|to contain; to comprise; to have; to hold; to include; to embrace
銜む|ふくむ|to hold in the mouth
銜む|ふくむ|to bear in mind; to understand; to harbor (grudge, etc.); to harbour
銜む|ふくむ|to express (emotion, etc.); to imply
銜む|くくむ|to contain; to comprise; to have; to hold; to include; to embrace
銜む|くくむ|to hold in the mouth
銜む|くくむ|to bear in mind; to understand; to harbor (grudge, etc.); to harbour
銜む|くくむ|to express (emotion, etc.); to imply
含める|ふくめる|to include (in a group or scope)
含める|ふくめる|to instruct; to make one understand
含める|ふくめる|to include (a nuance); to put in (an implication)
含める|ふくめる|to put in (someone's) mouth
含める|ふくめる|to permeate with flavor
含意|がんい|implication
含意|がんい|IF-THEN operation; conditional implication (operation)
含塵率|がんじんりつ|dust content
含水|がんすい|hydrated; hydrous
含水化合物|がんすいかごうぶつ|hydrate
含水炭素|がんすいたんそ|carbohydrate
含蓄|がんちく|implication; significance; connotation; depth of meaning; complications of a problem
含糖|がんとう|sugar content
含糖量|がんとうりょう|sugar content
含味|がんみ|taste; thinking over carefully
含油層|がんゆそう|oil strata
含有|がんゆう|contain; include
含有量|がんゆうりょう|content (of a mineral, etc.)
含量|がんりょう|content
含嗽薬|がんそうやく|gargle medicine; mouthwash
岸|きし|bank; coast; shore
岸壁|がんぺき|wharf; breakwater; steep cliff
岸辺|きしべ|shore; bank (of a body of water)
岸べ|きしべ|shore; bank (of a body of water)
玩具|おもちゃ|toy; plaything
玩具|がんぐ|toy; plaything
翫具|がんぐ|toy; plaything
オモチャ||toy; plaything
玩弄|がんろう|making sport of; making a plaything of; toying with; trifling with; ridicule; mockery
翫弄|がんろう|making sport of; making a plaything of; toying with; trifling with; ridicule; mockery
玩弄物|がんろうぶつ|plaything
癌|がん|cancer
ガン||cancer
癌腫|がんしゅ|carcinoma
眼下|がんか|under one's eyes; below
眼科|がんか|ophthalmology
眼科医|がんかい|ophthalmologist; eye specialist
眼界|がんかい|range of vision; field of vision
眼球|がんきゅう|eyeball
眼光|がんこう|glint in eye; discernment
眼差し|まなざし|(a) look; gaze
目差し|まなざし|(a) look; gaze
目差|まなざし|(a) look; gaze
眼指|まなざし|(a) look; gaze
眼識|がんしき|discrimination; insight
眼中にない|がんちゅうにない|taking no notice (of); thinking nothing of; disregarding; not aware of; completely ignoring; being out of consideration; effectively not existing as an option
眼中に無い|がんちゅうにない|taking no notice (of); thinking nothing of; disregarding; not aware of; completely ignoring; being out of consideration; effectively not existing as an option
眼点|がんてん|eyespot
眼軟膏|がんなんこう|eye ointment
眼目|がんもく|core; point; gist; essence; main object
眼力|がんりき|insight; power of observation
眼力|がんりょく|insight; power of observation
岩|いわ|rock; boulder
岩|いわ|crag; cliff
岩|いわ|anchor
巌|いわ|rock; boulder
巌|いわ|crag; cliff
巌|いわ|anchor
磐|いわ|rock; boulder
磐|いわ|crag; cliff
磐|いわ|anchor
巖|いわ|rock; boulder
巖|いわ|crag; cliff
巖|いわ|anchor
岩塩|がんえん|halite; rock salt
岩塩|いわしお|halite; rock salt
岩屋|いわや|cavern; grotto
石屋|いわや|cavern; grotto
窟|いわや|cavern; grotto
岩角|いわかど|edge or corner of a stone
