尾根|おね|(mountain) ridge; spur
蕭|よもぎ|general term for plants in the Artemisia genus; mugwort; sagebrush; wormwood
艾|よもぎ|Japanese mugwort (Artemisia princeps, Artemisia indica var. maximowiczii)
艾|よもぎ|general term for plants in the Artemisia genus; mugwort; sagebrush; wormwood
蒿|よもぎ|Japanese mugwort (Artemisia princeps, Artemisia indica var. maximowiczii)
蒿|よもぎ|general term for plants in the Artemisia genus; mugwort; sagebrush; wormwood
蜂|はち|bee; wasp; hornet
ハチ||bee; wasp; hornet
蜂の巣|はちのす|beehive; hive; honeycomb
蜂の巣|はちのす|something full of holes; swiss cheese
蜂の巣|はちのす|honeycomb tripe; wall of a cow's second stomach
蜂の巣|はちのす|cast iron anvil stand
蜂蜜|はちみつ|honey
蜂蜜|はつみつ|honey
はち蜜|はちみつ|honey
ハチミツ||honey
褒めそやす|ほめそやす|to extol; to laud; to sing the praises of
誉めそやす|ほめそやす|to extol; to laud; to sing the praises of
褒め称す|ほめそやす|to extol; to laud; to sing the praises of
褒めちぎる|ほめちぎる|to praise (to the skies); to sing the praises (of); to extol
誉めちぎる|ほめちぎる|to praise (to the skies); to sing the praises (of); to extol
褒め歌う|ほめうたう|to sing praises to
褒め合い|ほめあい|logrolling tactics
褒め殺し|ほめごろし|backhanded compliment; making fun of someone via excessive praise
ほめ殺し|ほめごろし|backhanded compliment; making fun of someone via excessive praise
誉め殺し|ほめごろし|backhanded compliment; making fun of someone via excessive praise
褒め殺す|ほめごろす|to compliment and criticize lavishly (criticise)
褒め言葉|ほめことば|words of praise; eulogy; compliment
ほめ言葉|ほめことば|words of praise; eulogy; compliment
褒言葉|ほめことば|words of praise; eulogy; compliment
褒め詞|ほめことば|words of praise; eulogy; compliment
誉め言葉|ほめことば|words of praise; eulogy; compliment
褒め称える|ほめたたえる|to admire; to praise; to applaud
褒めたたえる|ほめたたえる|to admire; to praise; to applaud
誉め称える|ほめたたえる|to admire; to praise; to applaud
誉めたたえる|ほめたたえる|to admire; to praise; to applaud
褒め上げる|ほめあげる|to praise to the skies; extol
誉め上げる|ほめあげる|to praise to the skies; extol
褒め奉る|ほめまつる|to praise; to render homage to
褒め立てる|ほめたてる|to praise; to extol; to applaud
ほめ立てる|ほめたてる|to praise; to extol; to applaud
褒辞|ほうじ|praise; eulogy
褒奨|ほうしょう|compensation
褒章|ほうしょう|medal of honour; medal of merit
褒賞|ほうしょう|medal (of merit); prize; reward
褒状|ほうじょう|certificate of merit; honorable mention; honourable mention
褒美|ほうび|reward; prize
褒貶|ほうへん|praise and censure; criticism
訪ねる|たずねる|to visit; to call on; to pay a visit to
訪れる|おとずれる|to visit; to call on
訪れる|おとずれる|to arrive; to come; to appear
訪れる|おとづれる|to visit; to call on
訪れる|おとづれる|to arrive; to come; to appear
訪客|ほうきゃく|visitor; guest
訪日|ほうにち|visit to Japan
訪米|ほうべい|visit to America
訪問|ほうもん|call; visit
豊か|ゆたか|abundant; wealthy; plentiful; rich; affluent
豊か|ゆたか|very; extremely; full of; great
豊漁|ほうりょう|good catch; good haul
豊作|ほうさく|abundant harvest; bumper crop
豊熟|ほうじゅく|abundant harvest
豊年|ほうねん|fruitful year
豊富|ほうふ|abundance; wealth; plenty; bounty
豊満|ほうまん|stout; corpulent; plump; voluptuous
豊沃|ほうよく|fertility
邦貨|ほうか|Japanese money
邦画|ほうが|Japanese film
邦画|ほうが|Japanese painting
邦楽|ほうがく|Japanese music (esp. traditional Japanese music)
邦字新聞|ほうじしんぶん|newspaper in Japanese; Japanese-language newspaper
邦人|ほうじん|Japanese national (esp. one living overseas)
邦人|ほうじん|fellow countryman
邦題|ほうだい|Japanese (translation) title given to foreign work
邦訳|ほうやく|translation into Japanese
飽かす|あかす|to bore; to tire; to weary; to stultify
飽かす|あかす|to use lavishly (and without regret)
厭かす|あかす|to bore; to tire; to weary; to stultify
厭かす|あかす|to use lavishly (and without regret)
飽かず|あかず|with untiring zeal
飽き飽き|あきあき|sick of; bored (with)
厭き厭き|あきあき|sick of; bored (with)
飽くことを知らない|あくことをしらない|insatiable
飽くまで|あくまで|to the end; to the bitter end; to the last; stubbornly; persistently; consistently; to the utmost
飽くまで|あくまで|after all; it must be remembered; only; purely; simply
飽く迄|あくまで|to the end; to the bitter end; to the last; stubbornly; persistently; consistently; to the utmost
飽く迄|あくまで|after all; it must be remembered; only; purely; simply
飽食|ほうしょく|gluttony; satiation; engorgement
飽和|ほうわ|saturation
飽和状態|ほうわじょうたい|saturation
鳳|ほう|feng (male Chinese firebird)
鳳駕|ほうが|imperial carriage
鳳声|ほうせい|verbal message
鳳凰|ほうおう|Chinese firebird; Chinese phoenix
鳳翅鐘|ほうしとう|wing-rings (weapon)
鳳輦|ほうれん|imperial carriage
鵬程|ほうてい|long cruise; great distance
鵬翼|ほうよく|phoenix wings; aeroplane wings; airplane wings
亡い|ない|dead
亡き|なき|the late; the deceased
亡き後|なきあと|after one's death
亡き魂|なきたま|departed soul; spirit
亡き者|なきもの|dead person
無き者|なきもの|dead person
亡き親|なきおや|deceased parent
亡き人|なきひと|the deceased
亡くなす|なくなす|to lose someone, wife, child, etc.
亡くなる|なくなる|to die
無しで|なしで|without
無しに|なしに|without
亡骸|なきがら|remains; corpse; (dead) body
亡君|ぼうくん|one's deceased lord
亡兄|ぼうけい|one's deceased elder brother
亡国|ぼうこく|ruined country
亡魂|ぼうこん|departed soul; spirit
亡妻|ぼうさい|deceased wife; late wife
亡姉|ぼうし|one's late elder sister
亡子|ぼうし|dead child
亡児|ぼうじ|one's dead child
亡失|ぼうしつ|loss
亡者|もうじゃ|the dead; ghost
亡者|もうじゃ|obsessed person (money, power, etc.)
亡状|ぼうじょう|discourtesy; lawlessness
亡親|ぼうしん|deceased parent
亡祖父|ぼうそふ|deceased (one's late) grandfather
亡婦|ぼうふ|deceased wife; deceased lady
亡母|ぼうぼ|deceased mother; late mother
亡命|ぼうめい|flight from one's country; seeking asylum; defection; emigration (for political reasons); (going into) exile; becoming a (political) refugee
亡命者|ぼうめいしゃ|refugee; exile; displaced persons
亡友|ぼうゆう|deceased friend
亡霊|ぼうれい|ghost; the dead; departed spirits; apparition
傍らに|かたわらに|beside; nearby
傍観|ぼうかん|looking on; remaining a spectator
傍観者|ぼうかんしゃ|onlooker; bystander
傍訓|ぼうくん|marginal notes
傍系|ぼうけい|collateral family; subsidiary line; affiliate
傍見|おかみ|looking on by an outsider
脇見|わきみ|looking from the side
脇見|わきみ|looking aside
わき見|わきみ|looking from the side
わき見|わきみ|looking aside
傍視|わきみ|looking from the side
傍視|わきみ|looking aside
傍視|ぼうし|looking from the side
傍視|ぼうし|looking aside
傍耳|かたみみ|things overheard
傍若無人|ぼうじゃくぶじん|arrogance; audacity; (behaving) outrageously as though there were no one around; insolence; defiance; overbearing
傍受|ぼうじゅ|interception; monitoring; tapping
傍証|ぼうしょう|supporting evidence; corroboration
旁証|ぼうしょう|supporting evidence; corroboration
傍人|ぼうじん|bystander
傍線|ぼうせん|underline; side line (equivalent to underlining in vertically written text)
傍聴|ぼうちょう|hearing; listening; attendance; auditing
傍聴券|ぼうちょうけん|admission ticket
傍聴人|ぼうちょうにん|hearer; auditor; audience
傍聴席|ぼうちょうせき|visitor's gallery; seats for the public
傍聴無料|ぼうちょうむりょう|admission free
傍聴料|ぼうちょうりょう|admission fee
傍点|ぼうてん|marks or dots used to emphasize text passage (emphasise)
傍点|ぼうてん|marks to facilitate reading of kanbun
旁点|ぼうてん|marks or dots used to emphasize text passage (emphasise)
旁点|ぼうてん|marks to facilitate reading of kanbun
剖検|ぼうけん|autopsy; necropsy
坊さん|ぼうさん|Buddhist priest; monk
坊さん|ぼうさん|boy
坊や|ぼうや|boy
坊間|ぼうかん|all over town
坊主|ぼうず|Buddhist priest; bonze
坊主|ぼうず|close-cropped hair; crew cut; person with a shorn head
坊主|ぼうず|boy; sonny; lad
坊主|ぼうず|not catching anything (in fishing)
房主|ぼうず|Buddhist priest; bonze
房主|ぼうず|close-cropped hair; crew cut; person with a shorn head
房主|ぼうず|boy; sonny; lad
房主|ぼうず|not catching anything (in fishing)
坊主憎けりゃ袈裟まで憎い|ぼうずにくけりゃけさまでにくい|hate everything about a person
坊主頭|ぼうずあたま|close-cropped hair; shaven head
妨げ|さまたげ|obstruction; hindrance
妨げる|さまたげる|to disturb; to prevent; to obstruct; to hinder
妨害|ぼうがい|disturbance; obstruction; hindrance; jamming; interference
妨碍|ぼうがい|disturbance; obstruction; hindrance; jamming; interference
妨礙|ぼうがい|disturbance; obstruction; hindrance; jamming; interference
妨害物|ぼうがいぶつ|obstacle
妨業|ぼうぎょう|sabotage
妨業員|ぼうぎょういん|saboteur
帽子|ぼうし|hat; cap
帽章|ぼうしょう|cap badge
忘る|わする|to lose something
忘れっぽい|わすれっぽい|forgetful
忘れる|わすれる|to forget; to leave carelessly; to be forgetful of; to forget about; to forget (an article)
忘れ形見|わすれがたみ|memento (from a dead person); souvenir; keepsake
忘れ形見|わすれがたみ|orphan; posthumous child
忘れ物|わすれもの|lost article; something forgotten
忘恩|ぼうおん|ingratitude; thanklessness
忘我|ぼうが|trance; ecstasy; enthusiasm
忘却|ぼうきゃく|lapse of memory; forgetting completely; (consigning to) oblivion
忘年|ぼうねん|forgetting the hardships of the old year
忘年|ぼうねん|forgetting one another's age difference
忘年会|ぼうねんかい|year-end party
忙しい|いそがしい|busy; occupied; hectic
忙しい|せわしい|busy; occupied; hectic
忙しい|せわしい|restless; hurried; fidgety
忙がしい|いそがしい|busy; occupied; hectic
房|ふさ|tuft; tassel
房|ふさ|bunch (of grapes, etc.)
房|ふさ|section (of an orange, etc.)
総|ふさ|tuft; tassel
総|ふさ|bunch (of grapes, etc.)
総|ふさ|section (of an orange, etc.)
房事|ぼうじ|sex; sexual intercourse; lovemaking
暴きだす|あばきだす|to dig up and expose a criminal matter
暴き出す|あばきだす|to dig up and expose a criminal matter
暴く|あばく|to disclose; to divulge; to expose
暴く|あばく|to open (and rob) a grave
発く|あばく|to disclose; to divulge; to expose
発く|あばく|to open (and rob) a grave
暴れる|あばれる|to act violently; to rage; to struggle; to be riotous
暴れまわる|あばれまわる|to rampage; to run riot
暴れ回る|あばれまわる|to rampage; to run riot
暴れ廻る|あばれまわる|to rampage; to run riot
暴れ狂う|あばれくるう|to rage; to run amok (amuck); to tear around
暴れ込む|あばれこむ|to enter someone's territory by force
暴れ者|あばれもの|roughneck
暴れだす|あばれだす|to grow restive; to begin to act violently
暴れ出す|あばれだす|to grow restive; to begin to act violently
暴れ馬|あばれうま|restive horse; runaway horse; out of control horse
暴飲|ぼういん|heavy drinking
暴飲暴食|ぼういんぼうしょく|drinking and eating too much
暴虐|ぼうぎゃく|tyranny; atrocity
暴挙|ぼうきょ|violence; reckless action
暴君|ぼうくん|tyrant; despot
暴行|ぼうこう|assault; outrage; act of violence
暴行|ぼうこう|rape
暴食|ぼうしょく|overeating; gluttony
暴走|ぼうそう|acting rashly; running wildly; behaving recklessly; reckless driving; rampage
暴走|ぼうそう|runaway (process)
暴走|ぼうそう|reckless baserunning
暴走族|ぼうそうぞく|club of rabble-rousing reckless-driving delinquents; biker gang; group of hot rodders
暴徒|ぼうと|insurgent; rioter; mob
暴騰|ぼうとう|sudden rise; sharp rise; boom; skyrocketing
暴動|ぼうどう|insurrection; rebellion; revolt; riot; uprising
暴発|ぼうはつ|spontaneous discharge; accidental gun discharge
暴風|ぼうふう|storm; windstorm; gale
暴風|あらし|storm; windstorm; gale
暴風雨|ぼうふうう|storm; rainstorm
暴風雨|あらし|storm; rainstorm
暴戻|ぼうれい|tyranny; atrocity
暴落|ぼうらく|slump; crash; heavy fall; decline
暴利|ぼうり|excessive profits; usury
暴力|ぼうりょく|violence; mayhem
暴力団|ぼうりょくだん|gangster organization (organisation); crime syndicate; yakuza (Japanese mafia); band of thugs; group of hoodlums
望ましい|のぞましい|desirable; hoped for; preferable; advisable
望み|のぞみ|wish; desire; hope
望み|のぞみ|prospect; expectation; (one's) hopes
望む|のぞむ|to desire
望む|のぞむ|to wish for; to expect
望む|のぞむ|to see; to command (a view of)
望遠|ぼうえん|seeing at a distance
望遠鏡|ぼうえんきょう|telescope
望郷|ぼうきょう|homesickness; nostalgia
望郷の念|ぼうきょうのねん|sense of nostalgia
望月|もちづき|full moon; 15th day of the lunar calendar
望月|もちづき|full moon of the eighth lunar month
望月|ぼうげつ|full moon; 15th day of the lunar calendar
某|それがし|someone; unknown person
某|それがし|I; personal pronoun (used by samurai)
某|ぼう|certain; one
某国|ぼうこく|certain country
某氏|ぼうし|certain person; unnamed person
某所|ぼうしょ|certain place
某日|ぼうじつ|certain day
棒|ぼう|pole; rod; stick
棒グラフ|ぼうグラフ|bar graph; bar chart
棒暗記|ぼうあんき|indiscriminate learning by heart
棒状|ぼうじょう|cylinder or rod-shaped
棒切れ|ぼうきれ|stick; piece of wood; billet; piece of a broken pole
棒切れ|ぼうぎれ|stick; piece of wood; billet; piece of a broken pole
棒きれ|ぼうきれ|stick; piece of wood; billet; piece of a broken pole
棒切|ぼうきれ|stick; piece of wood; billet; piece of a broken pole
棒切|ぼうぎれ|stick; piece of wood; billet; piece of a broken pole
棒線|ぼうせん|straight line
棒立ち|ぼうだち|standing upright; standing bolt upright; rearing
冒す|おかす|to brave; to risk; to face; to venture
冒す|おかす|to harm; to afflict; to affect
冒す|おかす|to desecrate; to profane
冒す|おかす|to assume (someone else's surname); to take
冒険|ぼうけん|risk; venture; adventure
冒険者|ぼうけんしゃ|adventurer
冒険小説|ぼうけんしょうせつ|adventure story; novel of adventure
冒頭|ぼうとう|beginning; start; outset
紡ぎ歌|つむぎうた|spinning song
紡ぎ唄|つむぎうた|spinning song
つむぎ唄|つむぎうた|spinning song
つむぎ歌|つむぎうた|spinning song
紡ぐ|つむぐ|to spin; to make yarn
紡ぐ|つむぐ|to spin (a tale); to assemble (e.g. words); to put together
紡機|ぼうき|spinning machine
紡糸|ぼうし|spinning; spun cotton (wool)
紡織|ぼうしょく|spinning and weaving
紡錘|ぼうすい|spindle
紡錘|つむ|spindle
錘|つむ|spindle
錘|つみ|spindle
紡績|ぼうせき|spinning (textiles)
紡績|ぼうせき|spun yarn
紡績工場|ぼうせきこうじょう|spinning mill; cotton mill
紡毛|ぼうもう|carded wool
ふくらし粉|ふくらしこ|baking powder
膨らし粉|ふくらしこ|baking powder
脹らし粉|ふくらしこ|baking powder
膨らます|ふくらます|to swell; to expand; to inflate; to bulge
膨らみ|ふくらみ|swelling; bulge; puff
脹らみ|ふくらみ|swelling; bulge; puff
膨らむ|ふくらむ|to expand; to swell (out); to get big; to become inflated
脹らむ|ふくらむ|to expand; to swell (out); to get big; to become inflated
膨れっ面|ふくれっつら|sulky look; sullen look
脹れっ面|ふくれっつら|sulky look; sullen look
ふくれっ面|ふくれっつら|sulky look; sullen look
膨張|ぼうちょう|expansion; swelling; increase; growth
膨脹|ぼうちょう|expansion; swelling; increase; growth
ぼう張|ぼうちょう|expansion; swelling; increase; growth
膨張度|ぼうちょうど|dilation (of a sound wave in acoustics)
膨張率|ぼうちょうりつ|rate of expansion
膨満|ぼうまん|inflation
謀|はかりごと|plan; strategy
籌|はかりごと|plan; strategy
謀議|ぼうぎ|plot; conspiracy; conference
謀臣|ぼうしん|strategist; tactician; schemer
謀反|むほん|rebellion; uprising; insurrection
謀反|むほん|treason
謀叛|むほん|rebellion; uprising; insurrection
謀叛|むほん|treason
謀叛|ぼうはん|rebellion; uprising; insurrection
謀叛|ぼうはん|treason
謀略|ぼうりゃく|strategy; stratagem; trick; scheme; plot
貿易|ぼうえき|trade (foreign)
貿易会社|ぼうえきがいしゃ|trading company
貿易業|ぼうえきぎょう|trading business
貿易港|ぼうえきこう|trade port
貿易収支|ぼうえきしゅうし|trade balance
貿易品|ぼうえきひん|articles of commerce
貿易法|ぼうえきほう|trade law
防ぐ|ふせぐ|to defend against; to protect against
防ぐ|ふせぐ|to prevent; to avert; to avoid
禦ぐ|ふせぐ|to defend against; to protect against
禦ぐ|ふせぐ|to prevent; to avert; to avoid
拒ぐ|ふせぐ|to defend against; to protect against
拒ぐ|ふせぐ|to prevent; to avert; to avoid
防衛|ぼうえい|defense; defence; protection; self-defense; self-defence
防衛庁長官|ぼうえいちょうちょうかん|Director General of (former) Defence Agency (Defense)
防衛部長|ぼうえいぶちょう|assistant chief of staff, g3
防疫|ぼうえき|communicable disease control (e.g. by quarantine, disinfection, etc.); prevention of epidemics
防音|ぼうおん|soundproof(ing)
防音室|ぼうおんしつ|soundproof room
防火|ぼうか|fire prevention; fire fighting; fire proof
防火扉|ぼうかとびら|fire door
防火壁|ぼうかへき|firewall
防寒|ぼうかん|protection against cold
防寒服|ぼうかんふく|arctic clothes
防空|ぼうくう|air defense; air defence
防空砲|ぼうくうほう|air defense artillery; air defence artillery
防御|ぼうぎょ|defense; defence; safeguard; protection
防禦|ぼうぎょ|defense; defence; safeguard; protection
防御部隊|ぼうぎょぶたい|defending forces
防護マスク|ぼうごマスク|protective mask
防災|ぼうさい|disaster prevention
防災訓練|ぼうさいくんれん|disaster prevention practice
防止|ぼうし|prevention; check
防止指針|ぼうしししん|prevention guideline
防止法|ぼうしほう|anti-... law
防湿|ぼうしつ|dampproofing; prevention of moisture
防臭|ぼうしゅう|odor-resistant; odour-resistant
防臭剤|ぼうしゅうざい|deodorant; deodorizer; deodoriser
防除|ぼうじょ|pest control; extermination
防人|さきもり|soldiers garrisoned at strategic posts in Kyushu in ancient times
防人|ぼうじん|soldiers garrisoned at strategic posts in Kyushu in ancient times
防人|ぼうじん|Chinese soldiers stationed to protect remote regions of the country during the Tang dynasty
防塵|ぼうじん|protection against dust
防塵|ぼうじん|dust-proof; dust-tight
防じん|ぼうじん|protection against dust
防じん|ぼうじん|dust-proof; dust-tight
防塵室|ぼうじんしつ|cleanroom
防塵着|ぼうじんぎ|dustproof clothing one would use in a cleanroom
防水|ぼうすい|waterproofing; making watertight
防総省|ぼうそうしょう|Department of Defense (Defence)
防虫|ぼうちゅう|protection from insects; insect repellence
防虫剤|ぼうちゅうざい|insect repellent
防長官|ぼうちょうかん|Secretary of Defence (Defense)
防毒|ぼうどく|gasproofing
防毒面|ぼうどくめん|gas mask
防波堤|ぼうはてい|breakwater; mole
防犯|ぼうはん|prevention of crime
防備|ぼうび|defense; defence; defensive preparations
防腐|ぼうふ|preservation; embalmment; antisepsis
防腐剤|ぼうふざい|antiseptic
防腐剤|ぼうふざい|preservative
防壁|ぼうへき|protective wall; bulwark
頬っぺ|ほっぺ|cheek
頬っぺた|ほっぺた|cheek
頰っぺた|ほっぺた|cheek
頬っ辺|ほっぺた|cheek
頰っ辺|ほっぺた|cheek
ほお紅|ほおべに|cheek rouge; blusher; blush
頬紅|ほおべに|cheek rouge; blusher; blush
頬骨|ほおぼね|cheekbones; zygomatic bone; malar bone
頬骨|きょうこつ|cheekbones; zygomatic bone; malar bone
頬骨|ほほぼね|cheekbones; zygomatic bone; malar bone
頬骨|つらぼね|cheekbones; zygomatic bone; malar bone
頬髭|ほおひげ|whiskers; sideburns; sideboards
頬髯|ほおひげ|whiskers; sideburns; sideboards
北|きた|north
北|きた|the North; northern territories
北|きた|North Korea
北|きた|north wind
北北東|ほくほくとう|north-northeast; north-north-east
北々東|ほくほくとう|north-northeast; north-north-east
北の方|きたのかた|northward; facing the north
北の方|きたのかた|nobleman's true wife
北アイルランド|きたアイルランド|Northern Ireland
北アメリカ|きたアメリカ|North America
北カリフォルニア|ほくカリフォルニア|Northern California
北緯|ほくい|north latitude
北欧|ほくおう|Northern Europe; land of the Norsemen; Scandinavia
北欧諸国|ほくおうしょこく|northern countries; Scandinavian countries
北欧人|ほくおうじん|Northern European; Norsemen; Scandinavian
北欧人|ほくおうじん|Nordic
北下ろし|きたおろし|cold wind from the northern uplands
北回帰線|きたかいきせん|Tropic of Cancer
北海|ほっかい|northern sea; North Sea
北海道|ほっかいどう|Hokkaido (island, prefectural-level administrative unit)
北海道開発庁長官|ほっかいどうかいはつちょうちょうかん|Director General of Hokkaido Development Agency
北岸|ほくがん|north coast; north bank
北岸沿いに|ほくがんぞいに|along the north coast; along the northern sea shore
北寄り|きたより|northerly (wind); from the north
北京|ペキン|Beijing; Peking
北京語|ペキンご|Beijing dialect (of Mandarin Chinese)
北境|ほっきょう|northern boundary
北極|ほっきょく|North Pole
北極|ほっきょく|the Arctic
北極海|ほっきょくかい|Arctic Ocean
北極熊|ほっきょくぐま|polar bear (Ursus maritimus)
ホッキョクグマ||polar bear (Ursus maritimus)
北極圏|ほっきょくけん|Arctic Circle; the Arctic
北極光|ほっきょくこう|northern lights; aurora borealis
北極星|ほっきょくせい|Polaris (star in the constellation Ursa Minor); Alpha Ursae Minoris; the North Star
北極洋|ほっきょくよう|Arctic Ocean
北光|ほっこう|northern lights
北口|きたぐち|north entrance
北向き|きたむき|facing north; northern exposure
北航|ほっこう|sailing north
北行|ほっこう|northbound; sailing north
北郊|ほっこう|northern suburbs
北国人|ほっこくじん|northerner
北山|きたやま|northern hill
北支|ほくし|North China
北支事変|ほくしじへん|the Marco Polo Bridge Incident
北受け|きたうけ|facing the north
北上|ほくじょう|going north
北進|ほくしん|proceeding north
北清事変|ほくしんじへん|North China Incident; Boxer Uprising
北西|ほくせい|northwest
北西航路|ほくせいこうろ|Northwest Passage (sea route along the north coast of Canada)
北鮮|ほくせん|North Korea
北大西洋|きたたいせいよう|North Atlantic
北大西洋条約|きたたいせいようじょうやく|North Atlantic Treaty
北辰|ほくしん|North-Star
北端|ほくたん|northern extremity
北朝|ほくちょう|Northern Dynasty
北朝鮮|きたちょうせん|North Korea
北天|ほくてん|northern sky
北斗七星|ほくとしちせい|the Big Dipper (asterism); the Plough; the Plow
北斗星|ほくとせい|the Big Dipper (asterism); the Plough; the Plow
北半|ほくはん|northern half
北半球|きたはんきゅう|northern hemisphere
北部|ほくぶ|northern part; the north (of a region)
北米|ほくべい|North America
北米合衆国|ほくべいがっしゅうこく|United States of America
北米土人|ほくべいどじん|American Indian; native American
北辺|ほくへん|northern extremity
北方|ほっぽう|northern (district); northward
北枕|きたまくら|lying with one's head to the north (trad. position for dead bodies; taboo for sleeping)
北枕|きたまくら|brown-lined puffer (species of pufferfish, Canthigaster rivulata)
キタマクラ||lying with one's head to the north (trad. position for dead bodies; taboo for sleeping)
キタマクラ||brown-lined puffer (species of pufferfish, Canthigaster rivulata)
北満|ほくまん|North Manchuria
北面|ほくめん|north face; north side; the north; facing north
北門|きたもん|north gate
北門|ほくもん|north gate
北洋|ほくよう|northern waters
北陸|ほくりく|region west of Tokyo on Japan Sea side of Japan
北嶺|ほくれい|northern mountain; Mt. Hiei
僕|しもべ|servant; manservant; menial
下部|しもべ|servant; manservant; menial
僕|ぼく|I; me
僕|ぼく|you
僕|ぼく|manservant
僕ら|ぼくら|we
僕等|ぼくら|we
僕たち|ぼくたち|we
僕達|ぼくたち|we
僕仲間|ぼくなかま|fellow servant
僕婢|ぼくひ|male and female servants
卜|ぼく|divining; telling a fortune; predicting
卜|ぼく|choosing; settling; fixing
卜居|ぼっきょ|choosing a homesite by divination
卜者|ぼくしゃ|fortuneteller; soothsayer; diviner
卜占|ぼくせん|augury; fortune-telling; divination
卜筮|ぼくぜい|fortunetelling; divination
墨|すみ|sumi; India ink; Chinese ink; ink stick; ink-cake
墨|すみ|squid ink; octopus ink
墨|すみ|carpenter's inking string
墨画|ぼくが|India-ink drawing
墨絵|すみえ|ink painting
墨痕|ぼっこん|ink marks; handwriting
墨糸|すみいと|inked marking string
墨守|ぼくしゅ|adherence (to custom, tradition)
墨汁|ぼくじゅう|India ink; China ink
墨汁|ぼくじゅう|ink (of a cuttlefish, etc.)
墨書|ぼくしょ|writing in India ink
墨消し|すみけし|blotting out characters with ink
墨色|すみいろ|ink black
墨染め|すみぞめ|dyeing black; dyed black; dark
墨染めの衣|すみぞめのころも|priest's black robe
墨染め衣|すみぞめごろも|priest's black robe
墨池|ぼくち|inkstone well; inkhorn
墨壷|すみつぼ|ink bottle; carpenter's inking device
墨堤|ぼくてい|banks of the Sumida river
墨付き|すみつき|handwriting; autograph; authorization; authorisation
墨付き|すみつき|certificate; certified document; paper with signature of the shogun or lord
墨付け|すみつけ|blackening the face
墨繩|すみなわ|inked marking string
墨縄|すみなわ|inked marking string
撲殺|ぼくさつ|beat to death
撲滅|ぼくめつ|eradication; extermination; destruction; suppression
朴の木|ほおのき|magnolia (Magnolia obovata); Japanese big leaf magnolia
朴の木|ほうのき|magnolia (Magnolia obovata); Japanese big leaf magnolia
ほうの木|ほうのき|magnolia (Magnolia obovata); Japanese big leaf magnolia
ホオノキ||magnolia (Magnolia obovata); Japanese big leaf magnolia
ホウノキ||magnolia (Magnolia obovata); Japanese big leaf magnolia
朴直|ぼくちょく|simplicity; honesty; naivete
樸直|ぼくちょく|simplicity; honesty; naivete
朴念仁|ぼくねんじん|quiet unsociable person
朴念仁|ぼくねんじん|obstinate person; blockhead
朴訥|ぼくとつ|unsophisticated; ruggedly honest; artless; unaffected; simple; naive
朴とつ|ぼくとつ|unsophisticated; ruggedly honest; artless; unaffected; simple; naive
木訥|ぼくとつ|unsophisticated; ruggedly honest; artless; unaffected; simple; naive
牧師|ぼくし|pastor; minister; clergyman; reverend
牧場鳥|まきばどり|meadowlark; field lark
マキバドリ||meadowlark; field lark
牧人|ぼくじん|shepherd; herdsman
牧草|ぼくそう|pasture; grass
牧草地|ぼくそうち|pasture; grassland; meadow
牧畜|ぼくちく|stock-farming
牧畜業|ぼくちくぎょう|stock-farming; cattle breeding
牧童|ぼくどう|cowboy; shepherd
牧野|ぼくや|pasture land; ranch
牧羊|ぼくよう|sheep farming
牧羊者|ぼくようしゃ|sheep breeder; sheepman; shepherd
睦まじい|むつまじい|harmonious (couple, family, etc.); happy; affectionate; friendly; intimate
睦月|むつき|first month of the lunar calendar
睦月|むつき|January
睦言|むつごと|lovers' talk; whispered intimacies
勃起|ぼっき|erection (usu. penis); standing erect; stiffening
勃興|ぼっこう|sudden rise to power; sudden rise in prosperity
勃発|ぼっぱつ|outbreak (e.g. war); outburst; sudden occurrence
ぼっ発|ぼっぱつ|outbreak (e.g. war); outburst; sudden occurrence
没|ぼつ|discard
没|ぼつ|death
没|ぼつ|rejection (of a manuscript, etc.)
没|ぼつ|lacking; without
歿|ぼつ|discard
歿|ぼつ|death
没我的|ぼつがてき|self-effacing; selfless
没交渉|ぼっこうしょう|lack of relation (to); independence (of)
没交渉|ぼつこうしょう|lack of relation (to); independence (of)
没収|ぼっしゅう|forfeiture; seizure; confiscation; impounding
没書|ぼっしょ|rejected manuscript
没頭|ぼっとう|immersing oneself in; being absorbed in; devoting oneself to; giving oneself up entirely to
没入|ぼつにゅう|immersion; being absorbed in
没年|ぼつねん|year of a person's death
没年|ぼつねん|one's age at death
歿年|ぼつねん|year of a person's death
歿年|ぼつねん|one's age at death
没落|ぼつらく|ruin; fall; collapse
殆ど|ほとんど|mostly; nearly; practically; well-nigh; almost invariably; all but; just about; almost
殆んど|ほとんど|mostly; nearly; practically; well-nigh; almost invariably; all but; just about; almost
幾ど|ほとんど|mostly; nearly; practically; well-nigh; almost invariably; all but; just about; almost
堀|ほり|moat; fosse
堀|ほり|canal; ditch
濠|ほり|moat; fosse
濠|ほり|canal; ditch
壕|ほり|moat; fosse
壕|ほり|canal; ditch
堀り鼠|ほりねずみ|pocket gopher
ホリネズミ||pocket gopher
堀散らす|ほりちらす|to dig up messily
堀川|ほりかわ|canal
奔走|ほんそう|running about; making every effort; being busily engaged (in something); good offices
奔走|ほんそ|running about; making every effort; being busily engaged (in something); good offices
奔馬|ほんば|runaway horse; galloping horse
奔放|ほんぽう|wild; uninhibited; extravagant; rampant
