上右|うえみぎ|upper right (corner)
押し紙|おしがみ|blotting paper
横道|おうどう|wickedness; evil; iniquity; wrongness
黄蜀葵|とろろあおい|sunset hibiscus (Hibiscus manihot)
黄蜀葵|おうしょっき|sunset hibiscus (Hibiscus manihot)
黄蜀葵|とろろ|sunset hibiscus (Hibiscus manihot)
黄葵|とろろあおい|sunset hibiscus (Hibiscus manihot)
トロロアオイ||sunset hibiscus (Hibiscus manihot)
入札談合|にゅうさつだんごう|collusion before a bid or tender; bid-rigging
収入金額|しゅうにゅうきんがく|total receipts; income amount
うどんこ病|うどんこびょう|powdery mildew
ウドンコ病|ウドンコびょう|powdery mildew
饂飩粉病|うどんこびょう|powdery mildew
利する|りする|to profit; to benefit from
利する|りする|to take advantage of; to make good use of
総支部|そうしぶ|election campaign office
訟務|しょうむ|litigation
胚性幹細胞|はいせいかんさいぼう|embryonic stem cell; ES
船外|せんがい|outside the boat (ship, spaceship, etc.)
船外|せんがい|outboard; extravehicular
全国総合開発計画|ぜんこくそうごうかいはつけいかく|Comprehensive National Development Plan (1962-)
全総|ぜんそう|Comprehensive National Development Plan (1962-)
入境|にゅうきょう|crossing a border; border entry
顔射|がんしゃ|ejaculation onto partner's face
顔謝|がんしゃ|ejaculation onto partner's face
隱語|いんご|secret word; code word
ソドミー||sodomy
外出し|そとだし|extravaginal ejaculation
この分|このぶん|at this rate
此の内|このうち|meanwhile; the other day; recently
此の中|このうち|meanwhile; the other day; recently
公助|こうじょ|rescue and assistance (by public bodies) (e.g. in time of disaster)
説明責任|せつめいせきにん|accountability; being held accountable
切り粉|きりこ|chips or shavings left after cutting wood or metal with a saw, etc.
増え続ける|ふえつづける|to continue to increase; to continue to mount
言っぱ|いっぱ|this means; that is to say
言っとくけど|いっとくけど|for your information; I'm telling you
階調|かいちょう|gradation; gradient
御心|みこころ|respectful term for another's spirit
御心|みこころ|God's heart or spirit (in Christianity); Lord's will
衆参各院|しゅうさんかくいん|(in) each of the houses of the Japanese parliament
元職|げんしょく|former job; former position
政審|せいしん|policy deliberation
政策審議|せいさくしんぎ|policy deliberation
消臭|しょうしゅう|deodorization
東壁|とうへき|east face (e.g. of a building)
仏誌|ふつし|French publication (magazine, newspaper, etc.)
胚性|はいせい|embryonic; embryonal
中皮|ちゅうひ|mesothelium; mesothelial
複合機|ふくごうき|multifunction machine
複合機|ふくごうき|combination printer-copier-scanner-fax
帰りしな|かえりしな|when about to go back
帰りしな|かえりしな|on the way back; on the way home
ごつい||rough; tough; hard
ごつい||unrefined; rustic
ごつい||exceeding; extreme; too much
ごっつい||rough; tough; hard
ごっつい||unrefined; rustic
ごっつい||exceeding; extreme; too much
中継地|ちゅうけいじ|stopping point; stopover
窶す|やつす|to be absorbed in; to lose oneself to
窶す|やつす|to disguise oneself as; to adorn oneself
俏す|やつす|to be absorbed in; to lose oneself to
俏す|やつす|to disguise oneself as; to adorn oneself
身をやつす|みをやつす|to be enthralled by
身をやつす|みをやつす|to be disguised as
身を窶す|みをやつす|to be enthralled by
身を窶す|みをやつす|to be disguised as
ひいて板|ひいてばん|boards; cut timber
ありゃしない||doesn't even exist
ありはしない||doesn't even exist
職質|しょくしつ|questioning (e.g. by police)
弁が立つ|べんがたつ|to be eloquent; to have a way with words
幻妖|げんよう|confusing people
幻妖|げんよう|magic
幻妖|げんよう|ghost, monster, etc., the true identity of which is unknown
梳る|くしけずる|to comb
梳る|けずる|to comb
窮する|きゅうする|to be hard pressed; to be at a loss
窮する|きゅうする|to become poor; to be reduced to poverty
後生だから|ごしょうだから|for mercy's sake; for the love of God; for goodness' sake
梳く|すく|to comb (out); to card; to untangle (hair)
梳く|とく|to comb (out); to card; to untangle (hair)
漉く|すく|to comb (out); to card; to untangle (hair)
ねちっこい||persistent; obstinate; stubborn; pigheaded
ねちこい||persistent; obstinate; stubborn; pigheaded
撥水|はっすい|water repellency
発水|はっすい|water repellency
いても立ってもいられない|いてもたってもいられない|unable to contain oneself; itching to do something; cannot sit still
居ても立ってもいられない|いてもたってもいられない|unable to contain oneself; itching to do something; cannot sit still
居ても立っても居られない|いてもたってもいられない|unable to contain oneself; itching to do something; cannot sit still
天才肌|てんさいはだ|(person) seeming like a genius; (having) the temperament of a prodigy
共晶|きょうしょう|eutectic point; lowest melting point
打ち開ける|ぶちあける|to forcefully open up a hole (in a wall, etc.)
打ち開ける|ぶちあける|to speak frankly, holding nothing back
打ち開ける|ぶちあける|to throw out everything inside
打ち明ける|ぶちあける|to forcefully open up a hole (in a wall, etc.)
打ち明ける|ぶちあける|to speak frankly, holding nothing back
打ち明ける|ぶちあける|to throw out everything inside
ぶち開ける|ぶちあける|to forcefully open up a hole (in a wall, etc.)
ぶち開ける|ぶちあける|to speak frankly, holding nothing back
ぶち開ける|ぶちあける|to throw out everything inside
ぶち明ける|ぶちあける|to forcefully open up a hole (in a wall, etc.)
ぶち明ける|ぶちあける|to speak frankly, holding nothing back
ぶち明ける|ぶちあける|to throw out everything inside
ばっくんちょ||eating in one bite
ばっくんちょ||sexual intercourse
ばくんちょ||eating in one bite
ばくんちょ||sexual intercourse
連れ帰る|つれかえる|to bring (someone) back home; to take (someone) back home
つれ帰る|つれかえる|to bring (someone) back home; to take (someone) back home
肉球|にくきゅう|(sole of the) paw; pad
空乏層|くうぼうそう|depletion layer (of transistor)
前帯状回|ぜんたいじょうかい|anterior cingulate gyrus
前帯状回皮質|ぜんたいじょうかいひしつ|anterior cingulate cortex
ポマード||pomade
張り扇|はりせん|paper-covered folded fan used in noh and storytelling
張り扇|はりせん|paper fan used in slapstick comedy
張り扇|はりおうぎ|paper-covered folded fan used in noh and storytelling
張扇|はりせん|paper-covered folded fan used in noh and storytelling
張扇|はりせん|paper fan used in slapstick comedy
張扇|はりおうぎ|paper-covered folded fan used in noh and storytelling
逓倍|ていばい|multiplication (e.g. of frequencies)
逓倍器|ていばいき|multiplier (e.g. frequency)
周波数逓倍器|しゅうはすうていばいき|frequency multiplier
濡れ性|ぬれせい|wettability
脈理|みゃくり|cord; cording; stria; striae
ニュープリント||new print (e.g. film); new edition
ニュー・プリント||new print (e.g. film); new edition
調波|ちょうは|harmonic (wave)
耐火物|たいかぶつ|refractory; heat resistance material; high temperature resistance material
陀羅尼助|だらにすけ|traditional "Chinese" medicine for the stomach (usually prepared as small dark spherical pills)
陀羅助|だらすけ|traditional "Chinese" medicine for the stomach (usually prepared as small dark spherical pills)
計算言語学|けいさんげんごがく|computational linguistics
税制度|ぜいせいど|tax system
操作性|そうさせい|operability; usability; user friendliness; ease of use; maneuverability; manoeuverability
熱り|ほとぼり|remaining heat
熱り|ほとぼり|residual excitement
熱り|ほとぼり|lingering enthusiasm
前広|まえびろ|previous; beforehand
退形成性|たいけいせいせい|anaplastic
弊行|へいこう|this bank (humble); my bank
けったい||queer; weird; bizarre
弛緩出血|しかんしゅっけつ|atonic hemorrhage; atonic haemorrhage
一家離散|いっかりさん|the breakup (dispersal) of a family
一芸入試|いちげいにゅうし|entrance exam for a university giving preference to persons who excel in one special field (skill); one-talent oriented entrance examination
一件書類|いっけんしょるい|all the papers (documents) relating to a case; dossier
一昨々月|いっさくさくげつ|three months ago
一昨昨月|いっさくさくげつ|three months ago
一世一元|いっせいいちげん|the practice of assigning one era name to one emperor
一代分限|いちだいぶんげん|new money; nouveau riche; person who has amassed substantial wealth in his lifetime
一代分限|いちだいぶげん|new money; nouveau riche; person who has amassed substantial wealth in his lifetime
一致結束|いっちけっそく|closing ranks; uniting and working together; coming together for fighting
一発回答|いっぱつかいとう|first and final offer in labor-management negotiations
一発逆転|いっぱつぎゃくてん|turning things around with a home run; turning the tables with a single successful attack (move)
一幕見席|ひとまくみせき|special seats and standing-only space in the galley for people who only intend to see one act of a kabuki play
一粒万倍|いちりゅうまんばい|A single seed can eventually produce a great harvest; Even the smallest beginning can generate a greatest profit; Watch the pennies, and the pounds will look after themselves
五月雨式|さみだれしき|off and on manner; intermittent style; dragging on and on
さみだれ式|さみだれしき|off and on manner; intermittent style; dragging on and on
御用繁多|ごようはんた|being busy with many things; extreme busyness due to pressure of business (often used humorously)
三猿主義|さんえんしゅぎ|the principle (philosophy) of see no evil, hear no evil, speak no evil; the policy of "see-not, hear-not, and speak-not"
三割自治|さんわりじち|the "thirty-percent autonomy" of local governments
三者三様|さんしゃさんよう|each of the three being different from the other two; each of the three having his (her) own way
三無主義|さんむしゅぎ|the "three noes principle" of no drive (indolence), no interest (indifference), and no sense of responsibility (irresponsibility), the term describing the temperament of the Japanese youth of the 1970s
四神相応|しじんそうおう|an ideal topography for the four Taoist gods, with a river in the east, a broad avenue in the west, a basin in the south, and a hill in the north
四柱推命|しちゅうすいめい|Four Pillar astrology; originally Chinese method of fortune-telling based on the time, date, month and year of a person's birth
士気阻喪|しきそそう|demoralization; collapse of morale; one's morale being shaken
市井無頼|しせいぶらい|urban villain; street hoodlum
七公三民|しちこうさんみん|land-tax rate during the Edo period, in which the government took 70 percent of the year's crop and the farmers kept 30 percent
七珍万宝|しっちんまんぽう|the seven treasures and many other precious things; all the treasures in the world
処世達者|しょせいたっしゃ|knowing how to get on in the world; knowing the secret of success in life
情実人事|じょうじつじんじ|personnel changes through favoritism
身上調査|しんじょうちょうさ|examine (investigate into) a person's history
身上調書|しんじょうちょうしょ|personal information form; dossier on an individual
生活信条|せいかつしんじょう|one's philosophy of life
先祖伝承|せんぞでんしょう|what has been (orally) handed down from generation to generation; legend; folk tale
昼夜逆転|ちゅうやぎゃくてん|one's days and nights being reversed
度胸千両|どきょうせんりょう|being bold; daring; plucky; having a lot of guts; being quite nerveless
二進一退|にしんいったい|two steps forward, one step back
二枚目半|にまいめはん|comedian who plays a lover's part; man who is both handsome and fun
八重旗雲|やえはたぐも|banner clouds in layers
八重八重|やえやえ|multilayered
八百八橋|はっぴゃくやばし|the large number of bridges over canals and rivers in Naniwa (present-day Osaka)
八百八寺|はっぴゃくやでら|the large number of temples in Kyoto
無明長夜|むみょうじょうや|the long night of spiritual darkness
労使双方|ろうしそうほう|both labor and management; both the workers and the employers
六号記事|ろくごうきじ|(space) filler; fill-in (in magazines, newspapers, etc.)
英雄譚|えいゆうたん|epic; heroic tale
譚詩曲|たんしきょく|ballade
譚歌|たんか|ballad
緑葉|りょくよう|green leaves
緑葉甘藍|りょくようかんらん|kale (Brassica oleracea var. acephala)
リョクヨウカンラン||kale (Brassica oleracea var. acephala)
甘藍|かんらん|cabbage
球茎甘藍|きゅうけいかんらん|kohlrabi
子持ち甘藍|こもちかんらん|Brussels sprouts
いざ知らず|いざしらず|I don't know about ... but; it may be possible for ... but
出来っこない|できっこない|can never be able to
削げる|そげる|to split; to be split; to splinter
殺げる|そげる|to split; to be split; to splinter
頬の削げた|ほおのそげた|hollow-cheeked
頬の殺げた|ほおのそげた|hollow-cheeked
言わずもがな|いわずもがな|(it) goes without saying; needn't be said
言わずもがな|いわずもがな|should rather be left unsaid
清水の舞台から飛び降りる|きよみずのぶたいからとびおりる|to make a leap into the dark; to take the plunge; to jump in at the deep end; to jump off the stage of the Kiyomizu temple
清水の舞台から飛び下りる|きよみずのぶたいからとびおりる|to make a leap into the dark; to take the plunge; to jump in at the deep end; to jump off the stage of the Kiyomizu temple
清水の舞台から飛びおりる|きよみずのぶたいからとびおりる|to make a leap into the dark; to take the plunge; to jump in at the deep end; to jump off the stage of the Kiyomizu temple
側路|そくろ|access lanes (e.g. on a freeway); service road; bypass
長ける|たける|to excel at; to be proficient at
長ける|たける|to grow old
長ける|たける|to ripen
長ける|たける|to rise high (e.g. the sun)
闌ける|たける|to excel at; to be proficient at
闌ける|たける|to grow old
闌ける|たける|to ripen
闌ける|たける|to rise high (e.g. the sun)
腕によりをかける|うでによりをかける|to put all one's skill (into doing something); to do something to the best of one's ability
腕に縒りをかける|うでによりをかける|to put all one's skill (into doing something); to do something to the best of one's ability
腕によりを掛ける|うでによりをかける|to put all one's skill (into doing something); to do something to the best of one's ability
腕に縒りを掛ける|うでによりをかける|to put all one's skill (into doing something); to do something to the best of one's ability
腕に縒を掛ける|うでによりをかける|to put all one's skill (into doing something); to do something to the best of one's ability
腕に縒をかける|うでによりをかける|to put all one's skill (into doing something); to do something to the best of one's ability
金を無心する|かねをむしんする|to ask for money; to put the touch on someone
金の無心|かねのむしん|request for money; touch
流し読み|ながしよみ|skimming (a book, etc.)
ボックスカルバート||box culvert
沈埋工法|ちんまいこうほう|underwater tunnel construction by sinking prefabricated box culverts
地毛|じげ|real hair; one's own hair
自毛|じげ|real hair; one's own hair
くすねる||to pilfer; to filch; to swipe
騙る|かたる|to swindle; to cheat; to take (something) away by deception
騙る|かたる|to misrepresent oneself (as); to lie (e.g. about one's name or status); to falsify (e.g. a seal); to assume (a name); to pretend (to be)
所在無い|しょざいない|bored; having nothing to do; idle
所在ない|しょざいない|bored; having nothing to do; idle
へっぴり腰|へっぴりごし|bent back; prone posture
へっぴり腰|へっぴりごし|weak-kneed; timidity; lack of nerve
屁っ放り腰|へっぴりごし|bent back; prone posture
屁っ放り腰|へっぴりごし|weak-kneed; timidity; lack of nerve
屁っぴり腰|へっぴりごし|bent back; prone posture
屁っぴり腰|へっぴりごし|weak-kneed; timidity; lack of nerve
心無し|こころなし|lacking in prudence; lacking in judgement
心なし|こころなし|lacking in prudence; lacking in judgement
心成し|こころなし|somehow; somewhat; seemingly
心做し|こころなし|somehow; somewhat; seemingly
心なし|こころなし|somehow; somewhat; seemingly
該|がい|said; matter in question
いけず||unkind; mean
いけず||wicked
申込人|もうしこみにん|applicant
申込者|もうしこみしゃ|applicant
灸|きゅう|moxibustion
灸|やいと|moxibustion
エレアコ||electric acoustic guitar
おたんこなす||fool; twit; idiot; bird-brain
翌|よく|the following; next
調整値|ちょうせいち|adjusted value; adjusted price
戒飭|かいちょく|admonishment; warning
戒飭|かいしょく|admonishment; warning
あんす||to be
座敷わらし|ざしきわらし|protective household deity in Tōhoku, appearing as a red-faced child spirit with bobbed hair
座敷童子|ざしきわらし|protective household deity in Tōhoku, appearing as a red-faced child spirit with bobbed hair
座敷童|ざしきわらし|protective household deity in Tōhoku, appearing as a red-faced child spirit with bobbed hair
鯱瓦|しゃちほこがわら|ridge-end tile with the figure of a Shachihoko (e.g. on a castle)
しょうゆ顔|しょうゆがお|typically Japanese face
醤油顔|しょうゆがお|typically Japanese face
ソース顔|ソースがお|typically Caucasian face
水遁|すいとん|ninjutsu art of water-escape
水遁の術|すいとんのじゅつ|ninjutsu art of water-escape
羶血|せんけつ|stink of blood or meat; meat eating barbarian (i.e. Westerner)
虎鶫|とらつぐみ|White's thrush (Zoothera dauma)
トラツグミ||White's thrush (Zoothera dauma)
鵺鳥|ぬえどり|White's thrush (Zoothera dauma)
猫又|ねこまた|mythical two-tailed monster cat
猫また|ねこまた|mythical two-tailed monster cat
猫股|ねこまた|mythical two-tailed monster cat
パチンコ屋|パチンコや|pachinko parlor; pachinko hall
ぱちんこ屋|ぱちんこや|pachinko parlor; pachinko hall
プーアル茶|プーアルちゃ|Pu'er tea; Pu-erh tea
普アル茶|プーアルちゃ|Pu'er tea; Pu-erh tea
普洱茶|プーアルちゃ|Pu'er tea; Pu-erh tea
山童|やまわろ|one-eyed mountain spirit
やんす||to be
雪ん子|ゆきんこ|snow child (type of winter spirit)
閻王|えんおう|Yama, judge of the afterlife
距跋渉毛|きょけつしょうげ|rope weapon with a sickle on one end and a ring on the other
クリオネ||clione; sea angel
坤|こん|kun (one of the trigrams of the I Ching: earth, southwest)
艮|ごん|gen (one of the trigrams of the I Ching: mountain, northeast)
方立|ほうだて|mullion
垂直統合|すいちょくとうごう|vertical integration; vertical merger
闇夜の烏|やみよのからす|something indistinct; a crow in a pitch-black night
闇夜に烏|やみよにからす|something indistinct; a crow in a pitch-black night
だだっ広い|だだっぴろい|excessively spacious; unduly wide; sprawling
徒広い|だだっぴろい|excessively spacious; unduly wide; sprawling
だたっ広い|だたっぴろい|excessively spacious; unduly wide; sprawling
そない||so; to such an extent; such
嗄れる|かれる|to grow hoarse; to become husky
ざら||common; commonplace
ざら||reckless
ざら||pulp paper
ざら||granulated sugar
ざら||coins; small change
ざらにある||common (of objects, abstract things); usual
ザラにある||common (of objects, abstract things); usual
ざらにいる||common (of people)
悪びれずに|わるびれずに|calmly; with good grace
泥舟|どろぶね|boat to transport mud
泥舟|どろぶね|(fictional) boat made of (dried) mud
泥船|どろぶね|boat to transport mud
泥船|どろぶね|(fictional) boat made of (dried) mud
集め始める|あつめはじめる|to begin to catch (attention, etc.); to begin to collect
ジェマーイスラミア||Jemaah Islamiah; JI
ジェマー・イスラミア||Jemaah Islamiah; JI
ラマダン||Ramadan (9th month of Muslim calendar); fasting month
ラマダーン||Ramadan (9th month of Muslim calendar); fasting month
酸塊|すぐり|gooseberry; currant
酸塊|すぐり|plants from the Ribes genus
スグリ||gooseberry; currant
スグリ||plants from the Ribes genus
赤酸塊|あかすぐり|redcurrant (Ribes rubrum); red currant
赤すぐり|あかすぐり|redcurrant (Ribes rubrum); red currant
赤スグリ|あかスグリ|redcurrant (Ribes rubrum); red currant
アカスグリ||redcurrant (Ribes rubrum); red currant
黒酸塊|くろすぐり|black-currant (Ribes nigrum); cassis
黒すぐり|くろすぐり|black-currant (Ribes nigrum); cassis
黒スグリ|くろスグリ|black-currant (Ribes nigrum); cassis
クロスグリ||black-currant (Ribes nigrum); cassis
西洋すぐり|せいようすぐり|(European) gooseberry (Ribes uva-crispa)
西洋酸塊|せいようすぐり|(European) gooseberry (Ribes uva-crispa)
セイヨウスグリ||(European) gooseberry (Ribes uva-crispa)
黒房酸塊|くろふさすぐり|black-currant (Ribes nigrum)
黒房すぐり|くろふさすぐり|black-currant (Ribes nigrum)
黒房スグリ|くろふさスグリ|black-currant (Ribes nigrum)
クロフサスグリ||black-currant (Ribes nigrum)
房酸塊|ふさすぐり|cultivated currant (Ribes altissimum)
房すぐり|ふさすぐり|cultivated currant (Ribes altissimum)
房スグリ|ふさスグリ|cultivated currant (Ribes altissimum)
フサスグリ||cultivated currant (Ribes altissimum)
忠実忠実しい|まめまめしい|hardworking; painstaking; diligent; conscientious; sincere
高慢ちき|こうまんちき|arrogant; haughty
高慢さ|こうまんさ|pride; arrogance; haughtiness
係う|かかずらう|to be mixed up with; to have a connection with (a troublesome matter)
係う|かかずらう|to be a stickler about; to be finicky about (some triviality)
係う|かかずらう|to take part (in some work); to hang about; to bother (someone)
拘う|かかずらう|to be mixed up with; to have a connection with (a troublesome matter)
拘う|かかずらう|to be a stickler about; to be finicky about (some triviality)
拘う|かかずらう|to take part (in some work); to hang about; to bother (someone)
拘らう|かかずらう|to be mixed up with; to have a connection with (a troublesome matter)
拘らう|かかずらう|to be a stickler about; to be finicky about (some triviality)
拘らう|かかずらう|to take part (in some work); to hang about; to bother (someone)
依代|よりしろ|object representative of a divine spirit; object to which a spirit is drawn or summoned; object or animal occupied by a kami
依り代|よりしろ|object representative of a divine spirit; object to which a spirit is drawn or summoned; object or animal occupied by a kami
憑代|よりしろ|object representative of a divine spirit; object to which a spirit is drawn or summoned; object or animal occupied by a kami
白鑞|しろめ|pewter; solder
白鑞|はくろう|pewter; solder
白鑞|びゃくろう|pewter; solder
白鑞|しろみ|pewter; solder
白目|しろめ|pewter; solder
白め|しろめ|pewter; solder
がせ||fake; lie; nonsense
ガセ||fake; lie; nonsense
ちゃち||cheap; rubbishy; shoddy; roughly made
ヒリつく||to hurt; to smart; to sting
ひりつく||to hurt; to smart; to sting
ひん曲げる|ひんまげる|to bend (with great force); to twist; to wrench
ひん曲げる|ひんまげる|to distort (the truth)
瘴気|しょうき|miasma; (supposed) noxious gas originally believed to cause fever
悪気|あっき|nasty smelling air; noxious gas
悪気|あっき|evil 'ki'
だれる||to lose interest; to weaken; to slacken
だれる||to lose value after a peak (e.g. stock)
交流会|こうりゅうかい|(cultural) exchange meeting; gathering; assembly; social; fellowship; mixer
夢か現か|ゆめかうつつか|feeling as if in a dream
特定保健用食品|とくていほけんようしょくひん|food for specified health uses (e.g. cholesterol reduction); FOSHU; designated health food
特保|とくほ|food for specified health uses (e.g. cholesterol reduction); designated health food
トクホ||food for specified health uses (e.g. cholesterol reduction); designated health food
喉越し|のどごし|feeling of food or drink going down one's throat
のど越し|のどごし|feeling of food or drink going down one's throat
喉越|のどごし|feeling of food or drink going down one's throat
喉越しの良い|のどごしのよい|going down smoothly; tasting good going down
喉越しのよい|のどごしのよい|going down smoothly; tasting good going down
見せパン|みせパン|show-off underwear; wearing clothes that reveal part of one's pants
足さばき|あしさばき|footwork (in martial arts, sports, etc.)
足捌き|あしさばき|footwork (in martial arts, sports, etc.)
ウッドカーペット||wood carpet; fabric (or linoleum) backed wooden floor covering
ウッド・カーペット||wood carpet; fabric (or linoleum) backed wooden floor covering
かくかくしかじか||blah-blah yadda-yadda; expression used to replace part of conversation
くたばり損ない|くたばりぞこない|worthless (of a person); somebody who wouldn't be missed if they died
すっとこどっこい||idiot; fool; idiocy; stupidity
貧栄養湖|ひんえいようこ|lake with low nutrient level; oligotrophic lake; unproductive lake
アンダースコート||bloomers; 'safe' pants worn over normal underwear in sports
アンダースカート||bloomers; 'safe' pants worn over normal underwear in sports
アンダー・スカート||bloomers; 'safe' pants worn over normal underwear in sports
濃藍色|のうらんしょく|dark indigo
ごろつく||to rumble; to thunder; to roll about (people, large objects)
ごろつく||to wander about without a fixed workplace, home, etc.; to hang around; to loiter
強つく|ごわつく|to be stiff; to be starchy
ゴワつく||to be stiff; to be starchy
ざらつく||to be rough feeling
ザラつく||to be rough feeling
ざわつく||to be noisy (e.g. from people talking)
ざわつく||to be discomposed (e.g. feelings)
ザワつく||to be noisy (e.g. from people talking)
ザワつく||to be discomposed (e.g. feelings)
どんつく||to make a drumming noise
ニヤつく||to smirk; to grin broadly
にやつく||to smirk; to grin broadly
ばたつく||to clatter; to flap (noisily); to rattle; to walk around being unable to settle down
バタつく||to clatter; to flap (noisily); to rattle; to walk around being unable to settle down
ばらつく||to rain (drops on the large side); to go to pieces; to be taken apart
バラつく||to rain (drops on the large side); to go to pieces; to be taken apart
パクつく||to open one's mouth wide and eat heartily; to gulp down food
ぱくつく||to open one's mouth wide and eat heartily; to gulp down food
パサつく||to be dried out; to be parched
ぱさつく||to be dried out; to be parched
ひくつく||to twitch
ヒクつく||to twitch
もたつく||to be slow; to not make progress; to be inefficient
モタつく||to be slow; to not make progress; to be inefficient
スクショ||screenshot
スクリーンショット||screenshot
目から鱗が落ちる|めからうろこがおちる|to see the light; to be awakened to the truth; to have the scales fall from one's eyes
目からウロコが落ちる|めからウロコがおちる|to see the light; to be awakened to the truth; to have the scales fall from one's eyes
目からうろこが落ちる|めからうろこがおちる|to see the light; to be awakened to the truth; to have the scales fall from one's eyes
のけ者にする|のけものにする|to shun somebody; to send a person to Coventry; to ignore someone
除け者にする|のけものにする|to shun somebody; to send a person to Coventry; to ignore someone
からくり人形|からくりにんぎょう|mechanical doll; automaton; string puppet; marionette; person who follows orders blindly
絡繰り人形|からくりにんぎょう|mechanical doll; automaton; string puppet; marionette; person who follows orders blindly
絡繰人形|からくりにんぎょう|mechanical doll; automaton; string puppet; marionette; person who follows orders blindly
機関人形|からくりにんぎょう|mechanical doll; automaton; string puppet; marionette; person who follows orders blindly
ぎらつく||to glare; to dazzle
ぎらつく||to glitter
ギラつく||to glare; to dazzle
ギラつく||to glitter
期する|きする|to expect; to look forward to; to foresee; to anticipate
期する|きする|to set a time; to set a date
期する|きする|to resolve; to decide upon; to prepare; to promise; to pledge
期する|ごする|to expect; to look forward to; to foresee; to anticipate
期する|ごする|to set a time; to set a date
期する|ごする|to resolve; to decide upon; to prepare; to promise; to pledge
濃|のう|dark (color)
濃|のう|concentrated; thick
濃|こ|dark (color)
非合法化|ひごうほうか|banning (e.g. an organization); making something illegal
べとつく||to be sticky
ベトつく||to be sticky
マストアイテム||must-have; essential item
マスト・アイテム||must-have; essential item
絵面|えづら|the impression given by a painting or image
絵づら|えづら|the impression given by a painting or image
画面|えづら|the impression given by a painting or image
ガムテ||packing tape
興産|こうさん|industry; industries
配属者|はいぞくしゃ|person attached to some unit
餌箱|えさばこ|(animal) feed tray; feed trough; feed box; feed bowl; bait box (e.g. for fishing)
エサ箱|エサばこ|(animal) feed tray; feed trough; feed box; feed bowl; bait box (e.g. for fishing)
輪をかける|わをかける|to exceed; to be even more (so); to exaggerate
輪を掛ける|わをかける|to exceed; to be even more (so); to exaggerate
ほくそ笑む|ほくそえむ|to chuckle; to gloat; to snicker
北叟笑む|ほくそえむ|to chuckle; to gloat; to snicker
まどろっこしい||dull (e.g. of movement or reaction); sluggish
まどろこしい||dull (e.g. of movement or reaction); sluggish
まどろっこい||dull (e.g. of movement or reaction); sluggish
まどろこい||dull (e.g. of movement or reaction); sluggish
人間|じんかん|the world
ベタ印刷|ベタいんさつ|solid printing
配属将校|はいぞくしょうこう|commissioned officer attached to a school
約める|つづめる|to abridge; to shorten; to economize
陳こびる|ひねこびる|to look old; to appear mature (e.g. of children)
陳ねこびる|ひねこびる|to look old; to appear mature (e.g. of children)
障害年金|しょうがいねんきん|disability pension; invalid pension
場繋ぎ|ばつなぎ|filling in (e.g. between speakers at a meeting, acts at a show); material used to fill in (between speeches at a meeting, etc.); anecdote
場つなぎ|ばつなぎ|filling in (e.g. between speakers at a meeting, acts at a show); material used to fill in (between speeches at a meeting, etc.); anecdote
薙ぐ|なぐ|to mow down; to scythe down; to knock someone off their feet
氷片|ひょうへん|ice shard; ice shards
そんだけ||only that; that's all (used in casual speech)
成果主義|せいかしゅぎ|results-oriented approach; resultism; belief in results
廃する|はいする|to abolish; to abandon; to repeal; to discontinue
廃する|はいする|to dethrone; to depose
廢する|はいする|to abolish; to abandon; to repeal; to discontinue
廢する|はいする|to dethrone; to depose
雀牌|ジャンパイ|mahjong tile
納得ずく|なっとくずく|having consent (e.g. to do something); having (someone's) assent
納得尽く|なっとくずく|having consent (e.g. to do something); having (someone's) assent
納得づく|なっとくづく|having consent (e.g. to do something); having (someone's) assent
バタ臭い|バタくさい|Western; European; exotic; outlandish; alien; smelling of butter
又候|またぞろ|(yet) again
折しも|おりしも|at that (very) moment; just then
折りしも|おりしも|at that (very) moment; just then
飛び降り自殺|とびおりじさつ|killing oneself by jumping (e.g. from a tall building); plunging to one's death
飛降り自殺|とびおりじさつ|killing oneself by jumping (e.g. from a tall building); plunging to one's death
飛降自殺|とびおりじさつ|killing oneself by jumping (e.g. from a tall building); plunging to one's death
アオイ目|アオイもく|Malvales; order of plants
イチイ目|イチイもく|Taxales (order of plants)
イチョウ目|イチョウもく|Ginkgoales (order of plants)
イラクサ目|イラクサもく|Urticales (order of plants)
カキノキ目|カキノキもく|Ebenales (order of plants)
キンポウゲ目|キンポウゲもく|Ranunculales (order of plants)
クルミ目|クルミもく|Juglandales (order of plants)
クロウメモドキ目|クロウメモドキもく|Rhamnales (order of plants)
ゴマノハグサ目|ゴマノハグサもく|Scrophulariales (order of plants)
セリ目|セリもく|Apiales (order of plants)
ソテツ目|ソテツもく|Cycadales (order of plants)
ツツジ目|ツツジもく|Ericales (order of plants)
ツバキ目|ツバキもく|Theales (order of plants)
ニシキギ目|ニシキギもく|Celastrales; order of plants
バラ目|バラもく|Rosales (order of plants)
ヒノキ目|ヒノキもく|Cupressales (order of plants)
フトモモ目|フトモモもく|Myrtales (order of plants)
シソ目|シソもく|Lamiales (order of plants)
金蓮花|きんれんか|nasturtium (species of Indian cress, Tropaeolum majus)
キンレンカ||nasturtium (species of Indian cress, Tropaeolum majus)
下位バイト|かいバイト|least significant byte
被子植物門|ひししょくぶつもん|Magnoliophyta; Angiospermae; phylum of flowering plants
カエデ科|カエデか|Aceraceae; family of flowering plants including the maples
ウリノキ科|ウリノキか|Alangiaceae; Alangium family
