卵泡立て器|たまごあわだてき|egg beater
仮名|かめい|alias; pseudonym; pen name; nom de plume
仮名|かりな|alias; pseudonym; pen name; nom de plume
仮名|けみょう|alias; pseudonym; pen name; nom de plume
何|なに|what
何|なに|you-know-what; that
何|なに|whatsit; what's the expression; what do you call them
何|なに|what?
何|なに|hey!
何|なん|what
何|なん|how many
何|なん|you-know-what; that
何|なん|whatsit; what's the expression; what do you call them
何|なん|what?
何|なん|hey!
何せ|なにせ|at any rate; anyhow
何せ|なんせ|at any rate; anyhow
何故|なぜ|why; how
何故|なにゆえ|why; how
何ゆえ|なにゆえ|why; how
何時でも|いつでも|(at) any time; always; at all times; whenever
何時でも|なんどきでも|(at) any time; always; at all times; whenever
何処|どこ|where; what place
何処|どこ|how much (long, far); what extent
何処|いずこ|where; what place
何処|いずこ|how much (long, far); what extent
何処|いずく|where; what place
何処|いずく|how much (long, far); what extent
何処|いづこ|where; what place
何処|いづこ|how much (long, far); what extent
何処|いどこ|where; what place
何処|いどこ|how much (long, far); what extent
何所|どこ|where; what place
何所|どこ|how much (long, far); what extent
何所|いどこ|where; what place
何所|いどこ|how much (long, far); what extent
何處|どこ|where; what place
何處|どこ|how much (long, far); what extent
何處|いどこ|where; what place
何處|いどこ|how much (long, far); what extent
何人も|なんびとも|everyone; all; nobody (with negative verb)
何人も|なんぴとも|everyone; all; nobody (with negative verb)
どれ程|どれほど|how much (long, far)
何程|どれほど|how much (long, far)
何程|なにほど|how much (long, far)
何れ程|どれほど|how much (long, far)
何がし|なにがし|certain amount; some
何がし|なにがし|certain person; Mr So-and-so; a certain ...
何がし|なにがし|I; me
何某|なにがし|certain amount; some
何某|なにがし|certain person; Mr So-and-so; a certain ...
何某|なにがし|I; me
何某|なにぼう|certain person; Mr So-and-so; a certain ...
某|なにがし|certain amount; some
某|なにがし|certain person; Mr So-and-so; a certain ...
某|なにがし|I; me
加重|かじゅう|weighting (in averaging); aggravation
加重|かちょう|weighting (in averaging); aggravation
可愛い|かわいい|cute; adorable; charming; lovely; pretty
可愛い|かわいい|dear; precious; darling; pet
可愛い|かわいい|cute little; tiny
可愛い|かわゆい|cute; adorable; charming; lovely; pretty
可愛い|かわゆい|dear; precious; darling; pet
可愛い|かわゆい|cute little; tiny
可愛ゆい|かわゆい|cute; adorable; charming; lovely; pretty
可愛ゆい|かわゆい|dear; precious; darling; pet
可愛ゆい|かわゆい|cute little; tiny
カワイイ||cute; adorable; charming; lovely; pretty
カワイイ||dear; precious; darling; pet
カワイイ||cute little; tiny
カワイい||cute; adorable; charming; lovely; pretty
カワイい||dear; precious; darling; pet
カワイい||cute little; tiny
可惜|あたら|alas; regrettably; to my great regret; tragically
可惜|あったら|alas; regrettably; to my great regret; tragically
惜|あたら|alas; regrettably; to my great regret; tragically
惜|あったら|alas; regrettably; to my great regret; tragically
夏時|かじ|summertime
夏時|なつどき|summertime
夏草|なつくさ|summer grass
夏草|なつぐさ|summer grass
家居|いえい|staying at home
家居|かきょ|staying at home
家君|いえぎみ|head of the house
家君|かくん|head of the house
家訓|かくん|family precepts; family motto; rule of the home
家訓|かきん|family precepts; family motto; rule of the home
台詞|せりふ|speech; words; one's lines; remarks
台詞|だいし|speech; words; one's lines; remarks
科白|せりふ|speech; words; one's lines; remarks
科白|かはく|speech; words; one's lines; remarks
セリフ||speech; words; one's lines; remarks
暇|ひま|spare time; free time; leisure
暇|ひま|time (e.g. time it takes to do something)
暇|ひま|time off; day off; vacation; holiday; leave
暇|ひま|quitting (one's job); firing someone; divorcing (one's spouse)
暇|ひま|(of one's time) free; (of one's business) slow
暇|いとま|spare time; free time; leisure
暇|いとま|time off; day off; vacation; holiday; leave
暇|いとま|quitting (one's job); firing someone; divorcing (one's spouse)
暇|いとま|leaving; departing
閑|ひま|spare time; free time; leisure
閑|ひま|time (e.g. time it takes to do something)
閑|ひま|time off; day off; vacation; holiday; leave
閑|ひま|quitting (one's job); firing someone; divorcing (one's spouse)
閑|ひま|(of one's time) free; (of one's business) slow
遑|いとま|spare time; free time; leisure
遑|いとま|time off; day off; vacation; holiday; leave
遑|いとま|quitting (one's job); firing someone; divorcing (one's spouse)
遑|いとま|leaving; departing
ヒマ||spare time; free time; leisure
ヒマ||time (e.g. time it takes to do something)
ヒマ||time off; day off; vacation; holiday; leave
ヒマ||quitting (one's job); firing someone; divorcing (one's spouse)
ヒマ||(of one's time) free; (of one's business) slow
河口|かこう|mouth of river; estuary
河口|かわぐち|mouth of river; estuary
川口|かわぐち|mouth of river; estuary
火傷|やけど|burn; scald
火傷|かしょう|burn; scald
火箭|かせん|fire arrow
火箭|ひや|fire arrow
火矢|ひや|fire arrow
花園|はなぞの|flower garden
花園|かえん|flower garden
花街|かがい|red-light district; prostitution quarter; geisha quarter
花街|はなまち|red-light district; prostitution quarter; geisha quarter
花町|はなまち|red-light district; prostitution quarter; geisha quarter
荷役|にえき|handling cargo; loading and unloading
荷役|にやく|handling cargo; loading and unloading
過ぎ行く|すぎゆく|to pass; to go past
過ぎ行く|すぎいく|to pass; to go past
過ぎゆく|すぎゆく|to pass; to go past
過行く|すぎゆく|to pass; to go past
過行く|すぎいく|to pass; to go past
画工|えだくみ|painter; artist
画工|がこう|painter; artist
画師|えし|painter; artist; painter supported by patron
画師|がし|painter; artist; painter supported by patron
絵師|えし|painter; artist; painter supported by patron
臥龍|がりゅう|unrecognized genius; exceptional person hidden among the masses
臥龍|がりゅう|reclining dragon
臥龍|がりょう|unrecognized genius; exceptional person hidden among the masses
臥龍|がりょう|reclining dragon
臥竜|がりゅう|unrecognized genius; exceptional person hidden among the masses
臥竜|がりゅう|reclining dragon
臥竜|がりょう|unrecognized genius; exceptional person hidden among the masses
臥竜|がりょう|reclining dragon
海神|かいしん|sea god; Poseidon; Neptune
海神|かいじん|sea god; Poseidon; Neptune
海神|わたつみ|sea god; Poseidon; Neptune
海神|わだつみ|sea god; Poseidon; Neptune
綿津見|わたつみ|sea god; Poseidon; Neptune
綿津見|わだつみ|sea god; Poseidon; Neptune
海鳥|うみどり|sea bird
海鳥|かいちょう|sea bird
絵馬|えま|votive picture (originally of horse)
絵馬|えうま|votive picture (originally of horse)
外界|がいかい|outside world; physical world
外側|そとがわ|exterior; outside; outer; external; lateral
外側|がいそく|exterior; outside; outer; external; lateral
外庭|がいてい|outer court
外庭|そとにわ|outer court
蛙|かえる|frog
蛙|かわず|frog
蛙|かわず|kajika frog (Buergeria buergeri)
蛙|かいる|frog
蛤|かえる|frog
蝦|かえる|frog
カエル||frog
カワズ||frog
カワズ||kajika frog (Buergeria buergeri)
各回|かくかい|each time
各回|かっかい|each time
各項|かくこう|each item; each clause
各項|かっこう|each item; each clause
格好良い|かっこよい|attractive; good-looking; stylish; cool; smooth; neat; with-it; groovy
格好良い|かっこうよい|attractive; good-looking; stylish; cool; smooth; neat; with-it; groovy
かっこ良い|かっこよい|attractive; good-looking; stylish; cool; smooth; neat; with-it; groovy
格好よい|かっこよい|attractive; good-looking; stylish; cool; smooth; neat; with-it; groovy
格好よい|かっこうよい|attractive; good-looking; stylish; cool; smooth; neat; with-it; groovy
かっこう良い|かっこうよい|attractive; good-looking; stylish; cool; smooth; neat; with-it; groovy
かっこ好い|かっこよい|attractive; good-looking; stylish; cool; smooth; neat; with-it; groovy
角界|かくかい|the world of sumo
角界|かっかい|the world of sumo
顎骨|がっこつ|jawbone; mandible
顎骨|がくこつ|jawbone; mandible
顎骨|あごぼね|jawbone; mandible
あご骨|あごぼね|jawbone; mandible
割賦|かっぷ|allotment; quota; payment in installments; payment in instalments; hire-purchase
割賦|わっぷ|allotment; quota; payment in installments; payment in instalments; hire-purchase
蒲|がま|common cattail (Typha latifolia); common bulrush; common reedmace
蒲|かば|common cattail (Typha latifolia); common bulrush; common reedmace
蒲|こうほ|common cattail (Typha latifolia); common bulrush; common reedmace
蒲|かま|common cattail (Typha latifolia); common bulrush; common reedmace
香蒲|がま|common cattail (Typha latifolia); common bulrush; common reedmace
香蒲|かま|common cattail (Typha latifolia); common bulrush; common reedmace
ガマ||common cattail (Typha latifolia); common bulrush; common reedmace
乾|けん|qian (one of the trigrams of the I Ching: heaven, northwest)
乾咳|からせき|dry cough; hacking cough
乾咳|からせき|intentional cough (i.e. to get someone's attention)
乾咳|からぜき|dry cough; hacking cough
乾咳|からぜき|intentional cough (i.e. to get someone's attention)
空咳|からせき|dry cough; hacking cough
空咳|からせき|intentional cough (i.e. to get someone's attention)
空咳|からぜき|dry cough; hacking cough
空咳|からぜき|intentional cough (i.e. to get someone's attention)
乾魚|かんぎょ|dried fish; stockfish
乾魚|ひうお|dried fish; stockfish
乾魚|ひざかな|dried fish; stockfish
乾魚|ほしうお|dried fish; stockfish
乾魚|ほしざかな|dried fish; stockfish
干魚|かんぎょ|dried fish; stockfish
干魚|ひうお|dried fish; stockfish
干魚|ひざかな|dried fish; stockfish
干魚|ほしうお|dried fish; stockfish
干魚|ほしざかな|dried fish; stockfish
干し魚|ほしうお|dried fish; stockfish
干し魚|ほしざかな|dried fish; stockfish
乾船渠|かんせんきょ|dry dock
乾板|かんぱん|dry plate (photography)
乾飯|かれい|dried boiled rice
乾飯|かれいい|dried boiled rice
乾飯|ほしいい|dried boiled rice
乾物|かんぶつ|dry provisions; dried food; dried goods; groceries
干物|かんぶつ|dry provisions; dried food; dried goods; groceries
冠|かんむり|cap (esp. a traditional cap worn with sokutai or ikan clothing); crown; diadem; coronet
冠|かんむり|top kanji radical
冠|かんむり|name; title; named sponsorship of a program, event, team, etc.
冠|かん|cap (esp. a traditional cap worn with sokutai or ikan clothing); crown; diadem; coronet
冠|かん|best; peerless; first
冠|かむり|cap (esp. a traditional cap worn with sokutai or ikan clothing); crown; diadem; coronet
冠|かむり|first verse of a haikai, etc.
冠|かんぶり|cap (esp. a traditional cap worn with sokutai or ikan clothing); crown; diadem; coronet
冠者|かんじゃ|young person; young servant; young man come of age (at 16)
冠者|かじゃ|young person; young servant; young man come of age (at 16)
冠者|かざ|young person; young servant; young man come of age (at 16)
幹|みき|(tree) trunk; (arrow) shaft; (tool) handle; backbone; base
幹|かん|(tree) trunk; (arrow) shaft; (tool) handle; backbone; base
管|かん|pipe; tube
管|くだ|pipe; tube
嗽|うがい|gargling; rinsing one's mouth
漱|うがい|gargling; rinsing one's mouth
眼鏡|めがね|spectacles; glasses
眼鏡|めがね|judgement; discrimination; discernment; insight
眼鏡|がんきょう|spectacles; glasses
メガネ||spectacles; glasses
偽札|にせさつ|counterfeit paper money
偽札|ぎさつ|counterfeit paper money
偽札|ぎさつ|forged document
偽札|にせふだ|counterfeit paper money
贋札|にせさつ|counterfeit paper money
贋札|がんさつ|counterfeit paper money
贋札|にせふだ|counterfeit paper money
にせ札|にせさつ|counterfeit paper money
にせ札|にせふだ|counterfeit paper money
雁|がん|wild goose
雁|かり|wild goose
雁|かり|glans; head of a penis
鴈|がん|wild goose
鴈|かり|wild goose
鴈|かり|glans; head of a penis
ガン||wild goose
カリ||wild goose
カリ||glans; head of a penis
願望|がんぼう|desire; wish; aspiration
願望|がんもう|desire; wish; aspiration
寄贈|きぞう|donation; presentation; gift
寄贈|きそう|donation; presentation; gift
捨て子|すてご|abandoned child; foundling
棄て子|すてご|abandoned child; foundling
棄て児|すてご|abandoned child; foundling
棄児|すてご|abandoned child; foundling
棄児|きじ|abandoned child; foundling
捨子|すてご|abandoned child; foundling
棄子|すてご|abandoned child; foundling
気難しい|きむずかしい|hard to please; moody; crusty; fastidious
気難しい|きむづかしい|hard to please; moody; crusty; fastidious
気むずかしい|きむずかしい|hard to please; moody; crusty; fastidious
貴女|きじょ|noblewoman; lady
貴女|きじょ|you
鬼神|きしん|fierce god
鬼神|きじん|fierce god
鬼神|おにがみ|fierce god
亀卜|きぼく|tortoise-shell divination
亀卜|かめうら|tortoise-shell divination
龜卜|きぼく|tortoise-shell divination
龜卜|かめうら|tortoise-shell divination
偽君子|ぎくんし|hypocrite; snob
偽君子|にせくんし|hypocrite; snob
偽物|にせもの|spurious article; forgery; counterfeit; imitation; sham
偽物|にせもん|spurious article; forgery; counterfeit; imitation; sham
偽物|ぎぶつ|spurious article; forgery; counterfeit; imitation; sham
贋物|にせもの|spurious article; forgery; counterfeit; imitation; sham
贋物|にせもん|spurious article; forgery; counterfeit; imitation; sham
贋物|がんぶつ|spurious article; forgery; counterfeit; imitation; sham
ニセ物|ニセもの|spurious article; forgery; counterfeit; imitation; sham
ニセ物|ニセもん|spurious article; forgery; counterfeit; imitation; sham
にせ物|にせもの|spurious article; forgery; counterfeit; imitation; sham
にせ物|にせもん|spurious article; forgery; counterfeit; imitation; sham
ニセモノ||spurious article; forgery; counterfeit; imitation; sham
ニセモン||spurious article; forgery; counterfeit; imitation; sham
戯ける|おどける|to jest; to joke; to play the fool; to act indecently; to be silly over; to talk foolishly
戯ける|たわける|to jest; to joke; to play the fool; to act indecently; to be silly over; to talk foolishly
戲ける|おどける|to jest; to joke; to play the fool; to act indecently; to be silly over; to talk foolishly
戲ける|たわける|to jest; to joke; to play the fool; to act indecently; to be silly over; to talk foolishly
戯言|たわごと|nonsense; silly talk; drivel; rubbish
戯言|たわこと|nonsense; silly talk; drivel; rubbish
たわ言|たわごと|nonsense; silly talk; drivel; rubbish
たわ言|たわこと|nonsense; silly talk; drivel; rubbish
戲言|たわごと|nonsense; silly talk; drivel; rubbish
戲言|たわこと|nonsense; silly talk; drivel; rubbish
譫言|たわごと|nonsense; silly talk; drivel; rubbish
譫言|たわこと|nonsense; silly talk; drivel; rubbish
戯作|げさく|cheap literature; writing for amusement
戯作|げさく|light literature popular in the late Edo period
戯作|ぎさく|cheap literature; writing for amusement
戯作|ぎさく|light literature popular in the late Edo period
吉事|きちじ|auspicious event
吉事|きつじ|auspicious event
吉祥天|きっしょうてん|Sri-mahadevi (consort of Vaisravana in Buddhism, based on Lakshmi, the consort of Vishnu in Hinduism)
吉祥天|きちじょうてん|Sri-mahadevi (consort of Vaisravana in Buddhism, based on Lakshmi, the consort of Vishnu in Hinduism)
吉日|きちじつ|lucky day
吉日|きちじつ|an unspecified day of the month, used on diplomas, proclamations, etc.
吉日|きちにち|lucky day
吉日|きちにち|an unspecified day of the month, used on diplomas, proclamations, etc.
吉日|きつじつ|lucky day
吉日|きつじつ|an unspecified day of the month, used on diplomas, proclamations, etc.
脚力|きゃくりょく|leg strength; walking ability
脚力|きゃくりき|leg strength; walking ability
逆三角形|ぎゃくさんかくけい|inverted triangle
逆三角形|ぎゃくさんかっけい|inverted triangle
久遠|きゅうえん|eternity
久遠|くおん|eternity
仇|あだ|foe; enemy; rival
仇|あだ|resentment; enmity; grudge
仇|あだ|harm; injury
仇|あた|foe; enemy; rival
仇|あた|resentment; enmity; grudge
仇|あた|harm; injury
仇|あたん|foe; enemy; rival
仇|あたん|resentment; enmity; grudge
仇|あたん|harm; injury
寇|あだ|foe; enemy; rival
寇|あだ|resentment; enmity; grudge
寇|あだ|harm; injury
讐|あだ|foe; enemy; rival
讐|あだ|resentment; enmity; grudge
讐|あだ|harm; injury
賊|あだ|foe; enemy; rival
賊|あだ|resentment; enmity; grudge
賊|あだ|harm; injury
敵|かたき|rival; opponent; adversary; competitor; enemy (esp. one with which there is longstanding enmity); foe
敵|かたき|revenge
敵|かたき|spouse
仇|かたき|rival; opponent; adversary; competitor; enemy (esp. one with which there is longstanding enmity); foe
仇|かたき|revenge
仇|かたき|spouse
球面|きゅうめん|spherical surface
給油所|きゅうゆじょ|petrol filling station; gasoline filling station
給油所|きゅうゆしょ|petrol filling station; gasoline filling station
旧型|きゅうがた|old style; old type
旧型|きゅうけい|old style; old type
旧事|きゅうじ|past events; bygones
旧事|くじ|past events; bygones
旧年|きゅうねん|the old year; last year
旧年|ふるとし|the old year; last year
旧版|きゅうはん|old edition
旧版|きゅうばん|old edition
居る|いる|to be (of animate objects); to exist
居る|いる|to stay
居る|いる|verb indicating continuing action or state (i.e. to be ..ing, to have been ..ing)
居る|おる|to be (animate); to be; to exist
居る|おる|verb indicating continuing action or state (i.e. to be ..ing)
居る|おる|indicates contempt or disdain for another's actions
巨細|きょさい|large and small matters; particulars; details; greatness and smallness; circumstances
巨細|こさい|large and small matters; particulars; details; greatness and smallness; circumstances
魚|さかな|fish
魚|うお|fish
京洛|きょうらく|capital (esp. Kyoto)
京洛|けいらく|capital (esp. Kyoto)
供御|くご|emperor's meal
供御|ぐご|emperor's meal
供御|くぎょ|emperor's meal
共|とも|together with
共|とも|same
共|とも|both; all; neither; none
共|とも|including ...
共存|きょうぞん|coexistence
共存|きょうそん|coexistence
強請|きょうせい|blackmail; extortion; persistent demand
強請|ごうせい|blackmail; extortion; persistent demand
脅かす|おどかす|to threaten; to menace
脅かす|おどかす|to startle; to surprise
嚇かす|おどかす|to threaten; to menace
嚇かす|おどかす|to startle; to surprise
威かす|おどかす|to threaten; to menace
威かす|おどかす|to startle; to surprise
脅かす|おびやかす|to intimidate; to scare
脅かす|おびやかす|to jeopardize; to endanger; to imperil
脅やかす|おびやかす|to intimidate; to scare
脅やかす|おびやかす|to jeopardize; to endanger; to imperil
劫かす|おびやかす|to intimidate; to scare
劫かす|おびやかす|to jeopardize; to endanger; to imperil
興|きょう|interest; entertainment; pleasure
興|きょう|implicit comparison (style of the Shi Jing)
曲尺|かねじゃく|carpenter's square (for checking angles)
曲尺|かねじゃく|common shaku (unit of distance; approx. 30.3 cm)
曲尺|きょくしゃく|carpenter's square (for checking angles)
曲尺|きょくしゃく|common shaku (unit of distance; approx. 30.3 cm)
矩尺|かねじゃく|carpenter's square (for checking angles)
矩尺|かねじゃく|common shaku (unit of distance; approx. 30.3 cm)
曲がり尺|まがりがね|carpenter's square
曲がり尺|まがりがね|common Japanese foot
曲がり尺|まがりじゃく|carpenter's square
曲がり尺|まがりじゃく|common Japanese foot
曲り尺|まがりがね|carpenter's square
曲り尺|まがりがね|common Japanese foot
曲り尺|まがりじゃく|carpenter's square
曲り尺|まがりじゃく|common Japanese foot
曲がり金|まがりがね|carpenter's square
曲がり金|まがりがね|common Japanese foot
曲り金|まがりがね|carpenter's square
曲り金|まがりがね|common Japanese foot
近々|ちかぢか|soon; nearness; before long
近々|きんきん|soon; nearness; before long
近近|ちかぢか|soon; nearness; before long
近近|きんきん|soon; nearness; before long
近ぢか|ちかぢか|soon; nearness; before long
金色|きんいろ|golden (colour, color)
金色|こんじき|golden (colour, color)
金蔵|かねぐら|treasure house; treasury
金蔵|かねぐら|financial supporter; patron; financier; backer
金蔵|きんぞう|treasure house; treasury
金庫|かねぐら|treasure house; treasury
金庫|かねぐら|financial supporter; patron; financier; backer
金鯱|きんしゃち|golden dolphin
金の鯱|きんのしゃちほこ|golden dolphin
金の鯱|きんのしゃち|golden dolphin
九|きゅう|nine
九|く|nine
九|ここの|nine
九|この|nine
九|ここ|nine
９|きゅう|nine
９|く|nine
９|ここの|nine
９|この|nine
９|ここ|nine
玖|きゅう|nine
玖|く|nine
玖|ここの|nine
玖|この|nine
玖|ここ|nine
九十|きゅうじゅう|ninety
九十|くじゅう|ninety
軍艦鳥|ぐんかんちょう|frigate (bird) (Fregata spp.)
軍艦鳥|ぐんかんどり|frigate (bird) (Fregata spp.)
軍兵|ぐんぴょう|armed forces; battle troops
軍兵|ぐんぺい|armed forces; battle troops
軍兵|ぐんびょう|armed forces; battle troops
軍役|ぐんえき|military service
軍役|ぐんやく|military service
傾く|かたむく|to incline toward; to slant; to lurch; to heel over; to be disposed to; to trend toward; to be prone to
傾く|かたむく|to go down (sun); to wane; to sink; to decline
傾く|かたぶく|to incline toward; to slant; to lurch; to heel over; to be disposed to; to trend toward; to be prone to
傾く|かたぶく|to go down (sun); to wane; to sink; to decline
傾ぐ|かしぐ|to incline toward; to slant; to lurch; to heel over; to be disposed to; to trend toward; to be prone to
傾ぐ|かしぐ|to go down (sun); to wane; to sink; to decline
傾ぐ|かたぐ|to incline toward; to slant; to lurch; to heel over; to be disposed to; to trend toward; to be prone to
傾ぐ|かたぐ|to go down (sun); to wane; to sink; to decline
傾げる|かしげる|to lean; to incline; to tilt; to slant
傾げる|かたげる|to lean; to incline; to tilt; to slant
兄妹|けいまい|older brother and younger sister
兄妹|きょうだい|older brother and younger sister
荊棘|けいきょく|wild rose; bramble
荊棘|けいきょく|briar patch
荊棘|けいきょく|thorn (used figuratively as an obstacle or source of difficulty)
荊棘|ばら|wild rose; bramble
荊棘|ばら|briar patch
荊棘|ばら|thorn (used figuratively as an obstacle or source of difficulty)
軽やか|かろやか|light; easy; non-serious; minor
軽やか|かるやか|light; easy; non-serious; minor
鶏冠|とさか|cockscomb; crest
鶏冠|けいかん|cockscomb; crest
トサカ||cockscomb; crest
決定版|けっていはん|definitive piece; definitive (authoritative) edition; last word
決定版|けっていばん|definitive piece; definitive (authoritative) edition; last word
倦む|あぐむ|to get tired of (doing); to lose interest in
倦む|うむ|to get tired of (doing); to lose interest in
厭む|あぐむ|to get tired of (doing); to lose interest in
兼業|けんぎょう|side line; second business
兼業|けんごう|side line; second business
嫌気|いやき|dislike; disgust; disinclination; tired of
嫌気|いやけ|dislike; disgust; disinclination; tired of
嫌気|けんき|dislike; disgust; disinclination; tired of
研究所|けんきゅうしょ|research establishment; research institute; laboratory
研究所|けんきゅうじょ|research establishment; research institute; laboratory
肩甲骨|けんこうこつ|shoulder blade; scapula
肩胛骨|けんこうこつ|shoulder blade; scapula
見栄|みえ|airs; pretensions; show; ostentation; display; appearance; vanity; charm
見栄|みばえ|airs; pretensions; show; ostentation; display; appearance; vanity; charm
見栄え|みばえ|airs; pretensions; show; ostentation; display; appearance; vanity; charm
見映|みばえ|airs; pretensions; show; ostentation; display; appearance; vanity; charm
見映え|みばえ|airs; pretensions; show; ostentation; display; appearance; vanity; charm
見え|みえ|airs; pretensions; show; ostentation; display; appearance; vanity; charm
元凶|げんきょう|ringleader; main culprit
元凶|げんきょう|main cause; source
元凶|がんきょう|ringleader; main culprit
元凶|がんきょう|main cause; source
元兇|げんきょう|ringleader; main culprit
元兇|げんきょう|main cause; source
元兇|がんきょう|ringleader; main culprit
元兇|がんきょう|main cause; source
元金|がんきん|capital; principal
元金|もときん|capital; principal
元服|げんぷく|male coming of age ceremony
元服|げんぷく|for a woman to shave her eyebrows, dye her teeth and wear her hair in the marumage style after marrying (Edo period)
元服|げんぶく|male coming of age ceremony
元服|げんぶく|for a woman to shave her eyebrows, dye her teeth and wear her hair in the marumage style after marrying (Edo period)
元利|がんり|principal and interest
元利|げんり|principal and interest
弦|つる|bowstring
弦|つる|string (of shamisen, guitar, violin, etc.)
弦|つる|bail (arched pot handle)
弦|つる|diagonal levelling wire across the top of a masu
絃|つる|bowstring
絃|つる|string (of shamisen, guitar, violin, etc.)
絃|つる|bail (arched pot handle)
絃|つる|diagonal levelling wire across the top of a masu
鉉|つる|bowstring
鉉|つる|string (of shamisen, guitar, violin, etc.)
鉉|つる|bail (arched pot handle)
鉉|つる|diagonal levelling wire across the top of a masu
現存|げんそん|existing; living; extant
現存|げんぞん|existing; living; extant
古印紙|こいんし|used stamps
古印紙|ふるいんし|used stamps
古歌|こか|old song; old poem
古歌|ふるうた|old song; old poem
古寺|こじ|old temple
古寺|ふるでら|old temple
古酒|こしゅ|well-cured sake; last year's sake; old sake
古酒|ふるざけ|well-cured sake; last year's sake; old sake
古鉄|ふるがね|scrap iron; scrap metal
古鉄|ふるてつ|scrap iron; scrap metal
古金|ふるがね|scrap iron; scrap metal
古道具|ふるどうぐ|old furniture; curios; secondhand goods
古道具|こどうぐ|old furniture; curios; secondhand goods
古物|こぶつ|antique; old article; secondhand goods
古物|ふるもの|antique; old article; secondhand goods
古文|こぶん|ancient writing (i.e. Edo-period or older); classical literature
古文|こぶん|ancient Chinese character (pre-Qin period)
古文書|こもんじょ|ancient document; archives; ancient manuscript; paleograph
古文書|こもんじょ|document addressed to someone in particular (jargon used in paleography)
古文書|こぶんしょ|ancient document; archives; ancient manuscript; paleograph
古文書|こぶんしょ|document addressed to someone in particular (jargon used in paleography)
古本|ふるほん|secondhand book
古本|ふるぼん|secondhand book
古本|こほん|secondhand book
古本|こほん|ancient book; antiquarian books
固執|こしつ|adherence (e.g. to ideas, beliefs, a pet theory) (negative nuance); persistence; insistence; stubbornness
固執|こしゅう|adherence (e.g. to ideas, beliefs, a pet theory) (negative nuance); persistence; insistence; stubbornness
己|き|6th in rank; sixth sign of the Chinese calendar
己|つちのと|6th in rank; sixth sign of the Chinese calendar
顧客|こきゃく|customer; client; patron
顧客|こかく|customer; client; patron
五角形|ごかくけい|pentagon
五角形|ごかっけい|pentagon
五月雨|さみだれ|early-summer rain
五月雨|さつきあめ|early-summer rain
五月幟|ごがつのぼり|Boys' Festival paper-carp streamers
五月幟|さつきのぼり|Boys' Festival paper-carp streamers
五重|いつえ|five-storied; quintuplicate; fivefold
五重|ごじゅう|five-storied; quintuplicate; fivefold
五色|ごしき|five colors (usu. red, blue, yellow, white and black); five colours
五色|ごしき|many kinds; varied
五色|ごしき|melon; gourd
五色|ごしょく|five colors (usu. red, blue, yellow, white and black); five colours
五色|ごしょく|many kinds; varied
五色|ごしょく|melon; gourd
五倍子|ふし|sumac gallnut
五倍子|ごばいし|sumac gallnut
付子|ふし|sumac gallnut
附子|ふし|sumac gallnut
後々|あとあと|distant future
後々|のちのち|distant future
後後|あとあと|distant future
後後|のちのち|distant future
碁会所|ごかいじょ|commercial go-playing parlour (parlor)
碁会所|ごかいしょ|commercial go-playing parlour (parlor)
公|こう|public matter; governmental matter
公|こう|prince; duke
公|こう|lord; sir
公|こう|familiar or derogatory suffix
公式試合|こうしきしあい|championship match
公式試合|こうしきじあい|championship match
口腔|こうこう|the oral cavity; mouth cavity
口腔|こうくう|the oral cavity; mouth cavity
口三味線|くちざみせん|humming a samisen tune
口三味線|くちじゃみせん|humming a samisen tune
口数|くちかず|number of words a person speaks
口数|くちかず|number of dependents (words, shares, accounts)
口数|くちすう|number of words a person speaks
口数|くちすう|number of dependents (words, shares, accounts)
口舌|こうぜつ|manner of speaking; way of speaking; intimation; lip service; words
向日性|こうじつせい|heliotropism; actinotropism; disposition (in flowers) to turn toward the sun; phototropism
向日性|こうにちせい|heliotropism; actinotropism; disposition (in flowers) to turn toward the sun; phototropism
工場|こうじょう|factory; plant; mill; workshop
工場|こうば|factory; plant; mill; workshop
庚|かのえ|7th in rank; seventh sign of the Chinese calendar
庚|こう|7th in rank; seventh sign of the Chinese calendar
溝|みぞ|ditch; drain; gutter; trench
溝|みぞ|groove; tread
溝|みぞ|gap (between people, countries, etc.); gulf
溝|どぶ|ditch; drain; gutter; trench
甲|こう|carapace; shell
甲|こう|1st in rank; grade A
甲|こう|instep; back of hand
甲|こう|the A party (e.g. in a contract); the first party; plaintiff (label in legal documents)
甲虫|かぶとむし|rhinoceros beetle (esp. the Japanese rhinoceros beetle, Trypoxylus dichotomus)
兜虫|かぶとむし|rhinoceros beetle (esp. the Japanese rhinoceros beetle, Trypoxylus dichotomus)
カブト虫|カブトむし|rhinoceros beetle (esp. the Japanese rhinoceros beetle, Trypoxylus dichotomus)
カブトムシ||rhinoceros beetle (esp. the Japanese rhinoceros beetle, Trypoxylus dichotomus)
甲虫|こうちゅう|beetle
甲板|かんぱん|deck (of a ship)
甲板|こうはん|deck (of a ship)
紅|くれない|deep red; crimson
紅|べに|deep red; crimson
紅|べに|rouge; lipstick
紅|こう|deep red; crimson
紅色|こうしょく|red (color, colour)
紅色|べにいろ|red (color, colour)
紅色|くれないいろ|red (color, colour)
紅葉|こうよう|autumn colours; fall colors; leaves changing color (colour)
紅葉|こうよう|leaves turning red; red leaves
紅葉|もみじ|autumn colours; fall colors; leaves changing color (colour)
紅葉|もみじ|(Japanese) maple (Acer japonicum)
紅葉|もみじ|venison
