無限軌道|むげんきどう|continuous track; caterpillar track
終身雇用|しゅうしんこよう|lifetime employment; permanent employment
習慣性薬物|しゅうかんせいやくぶつ|addictive drug
衆議院運営委員会|しゅうぎいんうんえいいいんかい|House of Representatives Steering Committee
集団的自衛権|しゅうだんてきじえいけん|right to collective defense; right to collective defence
住宅ローン|じゅうたくローン|housing loan; mortgage
重厚長大産業|じゅうこうちょうだいさんぎょう|smokestack industry
重大犯罪|じゅうだいはんざい|serious crime; felony
銃規制|じゅうきせい|gun control
出稼ぎ労働者|でかせぎろうどうしゃ|migrant worker; economic nomad
出会い系サイト|であいけいサイト|online dating Web site
出血熱|しゅっけつねつ|hemorrhagic fever
出自|しゅつじ|birthplace
出自|しゅつじ|descent; blood-lines; origins
出自|しゅつじ|one's outward self
出世第一主義|しゅっせだいいちしゅぎ|careerism
準医療活動従事者|じゅんいりょうかつどうじゅうじしゃ|paramedic
純生産量|じゅんせいさんりょう|net product; net production
純利益|じゅんりえき|net income; net profit
巡回裁判所|じゅんかいさいばんしょ|circuit court
所得格差|しょとくかくさ|income divide
所得水準|しょとくすいじゅん|income level
所得分配|しょとくぶんぱい|income distribution
女性候補|じょせいこうほ|female candidate
除細動器|じょさいどうき|defibrillator
除細動機|じょさいどうき|defibrillator
商業生産|しょうぎょうせいさん|commercial production
商標保護|しょうひょうほご|trademark protection
商品先物取引|しょうひんさきものとりひき|commodity futures trading
商用利用|しょうようりよう|commercial use
小規模金融|しょうきぼきんゆう|microfinance
小切手外交|こぎってがいこう|checkbook diplomacy; chequebook diplomacy
小売り市場|こうりいちば|retail market
小売価格|こうりかかく|retail price
小法廷|しょうほうてい|petty bench of the supreme court; small claims court
招致委員会|しょうちいいんかい|bid committee
消化管間質腫瘍|しょうかかんかんしつしゅよう|gastrointestinal stromal tumor (tumour); GIST
消費パターン|しょうひパターン|consumption pattern
消費者関係|しょうひしゃかんけい|consumer relations
消費者金融|しょうひしゃきんゆう|consumer credit (finance, loan)
消費者市場|しょうひしゃいちば|consumer market
消費者支出|しょうひしゃししゅつ|consumer spending
消費者受容|しょうひしゃじゅよう|consumer acceptance
消費者需要|しょうひしゃじゅよう|consumer demand
消費者心情|しょうひしゃしんじょう|consumer sentiment
消費者物価指数|しょうひしゃぶっかしすう|consumer price index; CPI
消費者文化|しょうひしゃぶんか|consumer culture
消費者保護|しょうひしゃほご|consumer protection
消費者保護法|しょうひしゃほごほう|consumer-protection law
証券詐欺|しょうけんさぎ|securities fraud
証人保護プログラム|しょうにんほごプログラム|witness protection program; witness protection programme
上院議会|じょういんぎかい|Senate
上場廃止|じょうじょうはいし|delisting
常時接続|じょうじせつぞく|always-on connection
情報スーパーハイウェイ|じょうほうスーパーハイウェイ|information superhighway
情報スーパーハイウエー|じょうほうスーパーハイウエー|information superhighway
情報共有|じょうほうきょうゆう|information sharing
情報公開条例|じょうほうこうかいじょうれい|information-disclosure ordinance
情報収集|じょうほうしゅうしゅう|intelligence gathering; information gathering
情報収集衛星|じょうほうしゅうしゅうえいせい|information-gathering satellite
杖術|じょうじゅつ|jōjutsu; form of martial art using a cane staff
杖道|じょうどう|jōdō; form of martial art using a cane staff
植樹事業|しょくじゅじぎょう|tree-planting program; tree-planting programme
植物状態|しょくぶつじょうたい|vegetative state
植民地化|しょくみんちか|colonization; colonisation
植民地支配|しょくみんちしはい|colonial rule
植民地主義|しょくみんちしゅぎ|colonialism
植林事業|しょくりんじぎょう|tree-planting program; tree-planting programme
色覚障害|しきかくしょうがい|color-blindness; colour-blindness
食物アレルギー|しょくもつアレルギー|food allergy
食欲不振|しょくよくふしん|loss of appetite; anorexia
信託基金|しんたくききん|trust fund
信任票|しんにんひょう|vote of confidence
信用危機|しんようきき|credit crunch
信用調査会社|しんようちょうさがいしゃ|credit research company
信用買い|しんようがい|margin buying; buying on credit
信用買|しんようがい|margin buying; buying on credit
心気症|しんきしょう|hypochondria
心筋症|しんきんしょう|cardiomyopathy
心血管疾患|しんけっかんしっかん|cardiovascular disease
心臓マッサージ|しんぞうマッサージ|cardiac massage; heart massage
心臓移植手術|しんぞういしょくしゅじゅつ|heart transplant operation
心肺蘇生法|しんぱいそせいほう|cardiopulmonary resuscitation; CPR
新規住宅着工件数|しんきじゅうたくちゃっこうけんすう|housing starts
新興企業|しんこうきぎょう|start-up company
新植民地主義|しんしょくみんちしゅぎ|neo-colonialism
森林再生|しんりんさいせい|reforestation
森林破壊|しんりんはかい|deforestation
森林保護|しんりんほご|forest protection
浸潤性腫瘍|しんじゅんせいしゅよう|invasive tumor; invasive tumour
深部静脈血栓症|しんぶじょうみゃくけっせんしょう|deep vein thrombosis; DVT
神経障害|しんけいしょうがい|neurological disorder
身体傷害|からだしょうがい|bodily injury; personal injury; actual bodily harm; mayhem
身代金要求|みのしろきんようきゅう|ransom demand
人権保護団体|じんけんほごだんたい|human rights organization; human rights organisation
人工呼吸器|じんこうこきゅうき|artificial respirator; ventilator
人工妊娠中絶|じんこうにんしんちゅうぜつ|abortion
人食いバクテリア|ひとくいバクテリア|flesh-eating bacteria
人道作戦|じんどうさくせん|humanitarian operation
人道犯罪|じんどうはんざい|crime against humanity
推奨銘柄リスト|すいしょうめいがらリスト|recommended list
水治療法|すいちりょうほう|hydrotherapy
水質汚染|すいしつおせん|water pollution
水質検査|すいしつけんさ|water-quality test
水素スタンド|すいそスタンド|hydrogen-filling station
水頭症|すいとうしょう|hydrocephalus
水俣病|みなまたびょう|Minamata disease
睡眠パターン|すいみんパターン|sleep pattern
睡眠周期|すいみんしゅうき|sleep cycle
睡眠発作|すいみんほっさ|narcolepsy
世界気象機関|せかいきしょうきかん|World Meteorological Organization (Organisation); WMO
世界記録保持者|せかいきろくほじしゃ|world record holder
世界経済フォーラム|せかいけいざいフォーラム|World Economic Forum
世界経済見通し|せかいけいざいみとおし|World Economic Outlook (IMF publication)
世界市場|せかいしじょう|global market
世界食糧計画|せかいしょくりょうけいかく|World Food Program; WFP
世界知的所有権機関|せかいちてきしょゆうけんきかん|World Intellectual Property Organization (Organisation); WIPO
世界的不況|せかいてきふきょう|global recession
世界標準|せかいひょうじゅん|global standards
世界不況|せかいふきょう|world recession
世界陸上|せかいりくじょう|World Championships in Athletics
世帯所得|せたいしょとく|family income
性機能不全|せいきのうふぜん|sexual dysfunction
性的虐待|せいてきぎゃくたい|sexual abuse
性転換手術|せいてんかんしゅじゅつ|sex change surgery
性犯罪者|せいはんざいしゃ|sex offender
性比|せいひ|sex ratio
成果主義賃金体系|せいかしゅぎちんぎんたいけい|merit-based wage system
成長戦略|せいちょうせんりゃく|growth strategy
政権交代|せいけんこうたい|change of government; regime change
政策転換|せいさくてんかん|policy shift; policy U-turn
政策秘書|せいさくひしょ|policy secretary
政策立案|せいさくりつあん|policy making
政策立案者|せいさくりつあんしゃ|policy maker
政治キャリア|せいじキャリア|political career
政治グループ|せいじグループ|political group
政治システム|せいじシステム|political system
政治パーティー|せいじパーティー|political fundraiser
政治プロセス|せいじプロセス|political process
政治意志|せいじいし|political will
政治運動|せいじうんどう|political campaign
政治汚職|せいじおしょく|political corruption
政治過程|せいじかてい|political process
政治活動|せいじかつどう|political activity
政治活動家|せいじかつどうか|political activist
政治干渉|せいじかんしょう|political intervention
政治危機|せいじきき|political crisis
政治決断|せいじけつだん|political decision
政治権力|せいじけんりょく|political force
政治交渉|せいじこうしょう|political negotiation
政治資金規正法|せいじしきんきせいほう|Political Funds Control Law
政治資金調達|せいじしきんちょうたつ|fundraising
政治自由化|せいじじゆうか|political liberalization; political liberalisation
政治生命|せいじせいめい|political life
政治組織|せいじそしき|political organisation
政治体制|せいじたいせい|political system
政治対話|せいじたいわ|political dialogue
政治的圧力|せいじてきあつりょく|political pressure
政治的暗殺|せいじてきあんさつ|political assassination
政治的解決|せいじてきかいけつ|political solution
政治的危機|せいじてききき|political crisis
政治的緊張|せいじてききんちょう|political tension
政治的空白|せいじてきくうはく|political vacuum
政治的指導者|せいじてきしどうしゃ|political leader
政治的抵抗|せいじてきていこう|political resistance
政治的賭け|せいじてきかけ|political gamble
政治的配慮|せいじてきはいりょ|political consideration
政治的不安定|せいじてきふあんてい|political instability
政治的武器|せいじてきぶき|political weapon
政治的暴力|せいじてきぼうりょく|political violence
政治不信|せいじふしん|distrust of politics; political uncertainty
政治暴力|せいじぼうりょく|political violence
政治抑圧|せいじよくあつ|political repression
政治理論|せいじりろん|political theory
政治倫理|せいじりんり|political ethics
政治倫理審査会|せいじりんりしんさかい|Deliberative Council on Political Ethics
政府介入|せいふかいにゅう|government intervention
政府軍|せいふぐん|government forces; government troops
政府短期証券|せいふたんきしょうけん|financing bill; FB
整理統合|せいりとうごう|consolidation
生活習慣病|せいかつしゅうかんびょう|lifestyle disease
生産ライン|せいさんライン|production line
生産拠点|せいさんきょてん|production base
生産計画|せいさんけいかく|production schedule
生産者物価指数|せいさんしゃぶっかしすう|producer price index; PPI
生産設備|せいさんせつび|plant and equipment; production facilities; manufacturing equipment
生産能力|せいさんのうりょく|plant and equipment; production equipment; productive capacity
生産能力過剰|せいさんのうりょくかじょう|overcapacity
生産目標|せいさんもくひょう|production target
生産量|せいさんりょう|production output; number of goods manufactured
生殖補助技術|せいしょくほじょぎじゅつ|assisted reproductive technology; ART
生物分解|せいぶつぶんかい|biodegradation
生理機能|せいりきのう|physiology
生理不順|せいりふじゅん|menstrual irregularity
精神錯乱|せいしんさくらん|mental derangement; mental confusion; alienation
精神遅滞|せいしんちたい|mental retardation
聖火リレー|せいかリレー|Olympic torch relay
声道|せいどう|vocal tract
製造物責任|せいぞうぶつせきにん|product liability
製造物責任法|せいぞうぶつせきにんほう|product liability law
製品回収|せいひんかいしゅう|recall (of goods); product recall
青酸カリ|せいさんカリ|potassium cyanide
青少年犯罪|せいしょうねんはんざい|youth crime
税引き前収益|ぜいびきせんしゅうえき|pretax profit
税引き前損失|ぜいびきせんそんしつ|pretax loss
税金還付|ぜいきんかんぷ|tax refund
税支払い免除|ぜいしはらいめんじょ|tax relief
税制中立|ぜいせいちゅうりつ|revenue neutrality
税制優遇措置|ぜいせいゆうぐうそち|tax break
税務調査|ぜいむちょうさ|tax inquiry; tax enquiry; tax investigation
石油ショック|せきゆショック|oil shock
石油ブーム|せきゆブーム|oil boom
石油精製|せきゆせいせい|oil refining
石油探査|せきゆたんさ|oil exploration
石油備蓄|せきゆびちく|oil reserve
脊椎破壊|せきついはかい|spina bifida
赤外線通信|せきがいせんつうしん|infrared data communication
赤血球生成促進因子|せっけっきゅうせいせいそくしんいんし|erythropoietin; EPO
接触伝染|せっしょくでんせん|contagion
接続料|せつぞくりょう|connection fee; connection charge
摂食障害|せっしょくしょうがい|eating disorder
設備過剰|せつびかじょう|overcapacity
絶対過半数|ぜったいかはんすう|absolute majority
絶滅危惧種|ぜつめつきぐしゅ|endangered species
先行指数|せんこうしすう|leading indicator
先端医療技術|せんたんいりょうぎじゅつ|state-of-the-art medical technology
先天的障害|せんてんてきしょうがい|birth defect
先発メンバー|せんぱつメンバー|starting line-up
先物市場|さきものしじょう|futures market; forward market
占領地域|せんりょうちいき|occupation zone
戦域ミサイル防衛|せんいきミサイルぼうえい|theater missile defense (defence); TMD
戦争計画|せんそうけいかく|war plan
戦争準備|せんそうじゅんび|war preparation
戦争責任|せんそうせきにん|war responsibility
戦争戦略|せんそうせんりゃく|war strategy
戦争挑戦国|せんそうちょうせんくに|warmonger
戦争賠償金|せんそうばいしょうきん|war reparation
戦争被害|せんそうひがい|war damage
戦略的投票|せんりゃくてきとうひょう|strategic voting
潜望鏡深度|せんぼうきょうしんど|periscope depth
線量計|せんりょうけい|dosimeter
腺ペスト|せんペスト|bubonic plague
選挙ポスター|せんきょポスター|campaign poster
選挙運動資金|せんきょうんどうしきん|campaign fund
選挙集会|せんきょしゅうかい|campaign rally
選挙人登録|せんきょにんとうろく|voter registration
選択的セロトニン再取り込み阻害薬|せんたくてきセロトニンさいとりこみそがいやく|selective serotonin reuptake inhibitor; SSRI
前がん病変|ぜんがんびょうへん|precancerous lesion
前線部隊|ぜんせんぶたい|frontline troops
全二重通信|ぜんにじゅうつうしん|full duplex transmission; full duplex communication
全面核戦争|ぜんめんかくせんそう|all-out nuclear war
組み立てライン|くみたてライン|assembly line
組織犯罪|そしきはんざい|organized crime; organised crime
組織暴力団|そしきぼうりょくだん|organized crime syndicate; organised crime syndicate
双極性障害|そうきょくせいしょうがい|bipolar disorder
双方向テレビ|そうほうこうテレビ|interactive television
双方向番組|そうほうこうばんぐみ|interactive program; interactive programme
早期退職|そうきたいしょく|early retirement
早期退職制度|そうきたいしょくせいど|early retirement program; early retirement programme
相互協力|そうごきょうりょく|bilateral cooperation
相方|あいかた|partner; companion
総合デジタル通信網|そうごうデジタルつうしんもう|integrated services digital network; ISDN
総合ビタミン剤|そうごうビタミンざい|multivitamin
総資本利益率|そうしほんりえきりつ|return on assets; ROA
騒音レベル|そうおんレベル|noise level
騒音公害|そうおんこうがい|noise pollution
騒乱状態|そうらんじょうたい|state of rebellion
増資権利落ち|ぞうしけんりおち|ex-rights (stock)
臓器クローニング|ぞうきクローニング|organ cloning
臓器提供|ぞうきていきょう|organ donation
臓器提供者|ぞうきていきょうしゃ|organ donor
即応部隊|そくおうぶたい|rapid reaction force
損害請求|そんがいせいきゅう|damage claim
損害賠償訴訟|そんがいばいしょうそしょう|damages suit
多嚢胞性卵巣症候群|たのうほうせいらんそうしょうこうぐん|polycystic-ovary syndrome
多発性硬化症|たはつせいこうかしょう|multiple sclerosis; MS
太平洋経済協力会議|たいへいようけいざいきょうりょくかいぎ|Pacific Economic Cooperation Council; PECC
太陽エネルギー|たいようエネルギー|solar energy; solar power
体脂肪率|たいしぼうりつ|body fat percentage
体重管理|たいじゅうかんり|weight control
対外投資|たいがいとうし|foreign investment
対共産圏輸出統制委員会|たいきょうさんけんゆしゅつとうせいいいんかい|Coordination Committee on Multilateral Export Controls
対決法案|たいけつほうあん|controversial legislation
対敵諜報機関|たいてきちょうほうきかん|counterintelligence agency
対内投資|たいないとうし|inward investment
対立関係|たいりつかんけい|antagonism
貸出し限度|かしだしげんど|credit line
逮捕記録|たいほきろく|arrest record
代替医療|だいたいいりょう|alternative medicine
代替療法|だいたいりょうほう|alternative therapy
代替療法|だいがえりょうほう|alternative therapy
代替え療法|だいがえりょうほう|alternative therapy
代理出産|だいりしゅっさん|surrogate birth
大きな政府|おおきなせいふ|big government
大学病院|だいがくびょういん|university hospital; teaching hospital
大気汚染防止法|たいきおせんぼうしほう|Air Pollution Control Law
大気質指標|たいきしつしひょう|air quality index; AQI
大恐慌|だいきょうこう|Great Depression
大銀行|だいぎんこう|big bank
大衆薬|たいしゅうやく|over-the-counter drug
大蔵省証券|おおくらしょうしょうけん|treasury bill; TB
大統領経済報告|だいとうりょうけいざいほうこく|Economic Report of the President (US)
大統領候補|だいとうりょうこうほ|presidential candidate
大統領代行|だいとうりょうだいこう|acting president
大統領夫人|だいとうりょうふじん|first lady
大量虐殺|たいりょうぎゃくさつ|massacre; genocide
大量殺人|たいりょうさつじん|mass killing; mass murder; bloodbath
大量出血|たいりょうしゅっけつ|hemorrhaging
大量伝達|たいりょうでんたつ|mass communication
第三者割当増資|だいさんしゃわりあてぞうし|third-party allocation of shares
第三政党|だいさんせいとう|third party
脱水症状|だっすいしょうじょう|dehydration
淡水化プラント|たんすいかプラント|desalination plant
炭素クレジット|たんそクレジット|carbon credit
炭疽菌|たんそきん|Bacillus anthracis (anthrax bacteria)
炭そ菌|たんそきん|Bacillus anthracis (anthrax bacteria)
短期ローン|たんきローン|short-term loan
短期国債|たんきこくさい|treasury bill; TB
弾圧政治|だんあつせいじ|(political) coercion
弾劾投票|だんがいとうひょう|impeachment vote
弾道弾迎撃ミサイル制限条約|だんどうだんげいげきミサイルせいげんじょうやく|antiballistic missile treaty
暖房器具|だんぼうきぐ|home heater
男女比|だんじょひ|sex ratio; gender ratio
男性ホルモン|だんせいホルモン|male hormone
地域安全保障|ちいきあんぜんほしょう|regional security
地域経済|ちいきけいざい|regional economy; local economy
地球温暖化防止会議|ちきゅうおんだんかぼうしかいぎ|Conference of Parties of the UN Framework Convention on Climate Change
地球環境|ちきゅうかんきょう|global environment
地上戦|ちじょうせん|land war
地上波放送|ちじょうはほうそう|terrestrial broadcasting
地熱エネルギー|じねつエネルギー|geothermal energy; geothermal power
地方局|ちほうきょく|local broadcast station
地方税法|ちほうぜいほう|Local Tax Law
地雷除去|じらいじょきょ|mine clearance
地雷除去作業|じらいじょきょさぎょう|mine-clearing operation
致死注射|ちしちゅうしゃ|lethal injection
着信メロディ|ちゃくしんメロディ|melodic ring tone
着信メロディー|ちゃくしんメロディー|melodic ring tone
中核事業|ちゅうかくじぎょう|core business
中間管理職|ちゅうかんかんりしょく|middle management
中間決算発表|ちゅうかんけっさんはっぴょう|midterm earnings announcement
昼間託児所|ちゅうかんたくじしょ|day-care center; day-care centre
著作権使用料|ちょさくけんしようりょう|royalties
著作権侵害訴訟|ちょさくけんしんがいそしょう|copyright infringement suit
著作権保護期間|ちょさくけんほごきかん|copyright protection period
腸炭疽|ちょうたんそ|intestinal anthrax
超音波検査|ちょうおんぱけんさ|ultrasound examination
超音波検査法|ちょうおんぱけんさほう|sonography; ultrasonography
超低金利|ちょうていきんり|ultra-low interest
超低金利金融政策|ちょうていきんりきんゆうせいさく|ultra-loose monetary policy
長期信用銀行|ちょうきしんようぎんこう|long-term credit bank; LTCB
長期低利貸付|ちょうきていりかしつけ|soft loan
長距離電話会社|ちょうきょりでんわがいしゃ|long-distance telephone company
鳥インフルエンザ|とりインフルエンザ|avian influenza; bird flu
トリインフルエンザ||avian influenza; bird flu
鳥類インフルエンザ|ちょうるいインフルエンザ|avian influenza; bird flu
直接尋問|ちょくせつじんもん|direct examination
直接投資|ちょくせつとうし|direct investment
直接労務費|ちょくせつろうむひ|direct labor costs; direct labour costs
賃金交渉|ちんぎんこうしょう|salary negotiation
賃金凍結|ちんぎんとうけつ|wage freeze
追徴課税|ついちょうかぜい|additional tax
通常加入電話|つうじょうかにゅうでんわ|fixed-line phone
通常戦争|つうじょうせんそう|conventional war
通信インフラ|つうしんインフラ|communications infrastructure
通信会社|つうしんがいしゃ|telco; telecommunications company; common carrier
通信基盤|つうしんきばん|telecommunications infrastructure
通信傍受法|つうしんぼうじゅほう|wiretapping law
通信料|つうしんりょう|communication fee
潰瘍性大腸炎|かいようせいだいちょうえん|ulcerative colitis
低体温|ていたいおん|hypothermia
低賃金産業|ていちんぎんさんぎょう|low wage industry
低利得アンテナ|ていりとくアンテナ|low-gain antenna
停戦ライン|ていせんライン|line of control
停戦協定|ていせんきょうてい|cease-fire deal
停戦合意|ていせんごうい|cease-fire agreement
偵察飛行|ていさつひこう|surveillance flight
定額インターネット接続|ていがくインターネットせつぞく|flat-rate Internet access
底打ち|そこうち|bottoming out
抵当貸付け|ていとうかしつけ|mortgage loan
敵対関係|てきたいかんけい|antagonism
敵対的企業買収|てきたいてききぎょうばいしゅう|hostile buyout
天然ガス|てんねんガス|natural gas
店頭株市場|てんとうかぶいちば|over-the-counter market
添付ファイル|てんぷファイル|attached file; attachment
転職斡旋|てんしょくあっせん|outplacement
転送速度|てんそうそくど|transfer speed; transfer rate
電気ショック|でんきショック|electronic shocks
電気的筋肉刺激|でんきてききんにくしげき|electric muscle stimulation; EMS
電子データ交換|でんしデータこうかん|electronic data interchange; EDI
電子メールアカウント|でんしメールアカウント|e-mail account
電子メールアドレス|でんしメールアドレス|e-mail address
電子メールウイルス|でんしメールウイルス|e-mail virus
電子メールサーバー|でんしメールサーバー|e-mail server
電子決済|でんしけっさい|electronic payment
電子財布|でんしさいふ|e-wallet; electronic wallet
電子支払い|でんししはらい|electronic payment
電子署名|でんししょめい|e-signature; electronic signature
電子商取引|でんししょうとりひき|e-commerce; electronic commerce
電子納税申告|でんしのうぜいしんこく|electronic tax filing
電子番組ガイド|でんしばんぐみガイド|electronic program guide (programme); EPG
電信送金|でんしんそうきん|wire transfer
電力危機|でんりょくきき|power crisis
電力小売り|でんりょくこうり|power retailing
電力不足|でんりょくぶそく|electricity shortage
電話ボックス|でんわボックス|telephone booth; telephone box
電話会社|でんわがいしゃ|telecommunications company; telco
電話交換局|でんわこうかんきょく|telephone switching station; telephone exchange; central office
電話世論調査|でんわせろんちょうさ|telephone poll
奴隷労働|どれいろうどう|slave labor; slave labour
倒産企業|とうさんきぎょう|bankrupt company
党員集会|とういんしゅうかい|caucus
党内派閥|とうないはばつ|intra-party faction
冬季オリンピック|とうきオリンピック|Winter Olympics
投資計画|とうしけいかく|investment plan
投資資金|とうししきん|investment capital
投資損失|とうしそんしつ|investment loss
投票制度|とうひょうせいど|voting system
投票締め切り|とうひょうしめきり|poll closing
東京証券取引所|とうきょうしょうけんとりひきじょ|Tokyo Stock Exchange; TSE
東証株価指数|とうしょうかぶかしすう|Tokyo Stock Price Index; TOPIX
東証第一部|とうしょうだいいちぶ|First Section of the Tokyo Stock Exchange
東洋医学|とうよういがく|Oriental medicine; Eastern medicine
当座預金口座|とうざよきんこうざ|checking account; cheque account
統括組織|とうかつそしき|umbrella organization; umbrella organisation
統合計画|とうごうけいかく|integration plan
統合失調症|とうごうしっちょうしょう|schizophrenia
同時放送|どうじほうそう|simulcast
同点決勝戦|どうてんけっしょうせん|tiebreaker
同毒療法|どうどくりょうほう|homeopathy
瞳孔拡張|どうこうかくちょう|pupil dilation
道徳的空白|どうとくてきくうはく|moral vacuum
特許収入|とっきょしゅうにゅう|patent income
特殊作戦部隊|とくしゅさくせんぶたい|special-ops forces
特定恐怖症|とくていきょうふしょう|specific phobias
特別歳入|とくべつさいにゅう|special revenue
特別捜査本部|とくべつそうさほんぶ|special investigation headquarter
特別損失|とくべつそんしつ|extraordinary loss
特別背任|とくべつはいにん|aggravated breach of trust
特別報酬|とくべつほうしゅう|special reward
特別目的事業体|とくべつもくてきじぎょうたい|special-purpose entity; SPE
独裁支配|どくさいしはい|autocratic rule
独裁主義者|どくさいしゅぎしゃ|authoritarian
独裁政権|どくさいせいけん|dictatorship
独唱会|どくしょうかい|vocal recital
独立国家共同体|どくりつこっかきょうどうたい|Commonwealth of Independent States; CIS
独立発電事業者|どくりつはつでんじぎょうしゃ|independent power producer; IPP
内科学|ないかがく|internal medicine
内閣改造|ないかくかいぞう|cabinet reshuffle; cabinet shake-up
内閣支持率|ないかくしじりつ|cabinet support rate
内部監査|ないぶかんさ|internal audit
内部監査人|ないぶかんさにん|internal auditor
内部調査|ないぶちょうさ|internal inspection
二国間主義|にこくかんしゅぎ|bilateralism
二国間相互主義|にこくかんそうごしゅぎ|bilateralism
二酸化炭素削減義務|にさんかたんそさくげんぎむ|carbon dioxide reducing obligation
二酸化炭素削減目標|にさんかたんそさくげんもくひょう|CO2-reduction goal
二酸化炭素排出権|にさんかたんそはいしゅつけん|right to emit carbon dioxide
二分脊椎|にぶんせきつい|spina bifida
日雇い労働者|ひやといろうどうしゃ|day laborer; day labourer
日本シリーズ|にほんシリーズ|Japan Series
日本経済|にほんけいざい|Japanese economy
日本国債|にっぽんこくさい|Japanese government bond; JGB
乳房再建|ちぶささいけん|breast reconstruction
乳房切除|にゅうぼうせつじょ|mastectomy
乳房切除術|にゅうぼうせつじょじゅつ|mastectomy
認知行動療法|にんちこうどうりょうほう|cognitive-behavioral therapy; cognitive-behavioural therapy
認知療法|にんちりょうほう|cognitive therapy
認定投票|にんていとうひょう|approval voting
熱疲労|ねつひろう|thermal fatigue (e.g. in structures)
熱疲労|ねつひろう|heat exhaustion
燃費基準|ねんぴきじゅん|fuel economy standards
燃料電池|ねんりょうでんち|fuel cell
納税義務|のうぜいぎむ|tax liability
能率給方式|のうりつきゅうほうしき|merit system
能力主義制度|のうりょくしゅぎせいど|meritocratic system
脳死判定|のうしはんてい|declaration of brain death; determination of brain death; diagnosis of brain death
脳動脈瘤|のうどうみゃくこぶ|cerebral aneurysm
脳内出血|のうないしゅっけつ|brain hemorrhage; brain haemorrhage
農事産業|のうじさんぎょう|agri business
派遣社員|はけんしゃいん|temporary employee (esp. from an agency); temporary worker; agency temp
派閥主義|はばつしゅぎ|factionalism
派閥政治|はばつせいじ|faction-based politics
破砕性爆弾|はさいせいばくだん|daisy cutter bomb
破産会社|はさんかいしゃ|bankrupt company
馬番連勝|ばばんれんしょう|post (horse racing)
敗者復活戦|はいしゃふっかつせん|repechage
肺気腫|はいきしゅ|pulmonary emphysema
肺塞栓症|はいそくせんしょう|pulmonary embolism
肺炭疽|はいたんそ|inhalation anthrax
配備命令|はいびめいれい|deployment order
配分的正義|はいぶんてきせいぎ|distributive justice; justitia distributiva
売り上げ成長|うりあげせいちょう|sales growth
売上税|うりあげぜい|sales tax
売り上げ税|うりあげぜい|sales tax
陪審制|ばいしんせい|jury system
白熱電球|はくねつでんきゅう|light bulb; incandescent light bulb
薄|うす|light (e.g. colour, color)
爆破予告|ばくはよこく|bomb warning
発ガン性物質|はつガンせいぶっしつ|carcinogen
発癌性物質|はつがんせいぶっしつ|carcinogen
発疹チフス|はっしんチフス|typhus (epidemic)
発疹チフス|ほっしんチフス|typhus (epidemic)
発声投票|はっせいとうひょう|voice vote
発砲事件|はっぽうじけん|shooting incident
半二重通信|はんにじゅうつうしん|half-duplex transmission; half-duplex communications
半２重通信|はんにじゅうつうしん|half-duplex transmission; half-duplex communications
半棒術|はんぼうじゅつ|form of martial art using a short cane staff
反グローバリゼーション|はんグローバリゼーション|anti-globalization; anti-globalisation
反射療法|はんしゃりょうほう|reflexology
反戦デモ|はんせんデモ|antiwar demonstration
反対弁論|はんたいべんろん|opposing speech; rebuttal (in debate)
反復過多損傷|はんぷくかたそんしょう|repetitive-strain injury; RSI
犯罪記録|はんざいきろく|criminal record
犯罪被害者|はんざいひがいしゃ|victim of crime
犯罪率|はんざいりつ|crime rate
販売時点情報管理システム|はんばいじてんじょうほうかんりシステム|point-of-sale system; POS
皮膚炭疽|ひふたんそ|cutaneous anthrax
皮膚潰瘍|ひふかいよう|skin ulcer
避妊ピル|ひにんピル|contraceptive pill
非ホジキンリンパ腫|ひホジキンリンパしゅ|non-Hodgkin's lymphoma
非常事態政府|ひじょうじたいせいふ|emergency government
非常任理事国|ひじょうにんりじこく|non-permanent member (UN Security Council)
非常用対策案|ひじょうようたいさくあん|contingency plan
非浸潤性乳管がん|ひしんじゅんせいにゅうかんがん|ductal carcinoma in situ; DCIS
非対称戦争|ひたいしょうせんそう|asymmetric war
非定型肺炎|ひていけいはいえん|atypical pneumonia
飛沫感染|ひまつかんせん|droplet infection
微生物分解|びせいぶつぶんかい|biodegradation
美容整形手術|びようせいけいしゅじゅつ|cosmetic surgery
標準画質チャンネル|ひょうじゅんがしつチャンネル|standard definition channel
漂流難民|ひょうりゅうなんみん|boat people
評価引当金|ひょうかひきあてきん|valuation allowance
病原性大腸菌|びょうげんせいだいちょうきん|pathogenic E. coli bacteria (i.e. Escherichia coli O157:H7)
貧困線|ひんこんせん|poverty line
不安障害|ふあんしょうがい|anxiety disorder
不況型倒産|ふきょうかたとうさん|recession-induced bankruptcy
不交付|ふこうふ|not granted
不在者投票|ふざいしゃとうひょう|absentee ballot; absentee voting
不支持率|ふしじりつ|disapproval rating
不信任決議|ふしんにんけつぎ|vote of censure; vote of no confidence
不信任動議|ふしんにんどうぎ|censure motion
不正スタート|ふせいスタート|false start
不正会計|ふせいかいけい|accounting fraud; irregular accounting
不正会計処理|ふせいかいけいしょり|improper bookkeeping
不正競争防止法|ふせいきょうそうぼうしほう|Unfair Competition Prevention Law
不妊治療|ふにんちりょう|infertility treatment
不要会社|ふようがいしゃ|commutative justice; justitia commutativa
不良債権処理|ふりょうさいけんしょり|disposal of bad loans
付加価値通信網|ふかかちつうしんもう|value-added network; VAN
